,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
4791,Inside You,46,292133,0,['Eddie Henderson'],1976-01-01,0.661,0.608,10,-9.516,0,0.0291,0.38,0.162,0.0823,0.962,87.174,4,https://i.scdn.co/image/ab67616d0000b27384013de6469bab02bda86438,https://open.spotify.com/track/0fEcztdrrEaiBpEVkfggd2
4791,Kool Aid & Frozen Pizza,67,157540,1,['Mac Miller'],2010-08-13,0.657,0.845,11,-4.57,1,0.3,0.154,0.0,0.294,0.706,89.835,4,https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d,https://open.spotify.com/track/2TyjVO7KBdGHBvQxAnFFsa
4791,Nikes On My Feet,65,164632,1,['Mac Miller'],2010-08-13,0.8,0.569,9,-5.104,0,0.265,0.563,0.0,0.111,0.589,92.063,4,https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d,https://open.spotify.com/track/29GefKRTSVW3ag4Xegm8jP
4791,Party On Fifth Ave.,60,173516,1,['Mac Miller'],2011-11-08,0.617,0.823,9,-5.21,1,0.328,0.0635,0.0,0.095,0.663,97.67,4,https://i.scdn.co/image/ab67616d0000b27382a2fe856191e66bc0b9c6ce,https://open.spotify.com/track/24OMJgeZvpSu92TbAe2WYh
4791,Thoughts from a Balcony,62,185779,1,['Mac Miller'],2012-03-23,0.48,0.64,6,-6.153,1,0.323,0.158,0.0,0.109,0.475,87.327,4,https://i.scdn.co/image/ab67616d0000b273908afd2dae7320208da889fd,https://open.spotify.com/track/79VMlcpvgHkxz0xwsTfc9d
4791,Objects in the Mirror,65,259144,1,['Mac Miller'],2013-06-18,0.645,0.658,1,-6.625,1,0.0532,0.623,2.02e-05,0.107,0.19,77.021,4,https://i.scdn.co/image/ab67616d0000b273d4300bedba646965fa7e1953,https://open.spotify.com/track/64gyqTtDDel7B2NoEkOa0A
4791,My Favorite Part,74,216000,0,"['Mac Miller', 'Ariana Grande']",2016-09-16,0.861,0.33,6,-7.194,1,0.0526,0.627,1.93e-06,0.14,0.718,95.016,4,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,https://open.spotify.com/track/66wkCYWlXzSTQAfnsPBptt
4791,Donald Trump,69,164523,1,['Mac Miller'],2016-06-03,0.716,0.936,1,-4.968,0,0.123,0.0318,0.0,0.367,0.799,81.508,4,https://i.scdn.co/image/ab67616d0000b273caed626d0cb2f60220977db8,https://open.spotify.com/track/5oMkgWZqmKjaJHrsXcsZZy
4791,Come Back to Earth,74,161840,0,['Mac Miller'],2018-08-03,0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,4,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR
4791,Small Worlds,73,271733,1,['Mac Miller'],2018-08-03,0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,4,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,https://open.spotify.com/track/4gT3mNJA8lnlkYFqGZ8IA2
4791,Blue World,76,209440,1,['Mac Miller'],2020-01-17,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,4,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5
4791,100 Grandkids,65,278507,1,['Mac Miller'],2015-09-18,0.735,0.749,10,-3.766,0,0.0874,0.371,0.0,0.47,0.373,93.718,4,https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4,https://open.spotify.com/track/4z0PnuB07fxtVZZRWsCfxb
4791,Another Night,59,175775,1,['Mac Miller'],2011-03-29,0.61,0.576,1,-8.289,1,0.0641,0.608,0.0,0.0716,0.568,80.973,4,https://i.scdn.co/image/ab67616d0000b273ade4d1b4270ec52017577f0c,https://open.spotify.com/track/4kCvpSVa2XQUiarE7EE5Fs
4791,Kahit Isang Saglit,46,244120,0,['Martin Nievera'],2008,0.144,0.255,11,-10.379,1,0.0326,0.841,0.00148,0.112,0.0668,76.073,3,https://i.scdn.co/image/ab67616d0000b2738485cb79c9c2be684af7dad5,https://open.spotify.com/track/7KrQn7B4Od9yAC2o9qUKtF
4791,Saturne,56,363213,1,"['Nekfeu', 'Sneazzy', 'S.Pri Noir']",2016-12-02,0.719,0.808,5,-8.423,1,0.552,0.553,0.0,0.0764,0.0437,91.043,4,https://i.scdn.co/image/ab67616d0000b273c9dac440212e652f62129e1a,https://open.spotify.com/track/4DDMmQ3E2LrZtuURRBFEZt
4791,Etre humain,48,290187,0,"['Nekfeu', 'Amber-Simone']",2015-06-08,0.605,0.649,4,-7.533,0,0.119,0.576,0.0,0.0647,0.611,76.355,4,https://i.scdn.co/image/ab67616d0000b273ff6a615bde464f6f9ee3dcce,https://open.spotify.com/track/1M62WPO0j7f6dR1wQGXr8R
4791,Nekketsu,53,214747,1,"['Nekfeu', 'Crystal Kay']",2016-12-02,0.667,0.563,11,-7.614,0,0.814,0.575,0.0,0.157,0.633,80.791,1,https://i.scdn.co/image/ab67616d0000b273c9dac440212e652f62129e1a,https://open.spotify.com/track/3qqK1agOgjrHuuIpzfeu0T
