,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
52806,2Se8LRIhNHYEci7D1mgkXm,Quellkartoffel un Dupp-Dupp,35,188800,0,"[""Adam & die Micky's""]",1989-06-01,0.695,0.542,7,-11.599,1,0.0799,0.419,0.0,0.0327,0.957,169.36,4,https://i.scdn.co/image/ab67616d0000b273b249a761fa06ff288bcfcfc6,https://open.spotify.com/track/2Se8LRIhNHYEci7D1mgkXm,4381
103925,4qjLvvBh5ZeKEPyShKRf06,Narcissist (feat. The 1975),66,195502,1,"['No Rome', 'The 1975']",2018-08-28,0.543,0.682,3,-5.81,1,0.113,0.218,1.53e-06,0.085,0.424,179.969,4,https://i.scdn.co/image/ab67616d0000b2738a63c4fe32457453cb0f3103,https://open.spotify.com/track/4qjLvvBh5ZeKEPyShKRf06,4381
113714,3f9mpaAeZ5o54IDy379kGD,Kime Sorsan,53,166435,1,['Ati242'],2020-07-17,0.792,0.531,7,-9.882,1,0.157,0.187,0.0,0.161,0.425,140.005,4,https://i.scdn.co/image/ab67616d0000b2739fbb220255da3977fac0692b,https://open.spotify.com/track/3f9mpaAeZ5o54IDy379kGD,4381
113771,3stdThAnYBXklYHWijURbn,EVERE$T,60,199877,1,['Ati242'],2021-01-01,0.703,0.819,0,-5.513,1,0.121,0.105,0.0,0.108,0.366,142.029,4,https://i.scdn.co/image/ab67616d0000b2733d1ca494fa0b0fb034a2ff05,https://open.spotify.com/track/3stdThAnYBXklYHWijURbn,4381
119889,4DbDt8eGtlsUyo8rvcBoga,Recado da Mãe Divina,51,227853,0,['Chandra Lacombe'],2015-05-24,0.702,0.321,2,-13.509,1,0.0394,0.849,0.00365,0.105,0.784,145.016,4,https://i.scdn.co/image/ab67616d0000b273b98defaef4b8e7601695afa8,https://open.spotify.com/track/4DbDt8eGtlsUyo8rvcBoga,4381
130850,1snTgWAiu5d20Rbke7aq9H,Great Things,36,210200,0,['Echobelly'],1995-11-13,0.32,0.963,9,-8.147,1,0.0648,7.04e-05,1.14e-05,0.0918,0.425,160.096,4,https://i.scdn.co/image/ab67616d0000b273c51308138d3d02b0ef0c0a1f,https://open.spotify.com/track/1snTgWAiu5d20Rbke7aq9H,4381
132032,0853SQNjVnNVFa2j68txPo,"Nada Para Mí, Nada Para Vos",36,193800,0,['Smitten'],2008-06-24,0.504,0.697,9,-3.621,1,0.0307,0.118,0.0,0.0771,0.664,173.041,4,https://i.scdn.co/image/ab67616d0000b273559d4dc3e28041a162d81266,https://open.spotify.com/track/0853SQNjVnNVFa2j68txPo,4381
146912,1EM9pvygHqQm03as6sxLg9,旅路,68,277333,0,['Fujii Kaze'],2021-03-01,0.59,0.556,9,-7.124,1,0.07,0.0711,3.24e-06,0.08,0.749,171.936,4,https://i.scdn.co/image/ab67616d0000b273261a68dc46f0a55def87008f,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9,4381
156099,0HYAsQwJIO6FLqpyTeD3l6,死ぬのがいいわ,55,185573,0,['Fujii Kaze'],2020-05-20,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4381
164327,0tJmd8OMwEBesfTsvuGayw,罪の香り,57,214200,0,['Fujii Kaze'],2020-05-20,0.515,0.861,11,-5.745,0,0.0643,0.0466,0.0,0.31,0.842,155.009,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4381
