,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
42234,7L4s0J81HpXmy2j0QQ64Ln,Main Titles from the HBO Miniseries Band of Brothers - Instrumental,49,144893,0,"['Michael Kamen', 'London Metropolitan Orchestra']",1998-07-06,0.0842,0.176,5,-17.619,1,0.0376,0.972,0.97,0.102,0.0392,84.325,3,https://i.scdn.co/image/ab67616d0000b273017d3065ad9a0f1556a0f826,https://open.spotify.com/track/7L4s0J81HpXmy2j0QQ64Ln,4901
55227,4TwJYe0avqjh0MiCt7SyeT,Muñequita Linda,47,255333,0,['Carmen Canela'],2000,0.461,0.154,0,-15.633,1,0.03,0.941,0.00376,0.0901,0.186,79.981,1,https://i.scdn.co/image/ab67616d0000b2735ffbb4d8ba8a03993624dbc5,https://open.spotify.com/track/4TwJYe0avqjh0MiCt7SyeT,4901
68063,1sRrnmwy6U3ggrezmme8Rf,Canción de Cuna,44,158160,0,['Carmen Canela'],2000,0.524,0.157,10,-16.488,1,0.0316,0.91,0.00459,0.174,0.295,78.151,3,https://i.scdn.co/image/ab67616d0000b2735ffbb4d8ba8a03993624dbc5,https://open.spotify.com/track/1sRrnmwy6U3ggrezmme8Rf,4901
87567,7xHHCahHre8K3vHpMd7ql0,心亂如麻,46,246933,0,['Janice Vidal'],2005-11-25,0.647,0.368,7,-7.723,1,0.0269,0.711,0.0,0.11,0.483,74.975,4,https://i.scdn.co/image/ab67616d0000b2739359437368005b6069fda239,https://open.spotify.com/track/7xHHCahHre8K3vHpMd7ql0,4901
87605,5HTskV6ualvphg3LU8YbrE,一場誤會,31,203667,0,['Janice Vidal'],2005-11-25,0.544,0.399,1,-8.38,1,0.0297,0.491,4.11e-06,0.115,0.486,72.665,4,https://i.scdn.co/image/ab67616d0000b2739359437368005b6069fda239,https://open.spotify.com/track/5HTskV6ualvphg3LU8YbrE,4901
88379,4h8UyiNCz4ZEuSeyqhHpg9,一場誤會,35,202053,0,['Janice Vidal'],2010-02-05,0.546,0.382,1,-8.875,1,0.0323,0.52,2.79e-06,0.116,0.496,72.677,4,https://i.scdn.co/image/ab67616d0000b273b800400129a04f6567c4d388,https://open.spotify.com/track/4h8UyiNCz4ZEuSeyqhHpg9,4901
88392,2vUzXVV79HIhgSQO363d5v,十個他不如你一個,33,229600,0,['Janice Vidal'],2010-02-05,0.494,0.393,6,-9.794,1,0.028,0.426,0.0,0.139,0.321,89.365,4,https://i.scdn.co/image/ab67616d0000b273b800400129a04f6567c4d388,https://open.spotify.com/track/2vUzXVV79HIhgSQO363d5v,4901
88396,2FnvAKdi7K5acatf1II2Wa,My Love My Fate,33,269960,0,['Janice Vidal'],2010-02-05,0.378,0.357,0,-8.535,1,0.0283,0.772,0.0,0.107,0.114,81.144,4,https://i.scdn.co/image/ab67616d0000b273b800400129a04f6567c4d388,https://open.spotify.com/track/2FnvAKdi7K5acatf1II2Wa,4901
88405,1KsFAtOwdoY8yIcS14GUlt,情深說話未曾講,32,254987,0,['Janice Vidal'],2010-02-05,0.544,0.374,6,-8.005,1,0.0361,0.477,0.0,0.124,0.149,74.887,4,https://i.scdn.co/image/ab67616d0000b273b800400129a04f6567c4d388,https://open.spotify.com/track/1KsFAtOwdoY8yIcS14GUlt,4901
88410,0Wvx826ifqx0K1A1qxSpZT,心亂如麻,32,244373,0,['Janice Vidal'],2010-02-05,0.648,0.355,7,-8.276,1,0.0271,0.707,0.0,0.111,0.465,74.973,4,https://i.scdn.co/image/ab67616d0000b273b800400129a04f6567c4d388,https://open.spotify.com/track/0Wvx826ifqx0K1A1qxSpZT,4901
88725,5IZJ6TKJ03z3e2iWD2iw1a,我懷念的,32,223387,0,['Janice Vidal'],2012-12-21,0.589,0.451,0,-6.742,1,0.0304,0.807,0.0,0.226,0.591,83.031,4,https://i.scdn.co/image/ab67616d0000b27316a4f8172452516f3e329365,https://open.spotify.com/track/5IZJ6TKJ03z3e2iWD2iw1a,4901
89511,6j0wBBAP3hMe4t1Ymj7GIe,Audition (The Fools Who Dream),58,228267,0,['Emma Stone'],2016-12-09,0.344,0.157,5,-11.773,1,0.0457,0.756,0.0,0.351,0.313,57.86,4,https://i.scdn.co/image/ab67616d0000b2730bdf4dd39843ad48c5b66bc4,https://open.spotify.com/track/6j0wBBAP3hMe4t1Ymj7GIe,4901
90081,78k1jJXP82IQPdVu2cD0LM,她整晚在寫信,48,228265,0,['Janice Vidal'],2020-05-13,0.419,0.381,6,-8.465,1,0.0406,0.663,0.0,0.108,0.245,93.011,3,https://i.scdn.co/image/ab67616d0000b273a0495d6af6b191bb7682268d,https://open.spotify.com/track/78k1jJXP82IQPdVu2cD0LM,4901
106633,5peSpUkNFOL1ka9XPtMjQC,Arrorró Mi Niño,40,158933,0,['Carmen Canela'],2000,0.263,0.0537,0,-19.682,1,0.0443,0.979,0.00298,0.103,0.312,76.358,1,https://i.scdn.co/image/ab67616d0000b2735ffbb4d8ba8a03993624dbc5,https://open.spotify.com/track/5peSpUkNFOL1ka9XPtMjQC,4901
106636,7eQkKzyXLykjOYlMTu5BqV,Dulces Sueños,41,255560,0,['Carmen Canela'],2000,0.543,0.177,1,-16.917,1,0.0311,0.968,0.017,0.105,0.282,100.036,4,https://i.scdn.co/image/ab67616d0000b2735ffbb4d8ba8a03993624dbc5,https://open.spotify.com/track/7eQkKzyXLykjOYlMTu5BqV,4901
106640,5WGNh95dNCNHP8vsijLFzN,Din Dirin Don,38,221760,0,['Carmen Canela'],2000,0.571,0.141,11,-16.309,1,0.0309,0.921,0.025,0.0612,0.235,100.526,3,https://i.scdn.co/image/ab67616d0000b2735ffbb4d8ba8a03993624dbc5,https://open.spotify.com/track/5WGNh95dNCNHP8vsijLFzN,4901
106643,3t03UsKHm77myTORDDqB8b,Non Non - Mozart,38,181640,0,['Carmen Canela'],2000,0.376,0.142,10,-16.164,1,0.0403,0.913,0.000216,0.149,0.177,75.032,3,https://i.scdn.co/image/ab67616d0000b2735ffbb4d8ba8a03993624dbc5,https://open.spotify.com/track/3t03UsKHm77myTORDDqB8b,4901
