,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
42937,5klrh466oGToybceGHPGAX,All I Ask Of You,57,294160,0,"['Andrew Lloyd Webber', 'Patrick Wilson', 'Emmy Rossum']",2004-12-10,0.194,0.119,1,-20.926,1,0.0398,0.854,0.000737,0.109,0.14,85.698,3,https://i.scdn.co/image/ab67616d0000b2732f8d9427fea9dd36a4fb4f1b,https://open.spotify.com/track/5klrh466oGToybceGHPGAX,4311
43043,6IC6VhpV7D8T1t037Atqpu,Tequila Makes Her Clothes Fall Off,68,187053,0,['Joe Nichols'],2005-01-01,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968,4,https://i.scdn.co/image/ab67616d0000b2734cf473476373729f64d25552,https://open.spotify.com/track/6IC6VhpV7D8T1t037Atqpu,4311
45342,0WB48shl2wAH4KqyQkQ8nJ,Brokenheartsville,59,230360,0,['Joe Nichols'],2002-01-01,0.686,0.631,10,-5.182,1,0.0232,0.126,0.000183,0.107,0.509,103.953,4,https://i.scdn.co/image/ab67616d0000b273121dc3f52c9bfc0ea3b4d91a,https://open.spotify.com/track/0WB48shl2wAH4KqyQkQ8nJ,4311
53688,1siSzxLE2nCUZ4VYTMbCQT,Romantic Call (feat. Yo-Yo),42,243093,0,"['Patra', 'Yo-Yo']",1993-08-03,0.802,0.608,10,-10.169,0,0.255,0.0174,0.0174,0.0761,0.766,98.439,4,https://i.scdn.co/image/ab67616d0000b2738cd4bf39ac1dc9c1144ec3d4,https://open.spotify.com/track/1siSzxLE2nCUZ4VYTMbCQT,4311
63767,1RXJOhyd17JNPMmKuqfc7z,Benjamin Calypso,35,147040,0,"['Andrew Lloyd Webber', 'Johnny Amobi', '""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast']",1991-01-01,0.688,0.902,0,-7.262,1,0.0512,0.213,0.0,0.34,0.964,76.169,4,https://i.scdn.co/image/ab67616d0000b2732fd4d63d82ed4c7d1dcbc1ea,https://open.spotify.com/track/1RXJOhyd17JNPMmKuqfc7z,4311
65311,46Xqj2wpBD5ldsLw40DvLe,Let Us Be,52,258625,0,['Sammielz'],2014-08-25,0.689,0.474,11,-7.256,1,0.0378,0.144,0.0,0.131,0.791,90.041,4,https://i.scdn.co/image/ab67616d0000b273f555f28bceb10b5023e7493b,https://open.spotify.com/track/46Xqj2wpBD5ldsLw40DvLe,4311
72581,2MBlKZ8cSN8OmsIhWBH9ci,Kiss the Sky,53,218747,0,"[""Shawn Lee's Ping Pong Orchestra""]",2006-01-30,0.575,0.68,6,-7.109,0,0.0281,0.0977,0.572,0.198,0.241,85.279,4,https://i.scdn.co/image/ab67616d0000b2738df78006c32bb2ba8674094d,https://open.spotify.com/track/2MBlKZ8cSN8OmsIhWBH9ci,4311
89160,5nNmWmbrT4FfNpJ0TdYgul,ヤキモチ,41,315107,0,['Yu Takahashi'],2014-08-06,0.583,0.445,8,-5.406,0,0.0254,0.0525,0.0,0.119,0.546,76.755,4,https://i.scdn.co/image/ab67616d0000b273d814f1d07cfa3c5762cf2f1f,https://open.spotify.com/track/5nNmWmbrT4FfNpJ0TdYgul,4311
97119,33AQv3sfvHmtGfYNIJpi96,Tequila Makes Her Clothes Fall Off,54,187067,0,['Joe Nichols'],2011,0.654,0.745,2,-5.685,1,0.0281,0.134,0.0,0.079,0.679,93.931,4,https://i.scdn.co/image/ab67616d0000b2730ec17392db25b5e99ac874a9,https://open.spotify.com/track/33AQv3sfvHmtGfYNIJpi96,4311
113225,5SmvrmdSt6MnTiHAnM8gMg,Her Gece Kal,44,184186,0,"['Erdem Kınay', 'Hind']",2017-05-26,0.749,0.918,2,-3.184,1,0.0325,0.00278,0.0032,0.325,0.895,102.062,4,https://i.scdn.co/image/ab67616d0000b27383ae0f6d0230352a8d97cf4e,https://open.spotify.com/track/5SmvrmdSt6MnTiHAnM8gMg,4311
121974,5i7beORWIbU1fj2JrYaUp3,Caledonia,42,276107,0,['Nathan Carter'],2012-01-01,0.384,0.487,7,-5.632,1,0.0266,0.533,0.0,0.106,0.258,87.038,3,https://i.scdn.co/image/ab67616d0000b273735f769f56ea2520e3e1f0e2,https://open.spotify.com/track/5i7beORWIbU1fj2JrYaUp3,4311
121983,3tolNJf26RqEWwVwlbJrY3,Tequila Makes Her Clothes Fall Off,37,188587,0,['Nathan Carter'],2012-01-01,0.628,0.677,5,-5.871,1,0.0242,0.0292,0.0,0.195,0.711,95.008,3,https://i.scdn.co/image/ab67616d0000b273735f769f56ea2520e3e1f0e2,https://open.spotify.com/track/3tolNJf26RqEWwVwlbJrY3,4311
122030,3K18ZtozWR06qEUTg8JblQ,South Australia,34,184053,0,['Nathan Carter'],2013-01-01,0.455,0.848,9,-4.746,1,0.0346,0.486,0.0,0.535,0.925,109.985,4,https://i.scdn.co/image/ab67616d0000b2734ea28c214a0a8691c5b141a8,https://open.spotify.com/track/3K18ZtozWR06qEUTg8JblQ,4311
122119,21tEj6ESZW0oLRGklRx2DD,Temple Bar,42,178920,0,['Nathan Carter'],2016-04-29,0.59,0.734,2,-6.377,1,0.0288,0.206,0.0,0.384,0.6,97.939,4,https://i.scdn.co/image/ab67616d0000b27328e5bbffdeb859fa6be18d98,https://open.spotify.com/track/21tEj6ESZW0oLRGklRx2DD,4311
122145,59NjRE6xDuTf3Pu6Beb8I5,Good Time Girls,37,202307,0,['Nathan Carter'],2016-04-29,0.615,0.945,7,-5.992,1,0.0354,0.155,1.06e-06,0.0944,0.969,90.981,4,https://i.scdn.co/image/ab67616d0000b27328e5bbffdeb859fa6be18d98,https://open.spotify.com/track/59NjRE6xDuTf3Pu6Beb8I5,4311
122293,2FAh48XptAgB0UAeHciAo1,May the Road Rise,44,227493,0,"['Nathan Carter', 'The High Kings']",2019-11-15,0.217,0.551,11,-4.962,1,0.0313,0.5,0.0,0.227,0.364,81.753,4,https://i.scdn.co/image/ab67616d0000b273a47e93c3ab1158b02a5084c9,https://open.spotify.com/track/2FAh48XptAgB0UAeHciAo1,4311
130786,6VJ5822zEeH7PfOujOclLk,Those Canaan Days,33,273427,0,"['Andrew Lloyd Webber', 'Philip Cox', 'Aubrey Woods', '""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast']",1991-01-01,0.37,0.302,5,-9.152,0,0.0341,0.955,1.21e-05,0.238,0.259,80.037,3,https://i.scdn.co/image/ab67616d0000b2732fd4d63d82ed4c7d1dcbc1ea,https://open.spotify.com/track/6VJ5822zEeH7PfOujOclLk,4311
138400,4pCvnGkf7jveRMKHZosxxB,Edge,59,223887,0,['Rezz'],2016-01-22,0.844,0.682,2,-9.556,1,0.0453,0.00207,0.797,0.113,0.352,99.99,4,https://i.scdn.co/image/ab67616d0000b2736859e3779b466ae08ffa2ff4,https://open.spotify.com/track/4pCvnGkf7jveRMKHZosxxB,4311
138688,5K10WHj3AnFx0mGYjK4Qki,Csillagom,40,215892,0,"['Molnár Ferenc Caramel', 'Palya Bea']",2020-03-16,0.703,0.625,4,-4.789,0,0.0945,0.284,9.92e-05,0.197,0.408,110.088,4,https://i.scdn.co/image/ab67616d0000b273133123bcb606deba8c25367e,https://open.spotify.com/track/5K10WHj3AnFx0mGYjK4Qki,4311
155771,0FxlEdRB0G35XXn8gXU2qA,明日はきっといい日になる,52,292000,0,['Yu Takahashi'],2015-07-22,0.511,0.925,6,-2.479,1,0.0463,0.0844,0.0,0.146,0.74,105.702,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
157819,0PIuTXVxxdk7man74EqZfJ,虹,45,354880,0,['Yu Takahashi'],2018-10-24,0.495,0.867,0,-2.766,1,0.0432,0.0274,0.0,0.375,0.412,91.005,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
165626,0zEhQISteaTGhySrvJ8Zng,Jalkow,42,125392,0,['Toskinol'],2021-01-25,0.202,0.0973,8,-34.362,1,0.0373,0.897,0.906,0.0989,0.358,106.168,1,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
180413,255lnJnboHgDJw2aDGsT9u,福笑い,48,328547,0,['Yu Takahashi'],2011-04-20,0.576,0.69,11,-4.56,1,0.0281,0.0491,0.0,0.113,0.547,91.001,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
181506,2ADBudnuO5NA6hcdf40uGb,Leavin Of Liverpool,35,200440,0,['Nathan Carter'],2014-01-01,0.641,0.643,2,-6.274,1,0.0305,0.219,7.88e-05,0.36,0.628,104.58,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
195769,3Efo6Zoa9CesnKCNmuutVj,O Tempo,41,278453,0,['Móveis Coloniais de Acaju'],2009-01-01,0.37,0.86,11,-3.463,0,0.033,0.233,0.000122,0.314,0.704,80.648,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
202891,3m9FhP3nMK3FqsDSOyTHqg,好-じょし-,42,241227,0,['Ami Sakaguchi'],2018-03-21,0.577,0.926,6,-2.743,1,0.0715,0.0956,0.000243,0.11,0.691,76.497,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
203172,3nWlS6D1scAKw2US6lM5sh,Wanna Dance,44,283600,0,['Nathan Carter'],2016-04-29,0.572,0.792,10,-6.583,1,0.0393,0.269,0.0,0.142,0.658,107.0,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
210673,4Mbu4PZxm0iHaUYraJVi0R,My Forever Friend,34,247867,0,"['Nathan Carter', 'Charlie Landsborough']",2014-01-01,0.615,0.41,8,-9.799,1,0.0246,0.118,0.0174,0.301,0.306,88.011,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
221167,58QFipxgsIv2qatW7DIx1U,Szállok A Dallal,33,176693,0,['Molnár Ferenc Caramel'],2007-01-01,0.443,0.365,3,-7.004,1,0.0432,0.865,3.23e-05,0.106,0.427,76.9,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4311
