,name,popularity,artists,release_date,images,urls
4511,A Six Pack To Go,37,"['Hank Thompson', 'The Brazos']",1966-01-01,https://i.scdn.co/image/ab67616d0000b27336305063d04903af8eb1cf8c,https://open.spotify.com/track/1a1VwhmbvqihSDdUEZbzTc
4511,I Wanna Learn a Love Song,37,['Harry Chapin'],1974,https://i.scdn.co/image/ab67616d0000b2738756752bf0c0720a41c95bbc,https://open.spotify.com/track/0y7n3jUYAUgldH4GQwnArf
4511,She's Lost Control - 2007 Remaster,61,['Joy Division'],1979-06-01,https://i.scdn.co/image/ab67616d0000b27316eb1e685e6bd37ab3228de6,https://open.spotify.com/track/0rcLhYRihks3t4lFPtHhQV
4511,Shadowplay - 2007 Remaster,59,['Joy Division'],1979-06-01,https://i.scdn.co/image/ab67616d0000b27316eb1e685e6bd37ab3228de6,https://open.spotify.com/track/4ZuC5MfGjRQs3pZtPxqMYP
4511,Transmission - 2020 Digital Remaster,56,['Joy Division'],1979-10-07,https://i.scdn.co/image/ab67616d0000b273c5d8dac0b019953e2e00151e,https://open.spotify.com/track/1Bq65xKgu0kjSUMUlfWyPl
4511,Interzone - 2007 Remaster,47,['Joy Division'],1979-06-01,https://i.scdn.co/image/ab67616d0000b27316eb1e685e6bd37ab3228de6,https://open.spotify.com/track/3iMq9V0Ece9ubjWAYVcMwj
4511,Just idag är jag stark,46,['Kenta'],1979,https://i.scdn.co/image/ab67616d0000b2737d87645b7bee75043027bdea,https://open.spotify.com/track/4TBEx9Vq1TyuVoIope0DMK
4511,She's Lost Control - 2019 Digital Master,44,['Joy Division'],1979-06-15,https://i.scdn.co/image/ab67616d0000b27327cc8b0ed297111f53009772,https://open.spotify.com/track/5YiSSBURCIz0qlOoL3la8w
4511,Shadowplay - 2019 Remaster,44,['Joy Division'],1979-06-15,https://i.scdn.co/image/ab67616d0000b27327cc8b0ed297111f53009772,https://open.spotify.com/track/1HIV7KpOnHL32AKth0l1eU
4511,Interzone - 2019 Digital Master,41,['Joy Division'],1979-06-15,https://i.scdn.co/image/ab67616d0000b27327cc8b0ed297111f53009772,https://open.spotify.com/track/4yvgL1k1WkuSEHkMPhDF5X
4511,I Remember Nothing - 2007 Remaster,41,['Joy Division'],1979-06-01,https://i.scdn.co/image/ab67616d0000b27316eb1e685e6bd37ab3228de6,https://open.spotify.com/track/2DupCOA5GmL7xqhbGBYWiS
4511,I Remember Nothing - 2019 Digital Master,39,['Joy Division'],1979-06-15,https://i.scdn.co/image/ab67616d0000b27327cc8b0ed297111f53009772,https://open.spotify.com/track/2kRkLYYspTSmsVjME4Vuke
4511,Love Will Tear Us Apart - 2020 Remaster,69,['Joy Division'],1980-06-01,https://i.scdn.co/image/ab67616d0000b2731e0fdc2906851e29d09320c3,https://open.spotify.com/track/34iOH7LY3vme5rQxsVILZ4
4511,Isolation - 2007 Remaster,52,['Joy Division'],1980,https://i.scdn.co/image/ab67616d0000b27321590ea36e6264a1917d02eb,https://open.spotify.com/track/1UWbBFaZNksb3AmgldkprR
4511,Procuro Olvidarte - Remasterizado,44,['Hernaldo Zuniga'],1980-01-16,https://i.scdn.co/image/ab67616d0000b27371d286002e3d879ab177f84c,https://open.spotify.com/track/1EJA5APRXixPKSbj9pa4Wu
4511,Heart and Soul - 2007 Remaster,42,['Joy Division'],1980,https://i.scdn.co/image/ab67616d0000b27321590ea36e6264a1917d02eb,https://open.spotify.com/track/4SDscXJTjdF2YgSkYADyU0
4511,Love Will Tear Us Apart (Martin Hannett Sessions),40,['Joy Division'],1980,https://i.scdn.co/image/ab67616d0000b273214bdc77bb905ff838e18fc3,https://open.spotify.com/track/2AkPNPNHNFCbvqQFlFmdPN
4511,Colony - 2007 Remaster,39,['Joy Division'],1980,https://i.scdn.co/image/ab67616d0000b27321590ea36e6264a1917d02eb,https://open.spotify.com/track/7CSrmKCRz7g9Z4GdKg3Asn
4511,Di Batas Kota Ini,39,['Tommy J Pisa'],1980-01-01,https://i.scdn.co/image/ab67616d0000b273076450e625e3e740b8c0d9f6,https://open.spotify.com/track/5XaZKjQpZShQTtVpiFsco9
4511,Walked in Line - 2007 Remaster,38,['Joy Division'],1981-10-08,https://i.scdn.co/image/ab67616d0000b273a01711815fdbd262af97af77,https://open.spotify.com/track/5X3rnVMmOhbXtmeCUDy6KP
4511,Love Will Tear Us Apart - 2010 Remaster,61,['Joy Division'],2010,https://i.scdn.co/image/ab67616d0000b273a1d7fb161ce10fbd09b08183,https://open.spotify.com/track/1r8oPEXqnhUVgkUkJNqEuF
4511,Heart and Soul - 2020 Digital Master,36,['Joy Division'],1980-07-18,https://i.scdn.co/image/ab67616d0000b2732a6822eba903a21913896ab1,https://open.spotify.com/track/0CB8UyGmMO0G7nLEmjmCyn
4511,Ceremony - Live at Birmingham University; 2007 Remaster,37,['Joy Division'],1981-10-08,https://i.scdn.co/image/ab67616d0000b273a01711815fdbd262af97af77,https://open.spotify.com/track/73xpDxJ42tQmKQnJHg2TXp
4511,Biarkan Aku Menangis,37,['Tommy J Pisa'],1982-04-01,https://i.scdn.co/image/ab67616d0000b2735f473a275c40daac14896691,https://open.spotify.com/track/2hafMiZMofbdybAShXWKQI
4511,A Better Place to Be - Live 1975 Version,32,['Harry Chapin'],1976,https://i.scdn.co/image/ab67616d0000b27337deea62d61fa8632ee4975d,https://open.spotify.com/track/3GaqsPVvZWUkR5HK1aQvP6
4511,Insoportablemente Bella - Remasterizado,31,['Hernaldo Zuniga'],1980-01-16,https://i.scdn.co/image/ab67616d0000b27371d286002e3d879ab177f84c,https://open.spotify.com/track/4T353gr2X1gH1I4LrIrDIk
4511,Ese Beso Que Me Has Dado - Remasterizado,32,['Hernaldo Zuniga'],1980-01-16,https://i.scdn.co/image/ab67616d0000b27371d286002e3d879ab177f84c,https://open.spotify.com/track/0IrrSsXvVYQs0tW9fbWbQ2
4511,Love Will Tear Us Apart - Pennine Version;2020 Digital Remaster,34,['Joy Division'],1980-06-01,https://i.scdn.co/image/ab67616d0000b2731e0fdc2906851e29d09320c3,https://open.spotify.com/track/3hY52T5HXLDqDjbFdlPYR6
4511,Colony - 2020 Digital Master,36,['Joy Division'],1980-07-18,https://i.scdn.co/image/ab67616d0000b2732a6822eba903a21913896ab1,https://open.spotify.com/track/2xdVantHk5zayugYswViOh
4511,Incredible,55,"['M-Beat', 'General Levy']",2009-04-13,https://i.scdn.co/image/ab67616d0000b2737890996251fa54e14dfc6367,https://open.spotify.com/track/2Q9F3D53QeclwbsY24cuxO
4511,Biarkan Aku Menangis,33,['Tommy J Pisa'],1980-10-01,https://i.scdn.co/image/ab67616d0000b2735bb5cb94fa88bd320ba59a82,https://open.spotify.com/track/4mnM13synvwRJvLODEMldH
4511,"Transmission - The Factory, Manchester Live 11 April 1980",31,['Joy Division'],1979-06-01,https://i.scdn.co/image/ab67616d0000b27316eb1e685e6bd37ab3228de6,https://open.spotify.com/track/0wR3UaRfERGrFW7FLnAsTf
4511,These Days - 2020 Digital Remaster,35,['Joy Division'],1980-06-01,https://i.scdn.co/image/ab67616d0000b2731e0fdc2906851e29d09320c3,https://open.spotify.com/track/00n7hqvg3U8OE5tqlKUaqm
4511,Caballo Viejo,31,['Los Olimareños'],1984-01-01,https://i.scdn.co/image/ab67616d0000b273a2eafce32bd513b62a59b5b5,https://open.spotify.com/track/7LWQfqfTvf1YvcP1eY3rXZ
4511,Why Still Bother,56,['ITCHY'],2011-02-25,https://i.scdn.co/image/ab67616d0000b273e2b9c8a6c00649a81dc5a5ee,https://open.spotify.com/track/5v8NOFjQCxBxpCNlul11Mg
4511,男子組,36,"['Jan Lamb', 'Leo Ku', 'Edmond Leung', 'William So', 'Ronald Cheng']",2005,https://i.scdn.co/image/ab67616d0000b273d1bbc61a0f42fcffd856be54,https://open.spotify.com/track/6KtQSJXHB2HxCnINX7Vu6A
4511,Do You Know Where You're Coming From? (feat. Jamiroquai),38,"['M-Beat', 'Jamiroquai']",1996-09-09,https://i.scdn.co/image/ab67616d0000b2736407aa9a5e5215cf554ad5d1,https://open.spotify.com/track/4dM3MXdicOj6IL0xEIvmSq
4511,Circus Love,37,"['Elif Çağlar', 'Bilal Karaman']",2010-12-31,https://i.scdn.co/image/ab67616d0000b27342822e5cceb6ffc951da7df3,https://open.spotify.com/track/5Srwk2wx8WrzJDAJvoGwBs
4511,Incredible,37,"['M-Beat', 'General Levy']",1994,https://i.scdn.co/image/ab67616d0000b2730e4a959b5e11b9224813e823,https://open.spotify.com/track/3M77NUZhfsaRonYTITYwRO
4511,No Roxa Áj,37,"['Jolly', 'Románcok']",2012-06-01,https://i.scdn.co/image/ab67616d0000b2737b2bf32d146d83ec2f2865fd,https://open.spotify.com/track/0dToRPr5v3Ujin74cJglhb
4511,Druga Pixa,53,['Enter'],2020-12-02,https://i.scdn.co/image/ab67616d0000b273109d13fd42748c2e32451784,https://open.spotify.com/track/787EnkzCoUFbCit1cgD5UN
4511,Just idag är jag stark,38,['Kenta'],2008-06-23,https://i.scdn.co/image/ab67616d0000b273e59861190fc754988c0c4392,https://open.spotify.com/track/2CMDO1c6bNkDlY5RV3pLye
4511,High,50,['Johnny Rollins'],2015-10-09,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Lifetime Respect,45,['Mikidozan'],2001-07-25,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,The Carnival of the Animals: The Swan,40,"['Camille Saint-Saëns', 'Academy Of London', 'Richard Stamp']",1989,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,美しき残酷な世界,41,['Yoko Hikasa'],2013-05-08,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,"Love Will Tear Us Apart (12"" Version)",34,['Joy Division'],1980,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Love Will Tear Us Apart,70,['Joy Division'],2008-03-20,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Sweet Love,41,"['M-Beat', 'Nazlin']",1994,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Dy-Na-Mi-Tee,55,['Ms. Dynamite'],2002-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,"Utsukushiki Zankokuna Sekai (From ""Attack on Titan"")",57,['Yoko Hikasa'],2017-03-23,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Pixa,53,['Enter'],2020-12-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Stukkie Van Der Merwe,37,['Pieter Smith'],2019-08-09,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Just idag är jag stark,33,['Kenta'],2008-07-14,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4511,Digital,47,['Joy Division'],2008-03-20,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4512,Just A Kiss,66,['Lady A'],2011-09-13,https://i.scdn.co/image/ab67616d0000b273e32c05c23344e590ec56a915,https://open.spotify.com/track/2OXidlnDThZR3zf36k6DVL
4512,PES MOU,45,['Ν.Ο.Ε.'],2019-03-25,https://i.scdn.co/image/ab67616d0000b273f1f61de2b8a4e337175bf6e2,https://open.spotify.com/track/5jRaKU8GyLXMtUsosbC4pg
4512,Champagne Night - From Songland,68,['Lady A'],2020-06-12,https://i.scdn.co/image/ab67616d0000b273763ba955f911e97026452467,https://open.spotify.com/track/48F2xnWq3LuzYWML327Z2r
4512,I Remember You,52,['Ronny Jordan'],2004-11-02,https://i.scdn.co/image/ab67616d0000b27351b610b13cacf3cc2f0a8bb2,https://open.spotify.com/track/6iCsFk2zf1INRexhJQzRM0
4512,Promille i Høyden,37,['Læx & Ludo'],2016-03-08,https://i.scdn.co/image/ab67616d0000b2733bbad5192c028570479d2ce3,https://open.spotify.com/track/72q9XSISOTjU0mF1oDKzjD
4512,Me voy a Emborrachar,41,['Las Chicas Dulces'],2016-04-12,https://i.scdn.co/image/ab67616d0000b273c4c1284918da51663e77285d,https://open.spotify.com/track/7onm0SiHLUJoNLoszMwjOM
4512,Kupu kupu malam (Dia ingin hidup),34,['Grace Simon'],2011-10-03,https://i.scdn.co/image/ab67616d0000b273ac49f62420763a8ad8e2f5e6,https://open.spotify.com/track/4q6bm7nh0gj7cdhhCgTBmG
4512,Message à la racaille,35,['Rohff'],2004-06-18,https://i.scdn.co/image/ab67616d0000b2733b138bbbce5cbbc9fb12bad7,https://open.spotify.com/track/54t3pWACAnnSVXgJdrK4Na
4512,Zlatana,41,['Rohff'],2013-09-23,https://i.scdn.co/image/ab67616d0000b273574b365a744dc25141414875,https://open.spotify.com/track/54U4T9gs5cAw6MW2bGCO9K
4512,Sécurisé,61,"['Rohff', 'Dadju']",2020-12-24,https://i.scdn.co/image/ab67616d0000b2734e4a730f5f025198f6912116,https://open.spotify.com/track/4AtDk9SFAYXTzKNKNScZnv
4512,Love Don't Live Here,54,['Lady A'],2008-01-01,https://i.scdn.co/image/ab67616d0000b2735cfe8f215e1276091dbab317,https://open.spotify.com/track/16vNQhg2y5RDkkNaQExLTL
4512,Dancin' Away With My Heart,56,['Lady A'],2011-09-13,https://i.scdn.co/image/ab67616d0000b273e32c05c23344e590ec56a915,https://open.spotify.com/track/61Y7PmzhuL79y87aS9nesX
4512,Nyári Dallam,34,['Kelemen Kabátban'],2013-01-01,https://i.scdn.co/image/ab67616d0000b273b1052d3d4afb40af28e1a20a,https://open.spotify.com/track/10yHTYCb61VHMSskQ8f9XQ
