,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
1879,42mWEvGlwKGhVQs8XkvQKP,She Thinks I Still Care,53,154800,0,['George Jones'],1962-01-01,0.591,0.424,11,-8.512,1,0.0301,0.283,0.0,0.134,0.613,115.01,4,https://i.scdn.co/image/ab67616d0000b27379d3c44956d209a80fa2380c,https://open.spotify.com/track/42mWEvGlwKGhVQs8XkvQKP,4261
6773,2YPL6CyzB5L3b9pCRk5lWi,Boogie - Remastered,39,256960,0,['UFO'],1970,0.343,0.806,5,-6.101,1,0.0597,0.000192,0.216,0.165,0.492,145.382,4,https://i.scdn.co/image/ab67616d0000b273fb357bf939242d11bc64e0ae,https://open.spotify.com/track/2YPL6CyzB5L3b9pCRk5lWi,4261
8572,1wXHoxfWuODxglSE7UtGA1,A Picture of Me (Without You),35,150427,0,['George Jones'],1972-10-17,0.367,0.162,7,-14.706,1,0.0309,0.96,0.00716,0.117,0.308,110.438,4,https://i.scdn.co/image/ab67616d0000b27364a7829a46e3eda0287a5875,https://open.spotify.com/track/1wXHoxfWuODxglSE7UtGA1,4261
9437,5Okf7KBikV8we3uqCMFjiL,Doctor Doctor - 2007 Remaster,62,252453,0,['UFO'],1974-01-01,0.298,0.799,2,-6.962,0,0.0464,0.000168,9.42e-05,0.496,0.561,143.072,4,https://i.scdn.co/image/ab67616d0000b2737dd63c9cad5acc0104ee9b78,https://open.spotify.com/track/5Okf7KBikV8we3uqCMFjiL,4261
9575,6OEfWjMRMtaXzBDJkAhcaK,Space Child - 2007 Remaster,47,241533,0,['UFO'],1974-01-01,0.461,0.493,2,-7.012,1,0.0357,0.0167,0.0176,0.0726,0.631,127.619,3,https://i.scdn.co/image/ab67616d0000b2737dd63c9cad5acc0104ee9b78,https://open.spotify.com/track/6OEfWjMRMtaXzBDJkAhcaK,4261
9920,6tnZjjv6OKPClBwPUkwE8d,Queen of the Deep - 2007 Remaster,37,344600,0,['UFO'],1974-01-01,0.303,0.665,5,-7.27,0,0.0452,0.0326,0.00592,0.214,0.436,133.441,4,https://i.scdn.co/image/ab67616d0000b2737dd63c9cad5acc0104ee9b78,https://open.spotify.com/track/6tnZjjv6OKPClBwPUkwE8d,4261
10088,1uWWRdMTVRyYK8tU6PgBRu,Crystal Light - 2007 Remaster,34,227973,0,['UFO'],1974-01-01,0.556,0.57,4,-7.723,0,0.0368,0.0314,0.000126,0.165,0.108,120.966,4,https://i.scdn.co/image/ab67616d0000b2737dd63c9cad5acc0104ee9b78,https://open.spotify.com/track/1uWWRdMTVRyYK8tU6PgBRu,4261
10101,4gx2siuXWbminmRfZL9Z3E,Too Young to Know - 2007 Remaster,34,189547,0,['UFO'],1974-01-01,0.506,0.725,7,-6.275,1,0.0306,0.000215,0.000183,0.0692,0.964,128.211,4,https://i.scdn.co/image/ab67616d0000b2737dd63c9cad5acc0104ee9b78,https://open.spotify.com/track/4gx2siuXWbminmRfZL9Z3E,4261
11298,2c8yGhVxPZ4nKaGAYwp1gu,Belladonna - 2007 Remaster,45,272573,0,['UFO'],1976-05-01,0.525,0.42,9,-9.548,0,0.0311,0.0549,0.00148,0.0761,0.247,129.695,4,https://i.scdn.co/image/ab67616d0000b273c637534a548b26d8add5d094,https://open.spotify.com/track/2c8yGhVxPZ4nKaGAYwp1gu,4261
12213,6spqbkDz0sA29d8CA358F1,Too Hot to Handle - 2008 Remaster,41,217867,0,['UFO'],1977-01-01,0.499,0.896,9,-6.675,1,0.0442,0.00214,0.00721,0.178,0.829,128.426,4,https://i.scdn.co/image/ab67616d0000b2732d9424105035ab5070f7c646,https://open.spotify.com/track/6spqbkDz0sA29d8CA358F1,4261
