,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
1270,38C8v33eis3fa4hLf0dl8Z,Self-Portrait in Three Colors,36,187867,0,['Charles Mingus'],1959,0.258,0.0919,7,-16.015,0,0.0322,0.963,0.356,0.0916,0.182,177.289,3,https://i.scdn.co/image/ab67616d0000b273aa397a43547cd41e228a3063,https://open.spotify.com/track/38C8v33eis3fa4hLf0dl8Z,4031
2416,3XvcgEkQfjasB5NnY8P4QA,Track A- Solo Dancer,39,398733,0,['Charles Mingus'],1963,0.177,0.622,5,-8.565,0,0.058,0.0253,3.55e-05,0.0419,0.431,204.322,3,https://i.scdn.co/image/ab67616d0000b27375af2561b7132c5c34ecb3aa,https://open.spotify.com/track/3XvcgEkQfjasB5NnY8P4QA,4031
12559,0frIZMaQwtdV4Ee8nhB1te,Khe Sanh - 2011 Remastered,65,254045,0,['Cold Chisel'],1978,0.474,0.918,7,-4.21,1,0.177,0.129,0.0,0.238,0.655,164.049,4,https://i.scdn.co/image/ab67616d0000b273cfa6f0adeb400615a0fe4cd6,https://open.spotify.com/track/0frIZMaQwtdV4Ee8nhB1te,4031
14113,7G5eBJbcCGu6XMBcjRvqK9,Standing On The Outside - 2011 Remastered,49,173306,0,['Cold Chisel'],1980,0.389,0.953,9,-3.304,1,0.0635,0.0336,0.00251,0.293,0.529,160.0,4,https://i.scdn.co/image/ab67616d0000b2730c5c3b3fd3752e9c9443e980,https://open.spotify.com/track/7G5eBJbcCGu6XMBcjRvqK9,4031
15425,0zYKkOvUgOL8gceY8Eh1Wh,Bow River - 2011 Remastered,55,263432,0,['Cold Chisel'],1982,0.28,0.948,9,-1.916,0,0.142,0.057,0.0,0.331,0.644,176.896,4,https://i.scdn.co/image/ab67616d0000b27378d8f5373c7fc2bab48990b1,https://open.spotify.com/track/0zYKkOvUgOL8gceY8Eh1Wh,4031
24742,1kxq2ByL62HX8YQQdvK3mz,Behind Bars,55,201960,0,['Slick Rick'],1994-01-01,0.549,0.804,7,-6.115,1,0.366,0.103,0.0,0.18,0.707,190.479,4,https://i.scdn.co/image/ab67616d0000b273fb70fad34a7f9f088d99322c,https://open.spotify.com/track/1kxq2ByL62HX8YQQdvK3mz,4031
27030,0pg2VKzTsBdbxPzcOkReY2,A grand love theme,56,242800,0,['Kid Loco'],1997,0.553,0.659,9,-9.281,1,0.0613,0.502,0.859,0.184,0.46,183.815,4,https://i.scdn.co/image/ab67616d0000b2735fceab5f345f3b75548b3880,https://open.spotify.com/track/0pg2VKzTsBdbxPzcOkReY2,4031
28695,3HHTF12zYLGtLsZbBaLMhk,Everybody Hurts - MTV Unplugged Live Version,56,349667,0,['The Corrs'],1999-11-12,0.231,0.325,5,-10.483,1,0.0315,0.694,0.00114,0.69,0.282,173.463,3,https://i.scdn.co/image/ab67616d0000b2731613606cdc92045d912f5dc1,https://open.spotify.com/track/3HHTF12zYLGtLsZbBaLMhk,4031
29476,1kDWRREI28eCvDpJvSRd9b,All the Love in the World,56,240680,0,['The Corrs'],2000-07-17,0.461,0.695,2,-7.623,1,0.0293,0.195,1.04e-06,0.131,0.309,179.609,4,https://i.scdn.co/image/ab67616d0000b2735320a1b471ae75632ef787e5,https://open.spotify.com/track/1kDWRREI28eCvDpJvSRd9b,4031
49491,2UVPNfmTx2C27Py3z5r9RC,Potter Waltz,56,138840,0,['Patrick Doyle'],2005-11-09,0.138,0.207,2,-17.358,1,0.0408,0.879,0.915,0.121,0.434,176.246,3,https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e,https://open.spotify.com/track/2UVPNfmTx2C27Py3z5r9RC,4031
