,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
6916,6VbR8deYXNyYCwHVMvs9du,One Million Years,36,247333,0,['Robin Gibb'],1970-02-01,0.3,0.392,2,-14.178,1,0.0332,0.2,0.0,0.33,0.353,141.412,4,https://i.scdn.co/image/ab67616d0000b273e8f6eb65ed46a313b950e9d3,https://open.spotify.com/track/6VbR8deYXNyYCwHVMvs9du,4661
6969,4UHi91aihn0ZMGibFwTuuJ,August October,35,154560,0,['Robin Gibb'],1970-02-01,0.163,0.508,0,-11.515,1,0.0398,0.725,0.0,0.079,0.422,175.667,1,https://i.scdn.co/image/ab67616d0000b273e8f6eb65ed46a313b950e9d3,https://open.spotify.com/track/4UHi91aihn0ZMGibFwTuuJ,4661
39498,670vQZb3PjHmWDokt546yv,Kathy's Gone,36,218560,0,['Robin Gibb'],1983-10-01,0.464,0.645,0,-12.948,1,0.0325,0.56,0.000411,0.0588,0.898,200.141,4,https://i.scdn.co/image/ab67616d0000b2736d25289dee4bdd62d2e006bb,https://open.spotify.com/track/670vQZb3PjHmWDokt546yv,4661
39716,4G129RNGqq27uY9uAnTEEi,"Allting här i livet, det går upp och ner (Is Anybody Going to San Antone)",36,188387,0,['Stefan Borsch'],1984,0.61,0.851,7,-6.331,1,0.0326,0.371,0.0,0.106,0.973,145.281,4,https://i.scdn.co/image/ab67616d0000b2733359487e911ace9dab80c287,https://open.spotify.com/track/4G129RNGqq27uY9uAnTEEi,4661
58582,2njKsn17dnTAhbMniv4o3b,Jorden är platt,33,160161,0,['Stefan Borsch'],1981,0.656,0.748,4,-6.309,1,0.0389,0.189,5.74e-06,0.129,0.938,154.211,4,https://i.scdn.co/image/ab67616d0000b273552055d2ba0e53bf2d7d9c8d,https://open.spotify.com/track/2njKsn17dnTAhbMniv4o3b,4661
59324,5iLboC1uAZdzkOhk10ptjk,Sven-Ingvars potpurri,36,266840,0,['Stefan Borsch'],1990,0.527,0.655,2,-11.557,1,0.0398,0.293,0.0,0.301,0.868,176.239,4,https://i.scdn.co/image/ab67616d0000b273e837a0bea9eb0d2bc83f16a2,https://open.spotify.com/track/5iLboC1uAZdzkOhk10ptjk,4661
71288,2TRyhtRsOs3qVZpOl6uJaL,Sonámbulo,36,305133,0,['Tito Nieves'],2006-01-01,0.536,0.774,10,-6.128,0,0.0497,0.707,1.5e-05,0.139,0.852,183.324,4,https://i.scdn.co/image/ab67616d0000b273c78dcb5a6b30147821229b6a,https://open.spotify.com/track/2TRyhtRsOs3qVZpOl6uJaL,4661
92114,2z72ViIcVaNUQJr7ReLJbW,Sueño Bonito,33,176467,0,['Los Rancheritos Del Topo Chico'],1989-01-01,0.45,0.455,10,-9.507,1,0.0588,0.668,0.0,0.0596,0.704,188.201,4,https://i.scdn.co/image/ab67616d0000b273a74b0346fecfe1f8f31ccfe5,https://open.spotify.com/track/2z72ViIcVaNUQJr7ReLJbW,4661
184251,2NDytD9VRksgIbTVkVFh6i,Alpens ros,34,200992,0,['Stefan Borsch'],1989,0.451,0.61,8,-11.384,1,0.029,0.367,0.0,0.236,0.903,169.84,3,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,4661
31611,0GgN4MhR5GKn5IcKN0e0rG,Cancer,67,142973,0,['My Chemical Romance'],2006-10-23,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,4,https://i.scdn.co/image/ab67616d0000b27317f77fab7e8f18d5f9fee4a1,https://open.spotify.com/track/0GgN4MhR5GKn5IcKN0e0rG,4662
