,name,popularity,artists,release_date,images,urls
4671,Que No Lastimen a Tu Corazon,34,['Pecos'],1979,https://i.scdn.co/image/ab67616d0000b2738cde670a7281a2e3279e3682,https://open.spotify.com/track/5bqZm9e5MrddhGEkDUhugo
4671,Love's Taken Over,42,['Chanté Moore'],1992-01-01,https://i.scdn.co/image/ab67616d0000b2732d68089593994659975f685a,https://open.spotify.com/track/7n7wvN50nYgYAsB7iPGz14
4671,Wey U - from Waiting to Exhale - Original Soundtrack,36,['Chanté Moore'],1995-11-14,https://i.scdn.co/image/ab67616d0000b2739e3c82ffe334e13097b6d60d,https://open.spotify.com/track/6wVX60aAbnJQ5C4Nsg50uc
4671,My Friend,33,['Jimi Hendrix'],1971,https://i.scdn.co/image/ab67616d0000b2733fefe39e610cf4ba58caeec7,https://open.spotify.com/track/065DgHzdiTnwiwEEBHFrIN
4671,Above The Law,59,['Bad Meets Evil'],2011-01-01,https://i.scdn.co/image/ab67616d0000b27359a1132f3cab22f80b2d2777,https://open.spotify.com/track/5oEgPvhTZ4CFjeuuLfmMsI
4671,Y Te Vas,32,['Pecos'],1979,https://i.scdn.co/image/ab67616d0000b2738cde670a7281a2e3279e3682,https://open.spotify.com/track/3ieEsGFGCgsmyU2imlsZql
4671,Tanto Tiempo,48,['Luigi 21 Plus'],2016-08-05,https://i.scdn.co/image/ab67616d0000b27377e623823805ca8bf9c813d5,https://open.spotify.com/track/7zJLCXgUhTCKnEG2ZPrabh
4671,Mala y Descarada,47,['Luigi 21 Plus'],2016-08-05,https://i.scdn.co/image/ab67616d0000b27377e623823805ca8bf9c813d5,https://open.spotify.com/track/0ItvgDqMVPkJ2sYiTCld5l
4671,Red House,39,['Jimi Hendrix'],1994-04-18,https://i.scdn.co/image/ab67616d0000b2731e3d153c8ecda03a495ca811,https://open.spotify.com/track/1ska3YnfMLiOJ6YH7EpZa9
4671,"愛,存在",57,['魏奇奇'],2018-07-27,https://i.scdn.co/image/ab67616d0000b2731f95bc3feb598fc1a4df111d,https://open.spotify.com/track/5ujzXla4Duu88FPpfJM9xB
4671,Öldürün Ne Olur,38,['Engin Nursani'],2003-07-02,https://i.scdn.co/image/ab67616d0000b273c9b865648a6bc3c5a008149a,https://open.spotify.com/track/1OQTqYNL9N8LTSOd4yT2cZ
4671,Resmini Yırttırma Bana,34,['Engin Nursani'],2006-11-22,https://i.scdn.co/image/ab67616d0000b2737a7e2ef76f350e098f4b20a9,https://open.spotify.com/track/7l7ou1YwDO4ZYtuyp1aaJb
4671,Sevduğum,46,['Marsis'],2012-05-10,https://i.scdn.co/image/ab67616d0000b27380be6497d0166934752458f4,https://open.spotify.com/track/5iGDPjKwzSwRo8IpP7QFvU
4671,Ander Sevdaluk,36,['Marsis'],2012-05-10,https://i.scdn.co/image/ab67616d0000b27380be6497d0166934752458f4,https://open.spotify.com/track/0daFLKJg8D8q4QvwMbJN9c
4671,Weg Van Jou,64,['Suzan & Freek'],2020-05-01,https://i.scdn.co/image/ab67616d0000b27304d1dc1c07ae253dc56dd1cd,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
4671,De Helft Van Wat Je Doet,55,['Suzan & Freek'],2020-10-29,https://i.scdn.co/image/ab67616d0000b27303b5e51c4b4f39e8c351735e,https://open.spotify.com/track/7f2rMSEF8WLqcbd6tvwlH1
4671,Church Clap,57,"['KB', 'Lecrae']",2012-07-17,https://i.scdn.co/image/ab67616d0000b2734337cfc8d13c586eaee451e0,https://open.spotify.com/track/4iHrXZX4AKJOW58civjs1t
4671,Достучаться до небес,32,['ST1M'],2008-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4671,I Smell Winter,32,['The Housemartins'],1988-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4671,Peer Gynt Suite No.1 op. 46 Anitra's Dance (Tempo di Mazurka),40,['Academy of St. Martin in the Fields'],1994,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4671,The People Who Grinned Themselves To Death,33,['The Housemartins'],1987-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4671,Para Ti Mi Amor,44,['Lalo Mora'],2004-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4671,La Mia Occasione,42,"['Serena Rossi', 'Giuseppe Russo']",2013-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
4671,El Hombre Que Más Te Amó,61,['Lalo Mora'],2006-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
