,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
2337,Rescata Mi Corazon,41,174973,0,['Manuel Wirzt'],1994-01-01,0.638,0.834,0,-6.005,0,0.151,0.26,0.0,0.289,0.743,149.488,4,https://i.scdn.co/image/ab67616d0000b273e11e78baecb99a41823147bb,https://open.spotify.com/track/00HFAcQH3J6J5CUO3UDU7I
2337,Let's Work Together,36,169867,0,['Canned Heat'],1987-01-01,0.566,0.529,0,-15.352,1,0.0415,0.639,0.0121,0.119,0.9,118.519,4,https://i.scdn.co/image/ab67616d0000b27308a9f2ae15587fa3da702ba0,https://open.spotify.com/track/1auS5fpZRGBOS13XsYvYVY
2337,Wanna Be Up,35,219827,0,['Chantoozies'],1988,0.685,0.831,5,-8.444,1,0.0312,0.00174,0.000441,0.207,0.995,128.104,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2337,Let's Work Together,45,170120,0,['Canned Heat'],1970-08-03,0.76,0.702,0,-12.382,1,0.0362,0.123,1.38e-06,0.0807,0.885,118.783,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2337,Help Me,39,192627,0,['Canned Heat'],1967-01-01,0.783,0.383,1,-11.982,0,0.0734,0.843,0.146,0.131,0.813,123.034,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2338,Keep On Smilin',50,237333,0,['Wet Willie'],1974-01-01,0.617,0.396,7,-15.925,1,0.043,0.0933,0.000379,0.0531,0.869,102.848,4,https://i.scdn.co/image/ab67616d0000b273a73a9a4cea7df72f31b94d96,https://open.spotify.com/track/6sHrxsewgTMPs2Di4x636C
2338,Set It Off,41,245960,0,['Big Daddy Kane'],1988-01-01,0.8,0.611,10,-13.294,0,0.212,0.000359,0.0,0.227,0.777,118.764,4,https://i.scdn.co/image/ab67616d0000b2734cfccde1650dc6b7cb61d5a7,https://open.spotify.com/track/6L0reMMEHvJsEX7kBo8Dm5
2338,"Warm It Up, Kane",49,254027,0,['Big Daddy Kane'],1989,0.878,0.311,1,-17.401,1,0.324,0.0953,0.0,0.0808,0.486,117.759,4,https://i.scdn.co/image/ab67616d0000b27375f7661c21b85aab0126f80c,https://open.spotify.com/track/6l1tmVO6bRmV7kSMsYaHZm
2338,Ultimate,68,189974,1,['Denzel Curry'],2015-01-01,0.493,0.826,9,-3.106,1,0.311,0.095,3.42e-06,0.252,0.75,112.865,4,https://i.scdn.co/image/ab67616d0000b273b9c31bc080dd46b38bbafce2,https://open.spotify.com/track/6R0GRYk2vs2XuBVemYK5YZ
2338,Get Involved,45,194694,1,"['Raphael Saadiq', 'Q-Tip']",1999-06-15,0.852,0.526,0,-5.099,0,0.0515,0.0145,0.000461,0.0772,0.762,97.984,4,https://i.scdn.co/image/ab67616d0000b2739a4a1591ef717f7ec3382d8d,https://open.spotify.com/track/0sTW8OzAchJDkwQOfAQgD3
