,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
2181,Je pense encore à toi - Remastered,39,131173,0,['Francis Cabrel'],1980,0.474,0.216,2,-12.361,1,0.0332,0.807,0.0,0.0807,0.297,117.124,4,https://i.scdn.co/image/ab67616d0000b27370c993291eeaacca76b75271,https://open.spotify.com/track/70juOU8kphO1VmL540Fmcf
2181,Sarbacane - Remastered,49,247173,0,['Francis Cabrel'],1989-02-21,0.797,0.67,4,-7.16,1,0.0331,0.171,0.061,0.083,0.931,125.892,4,https://i.scdn.co/image/ab67616d0000b273130eabfd44b341e46ff026c3,https://open.spotify.com/track/3joYxf5x8kQv2eEpZg6jCm
2181,Tout le monde y pense - Remastered,43,243680,0,['Francis Cabrel'],1989-02-21,0.53,0.21,9,-12.611,0,0.0285,0.577,9.55e-05,0.128,0.124,126.242,4,https://i.scdn.co/image/ab67616d0000b273130eabfd44b341e46ff026c3,https://open.spotify.com/track/0gJaKrCGRndHiDuTplONX5
2181,Animal - Remastered,41,327133,0,['Francis Cabrel'],1989-02-21,0.774,0.446,2,-10.479,1,0.0323,0.206,0.00556,0.038,0.507,116.948,4,https://i.scdn.co/image/ab67616d0000b273130eabfd44b341e46ff026c3,https://open.spotify.com/track/3gBxVWoK82VpztyxnOsOCc
2181,"Je t'aimais, je t'aime, je t'aimerai - Remastered",61,278253,0,['Francis Cabrel'],1994,0.498,0.34,6,-12.231,1,0.0334,0.819,4.19e-05,0.146,0.376,118.113,4,https://i.scdn.co/image/ab67616d0000b2732cbb7cbad0d269ca17272021,https://open.spotify.com/track/1sTWIzAlg8HapeWz2fXvfJ
2181,Centerfield,62,231347,0,['John Fogerty'],2010-06-29,0.777,0.948,7,-3.648,1,0.0479,0.127,5.36e-06,0.0708,0.973,142.359,4,https://i.scdn.co/image/ab67616d0000b273628e63839891bfb8cd2b8a29,https://open.spotify.com/track/2iRfjwzPsooCskZrrlsgcC
2181,Space Girl,77,231429,0,['Frances Forever'],2020-03-27,0.67,0.399,9,-9.137,1,0.0306,0.32,0.000126,0.38,0.211,125.981,4,https://i.scdn.co/image/ab67616d0000b2735bf94c975a1a77b614c00283,https://open.spotify.com/track/7FjIYiD53wxlQmzTT6Wdpf
2181,The Old Man Down The Road,59,214093,0,['John Fogerty'],2010-06-29,0.768,0.809,9,-5.816,1,0.0289,0.0271,0.000633,0.0584,0.737,133.838,4,https://i.scdn.co/image/ab67616d0000b273628e63839891bfb8cd2b8a29,https://open.spotify.com/track/0tkfgenYMiMQPIma894lgc
2181,Eye Of The Zombie,31,275600,0,['John Fogerty'],1986-09-29,0.747,0.809,2,-6.644,1,0.0362,0.0242,0.0222,0.146,0.809,124.117,4,https://i.scdn.co/image/ab67616d0000b273e413b4c1ac3acb285fd224db,https://open.spotify.com/track/0tN6NhHgaAwAQy6NIdqgTW
2181,Rockin' All Over The World - Live 1997,41,175880,0,['John Fogerty'],1998-06-09,0.645,0.974,2,-4.496,1,0.0794,0.242,5.74e-05,0.988,0.818,138.719,4,https://i.scdn.co/image/ab67616d0000b273dc8ddafba162a609982d3cfa,https://open.spotify.com/track/35HMZILlSFArdExoe99ZEs
2181,Rock and Roll Girls,55,206640,0,['John Fogerty'],2010-06-29,0.794,0.73,7,-6.067,1,0.0332,0.0538,0.000832,0.0826,0.767,128.999,4,https://i.scdn.co/image/ab67616d0000b273628e63839891bfb8cd2b8a29,https://open.spotify.com/track/5DeuAlTIDflXOomztXYM5D
2181,Si Algùn Día la Ves,32,189933,0,['Francis Cabrel'],1998-04-06,0.586,0.349,7,-9.575,1,0.0312,0.746,0.0,0.0904,0.338,117.782,3,https://i.scdn.co/image/ab67616d0000b273303686a026c7a0618ede3da0,https://open.spotify.com/track/2g9nW9edpxcz60FTuJzlY3
2181,Oh Juliana,75,153078,0,['Niack'],2020-06-30,0.799,0.568,6,-3.089,1,0.25,0.387,0.0,0.0892,0.963,129.63,4,https://i.scdn.co/image/ab67616d0000b273d5e84226231ade05cdc22661,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2181,Na Raba Toma Tapão,67,165231,0,['Niack'],2020-06-06,0.962,0.787,3,1.509,0,0.0554,0.666,5.74e-05,0.176,0.968,130.003,4,https://i.scdn.co/image/ab67616d0000b273fe140a498f4c256b2244bbfa,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
2181,Il faudra leur dire,38,223240,0,['Francis Cabrel'],1987-11-16,0.683,0.0405,4,-23.169,1,0.0335,0.855,7.99e-05,0.101,0.274,121.743,4,https://i.scdn.co/image/ab67616d0000b273f24da01eafa1952521a532d1,https://open.spotify.com/track/5gZVruN4O0NH5sh53hOdDS
2181,Assis sur le rebord du monde - Remastered,42,206133,0,['Francis Cabrel'],1994,0.849,0.336,9,-12.737,1,0.0525,0.527,0.000145,0.108,0.448,112.762,4,https://i.scdn.co/image/ab67616d0000b2732cbb7cbad0d269ca17272021,https://open.spotify.com/track/4qxIYfd899cRtHPbjU7ep1
2181,Le reste du temps - Remastered,40,210800,0,['Francis Cabrel'],1999,0.682,0.399,10,-14.094,1,0.0306,0.793,0.0237,0.108,0.684,143.995,4,https://i.scdn.co/image/ab67616d0000b2739a06ca9c68d280d65e6043b6,https://open.spotify.com/track/1LXFMfJtSKhuairri1gjwP
2181,Presque rien - Remastered,39,261307,0,['Francis Cabrel'],1999,0.721,0.275,5,-14.467,1,0.0342,0.811,0.00124,0.0848,0.269,133.855,4,https://i.scdn.co/image/ab67616d0000b2739a06ca9c68d280d65e6043b6,https://open.spotify.com/track/36qQmbcKfhheQ0D1zKqPJj
2181,Le monde est sourd - Remastered,36,263867,0,['Francis Cabrel'],1999,0.746,0.596,5,-10.063,0,0.0324,0.249,0.00365,0.117,0.624,142.996,4,https://i.scdn.co/image/ab67616d0000b2739a06ca9c68d280d65e6043b6,https://open.spotify.com/track/6dLzcqrtb8zFuosBgXbhdD
2181,Petite Marie,44,206040,0,['Francis Cabrel'],2007-04-04,0.555,0.385,11,-9.502,0,0.0272,0.615,0.0,0.117,0.322,127.544,4,https://i.scdn.co/image/ab67616d0000b273e469df85fd7e606fa00f684b,https://open.spotify.com/track/3n8d0ORkKZiFrO2RJNXLAp
2181,1 X 0 Eu,41,220173,0,['Dibob'],2004,0.559,0.851,11,-5.199,1,0.0328,0.000964,0.0,0.228,0.515,116.964,4,https://i.scdn.co/image/ab67616d0000b273cfdef457d2f1526a63d61e34,https://open.spotify.com/track/1PGyfLQdgFPXGEtP2b6ovZ
2181,Sunshine (feat. Dan Harkna) - Radio Edit,51,180647,0,"['TIEKS', 'Dan Harkna']",2016-09-23,0.613,0.822,4,-3.995,1,0.0398,0.183,0.0,0.478,0.576,116.981,4,https://i.scdn.co/image/ab67616d0000b273b28f1e517df57f6339f08f8c,https://open.spotify.com/track/3jbsz68DZXoqTlCz0n05xn
2181,Les gens absents - Remastered,36,306200,0,['Francis Cabrel'],2004,0.647,0.45,0,-14.234,1,0.0299,0.279,0.435,0.147,0.41,120.32,4,https://i.scdn.co/image/ab67616d0000b273f91821d2272138407b0ab198,https://open.spotify.com/track/5ZQBKNMd2bAqAohzxutFRn
2181,Gardien de nuit,44,176707,0,['Francis Cabrel'],2006-11-12,0.79,0.84,7,-4.906,0,0.0684,0.657,0.0,0.259,0.94,138.012,4,https://i.scdn.co/image/ab67616d0000b273d8fd367feaa1c1244b7258db,https://open.spotify.com/track/1CFbXVHm6DKIL37kIgNe8c
2181,Il faudra leur dire,46,224107,0,['Francis Cabrel'],2007-04-04,0.692,0.201,4,-11.451,1,0.0293,0.896,0.000211,0.0754,0.291,121.732,4,https://i.scdn.co/image/ab67616d0000b273e469df85fd7e606fa00f684b,https://open.spotify.com/track/6Tukj597FF0AvfYRuykJKM
