,name,popularity,artists,release_date,images,urls
2821,Nights Over Egypt,53,['The Jones Girls'],1981,https://i.scdn.co/image/ab67616d0000b27342b60af393781ecdec90519a,https://open.spotify.com/track/68VCCqeujyd3SqmYAWB0lZ
2821,Guantanamera (feat. Refugee All Stars),55,"['Wyclef Jean', 'Refugee All Stars']",1997-06-24,https://i.scdn.co/image/ab67616d0000b2730e14aa8361fbf8b5648fc3b7,https://open.spotify.com/track/6g5ov3aSDUvvDkQKIcmZQI
2821,We Trying to Stay Alive (feat. Refugee All Stars),54,"['Wyclef Jean', 'Refugee All Stars']",1997-06-24,https://i.scdn.co/image/ab67616d0000b2730e14aa8361fbf8b5648fc3b7,https://open.spotify.com/track/4wwRROf47MXBX5u5Knwixx
2821,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",59,"['Wyclef Jean', 'Akon', 'Lil Wayne', 'Niia']",2007-08-14,https://i.scdn.co/image/ab67616d0000b2731e845be51fa079ea1eff1131,https://open.spotify.com/track/4liGjmhCupa7RP9JaQELYx
2821,Grown Up,62,['Danny Brown'],2012-06-05,https://i.scdn.co/image/ab67616d0000b2734838a76d5fdc478ce046c92d,https://open.spotify.com/track/2KrkWcSP0oFWBUZzvj9KjS
2821,Dance Like This (feat. Claudette Ortiz),40,"['Wyclef Jean', 'Claudette Ortiz']",1990-01-01,https://i.scdn.co/image/ab67616d0000b273cdcfaea8a4e68d5a15fc9e5f,https://open.spotify.com/track/5wOlrILWF42yYT5iqeUeEl
2821,El De Los Lentes Carrera (Bonus Track),61,['Revolver Cannabis'],2014-07-15,https://i.scdn.co/image/ab67616d0000b27308767924729767f256771d8d,https://open.spotify.com/track/3j1WurYpvW7IgHCATbiDdQ
2821,Down The Dirt Road Blues,40,['Charley Patton'],1990,https://i.scdn.co/image/ab67616d0000b27342e0eada88d1bbcbb0af0351,https://open.spotify.com/track/4sCCIP8eG3HVizWnm1SQ0G
2821,Mona Lisa (feat. Refugee All Stars),35,"['Wyclef Jean', 'Refugee All Stars']",1997-06-24,https://i.scdn.co/image/ab67616d0000b2730e14aa8361fbf8b5648fc3b7,https://open.spotify.com/track/5mxtS6mlZn4JLPy8LprOyv
2821,Gone Till November (feat. R. Kelly & Canibus) - The Makin' Runs Remix,33,"['Wyclef Jean', 'R. Kelly', 'Canibus']",1997,https://i.scdn.co/image/ab67616d0000b273a839d7b49ba1dc4b81f6f8fe,https://open.spotify.com/track/5Y0owZ8NszGudca8OAXQHu
2821,Motivos,43,"['Los Morunos', 'Mariachi Los Fortunatos']",2014-02-04,https://i.scdn.co/image/ab67616d0000b2732c80f76e2d33258dff637366,https://open.spotify.com/track/3ovuamiUGQPLN0HuVeCNKi
2821,Bad Blood,58,['Nao'],2016-07-29,https://i.scdn.co/image/ab67616d0000b273e8a627f6f15094b2eb0deba5,https://open.spotify.com/track/4Iam3vZMJCMltFkK9mNruw
2821,Sang Fézi (feat. Refugee All Stars),41,"['Wyclef Jean', 'Refugee All Stars']",1997-06-24,https://i.scdn.co/image/ab67616d0000b2730e14aa8361fbf8b5648fc3b7,https://open.spotify.com/track/49CzHdhNiYKBGZeQ9eFjhA
2821,Síðan hittumst við aftur,34,['Helgi Björnsson'],2011-01-01,https://i.scdn.co/image/ab67616d0000b273064df3ed5d8d1cb7fe929add,https://open.spotify.com/track/09VfqTsT68gPJjYavU7dI9
2821,El de los Lentes Carrera,53,['Revolver Cannabis'],2013-03-05,https://i.scdn.co/image/ab67616d0000b2737505dc277f682cf15b1c25c4,https://open.spotify.com/track/0GsCrrrcK5asymW6QpCUKc
2821,Estiu,47,['ZOO'],2014-11-10,https://i.scdn.co/image/ab67616d0000b273748dbc699610da5998ce2f74,https://open.spotify.com/track/2IFTKzkdw6XmFlJQiWvHVk
2821,Corbelles,45,['ZOO'],2014-11-10,https://i.scdn.co/image/ab67616d0000b273748dbc699610da5998ce2f74,https://open.spotify.com/track/0Zs3kJlxEenw7Ffq2HWLY4
2821,Rituales de Santería,49,"['ZOO', 'Annie Garcés', 'Ciudad Jara']",2017-03-24,https://i.scdn.co/image/ab67616d0000b273d8dce4e0a8969746bb7d5ed3,https://open.spotify.com/track/1DtrlY4mOFrtuqgMYjXVJL
2821,Power Play,34,['Eddie And The Tide'],1987-06-15,https://i.scdn.co/image/ab67616d0000b2739747d32371a2d8ae811d32b4,https://open.spotify.com/track/097kFKDX4RjhBGNbq0IVq9
2821,Dance Like This (feat. Claudette Ortiz),42,"['Wyclef Jean', 'Claudette Ortiz']",2004,https://i.scdn.co/image/ab67616d0000b273bb18a7f2c63ade2d028b859b,https://open.spotify.com/track/5QxTihMkiG5ws6wDEtrGVP
2821,Mamo Ja Nie Chcę Za Mąż,40,['Brathanki'],2014-06-09,https://i.scdn.co/image/ab67616d0000b2735dd346549c73dd0c1e23ea9e,https://open.spotify.com/track/6Aj3Dvfxd31AaKAvATwdaI
2821,If You're Not the One,52,['Kyle Juliano'],2018-09-21,https://i.scdn.co/image/ab67616d0000b273091c742af887522b343bc0d1,https://open.spotify.com/track/1GR048FTHqQeSuiP1qszT3
2821,Nadarang - Campfire Mix,48,['Kyle Juliano'],2018-03-26,https://i.scdn.co/image/ab67616d0000b273c9cec0dc3098bbbe2d7117e1,https://open.spotify.com/track/2RzdvVrhZdoa3PyrU0NTLp
2821,Czerwone Korale,49,['Brathanki'],2000,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2821,Heaven,50,['Kyle Juliano'],2019-02-22,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2821,El Sicario de Dios (El Sicario y Ramón),49,['Revolver Cannabis'],2012-08-13,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2821,Loco,71,['Beéle'],2019-08-08,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2821,Heniek,32,['Brathanki'],2000-04-03,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2821,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",52,"['Wyclef Jean', 'Akon', 'Lil Wayne', 'Niia']",2007-11-19,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,Keep On Dancing,33,['The Gentrys'],1965,https://i.scdn.co/image/ab67616d0000b273e9a50e41637f201b317d2e91,https://open.spotify.com/track/0U2qjjKAGyednhFU0fxw1B
2822,Over Now (with The Weeknd),76,"['Calvin Harris', 'The Weeknd']",2020-08-28,https://i.scdn.co/image/ab67616d0000b273e5e19455ff5f76c58048bea8,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
2822,Woodchopper's Ball,44,['Woody Herman & His Orchestra'],1991-01-01,https://i.scdn.co/image/ab67616d0000b2735ca9df6c53be936a0223c84a,https://open.spotify.com/track/4rHjZlNFyBhY6CgjlR5y5W
2822,Hello Hello!,58,['Super Simple Songs'],2017-03-24,https://i.scdn.co/image/ab67616d0000b2736b6a4e0e16a65dc60cbad88e,https://open.spotify.com/track/6cOoTI6mqsYuaZPyX76553
2822,Balalaïka,33,['Pierre Lozère'],1983-10-15,https://i.scdn.co/image/ab67616d0000b273c61242682ad21e0db692fcdc,https://open.spotify.com/track/6U3ANZ5Pc4SgxhzjD2UNVl
2822,Na Szczycie,57,['Grubson'],2009-01-01,https://i.scdn.co/image/ab67616d0000b27395899cd390f1b42da281555f,https://open.spotify.com/track/7aQViYYpIkpJwyCHPysCo4
2822,Bâtiment,62,['Niska'],2019-09-05,https://i.scdn.co/image/ab67616d0000b273ff0af6a4952fa3c6681a2e53,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
2822,Puisi,60,['Jikustik'],2006-11-10,https://i.scdn.co/image/ab67616d0000b273d5e4677dd0539ffdd115a064,https://open.spotify.com/track/4XmNQ2LLbVq8MDn8MG8HUS
2822,Naprawimy To feat. Emilia / To / Jarecki,44,"['Grubson', 'Emilia', 'Jarecki', 'To']",2011-01-01,https://i.scdn.co/image/ab67616d0000b27323aea4f8ed2b0bc2440ece5c,https://open.spotify.com/track/60F3C73r5wxNvy8E3Pp9Gp
2822,Właściwy Kurs,37,['Grubson'],2011-01-01,https://i.scdn.co/image/ab67616d0000b27323aea4f8ed2b0bc2440ece5c,https://open.spotify.com/track/1jeBWP9xXe2BJUWbcJEPDd
2822,The Wheels On The Bus,56,['Super Simple Songs'],2017-03-24,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,Pacific Island Music,34,['Def Tech'],2005-01-22,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,Ölsem,60,['Sena Şener'],2019-03-07,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,Memories,58,['Boyce Avenue'],2020-05-15,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,C'est comme ça,55,['Les Rita Mitsouko'],1986-09-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,İnsan Gelir İnsan Geçer,45,['Sena Şener'],2018-09-14,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,Home,43,['Susan Egan'],1994,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,Affetmem,56,['Sena Şener'],2020-09-18,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2822,C'est bien mieux comme ça,41,['Soha'],2008-02-08,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,Pleasant Street,44,['Tim Buckley'],1967,https://i.scdn.co/image/ab67616d0000b273c7ffb1c8fdc594efc8bc6e20,https://open.spotify.com/track/1L8n3DR0g5w36X51i2k8A4
2823,Why Judy Why,36,['Billy Joel'],1971-11-01,https://i.scdn.co/image/ab67616d0000b273431daec5815fd0255437b43b,https://open.spotify.com/track/7leJo6PUU12JBy5sUzBsUj
2823,Dolphins - Remastered,40,['Tim Buckley'],1973-10-13,https://i.scdn.co/image/ab67616d0000b2735cd849901874f78938f63bb3,https://open.spotify.com/track/0tvepqOHxqKt2PYRcLTHRR
2823,The Entertainer,50,['Billy Joel'],1974-10-11,https://i.scdn.co/image/ab67616d0000b273c709d60c4fa67bb4f28a1a59,https://open.spotify.com/track/60m29Z8TtocKOqDlQEbwUS
2823,"Summer, Highland Falls",54,['Billy Joel'],1976-05-19,https://i.scdn.co/image/ab67616d0000b273d1731f2c0e1c2c8957f35c76,https://open.spotify.com/track/4850v7DuT7raVYAWc1ODPv
2823,Prelude / Angry Young Man,49,['Billy Joel'],1976-05-19,https://i.scdn.co/image/ab67616d0000b273d1731f2c0e1c2c8957f35c76,https://open.spotify.com/track/2tJeoAnno3JOGTIpXg1Wp3
2823,Scenes from an Italian Restaurant,61,['Billy Joel'],1977,https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5,https://open.spotify.com/track/3utq2FgD1pkmIoaWfjXWAU
2823,Isn't It Time,52,['The Babys'],1977-09-03,https://i.scdn.co/image/ab67616d0000b273d41e0412d2e8e83a996b1c8d,https://open.spotify.com/track/3pyoAvbBO4kDKkh999Miyj
2823,Get It Right the First Time,40,['Billy Joel'],1977,https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5,https://open.spotify.com/track/6rEJ6ncZKq9EM3TwyMhTDo
2823,Everybody Has a Dream,38,['Billy Joel'],1977,https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5,https://open.spotify.com/track/1s65HRPwZtSG5dBIBZ0dix
2823,Stiletto,49,['Billy Joel'],1978-10-13,https://i.scdn.co/image/ab67616d0000b2731d4675d5a0345bb93686e4b6,https://open.spotify.com/track/2BG0KgG8XPPijzrfOmGpzd
2823,Until the Night,39,['Billy Joel'],1978-10-13,https://i.scdn.co/image/ab67616d0000b2731d4675d5a0345bb93686e4b6,https://open.spotify.com/track/3UzWjLQVzCG60gwJdApLqI
2823,"Summer, Highland Falls - Live at the Bayou, Washington, D.C. - July 1980",38,['Billy Joel'],1981-09-14,https://i.scdn.co/image/ab67616d0000b273201ea6ceff25ec117e15bb17,https://open.spotify.com/track/12pEW1c0pD2UC97HKd9obV
2823,Allentown,54,['Billy Joel'],1982-06-23,https://i.scdn.co/image/ab67616d0000b273e5e5f24cf490dfc7041eafc3,https://open.spotify.com/track/59xhCcRskqyMtKzdvLZDfV
2823,An Innocent Man,54,['Billy Joel'],1983-08-08,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7,https://open.spotify.com/track/1Gg14U26oq94uWcG7khccX
2823,Keeping the Faith,52,['Billy Joel'],1983-08-08,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7,https://open.spotify.com/track/3nulzAA8PNw1nZcUbrNxcf
2823,Leave a Tender Moment Alone,51,['Billy Joel'],1983-08-08,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7,https://open.spotify.com/track/4Qw41GUmS4rF7GR3am9Rt6
2823,A Matter of Trust,55,['Billy Joel'],1986-07-28,https://i.scdn.co/image/ab67616d0000b273800f95060baebdd6aea0f4b9,https://open.spotify.com/track/6J212smZzpeOCYQ9DITMSC
2823,The Downeaster 'Alexa',57,['Billy Joel'],1989-10-17,https://i.scdn.co/image/ab67616d0000b2731946747b8692919f98918ec4,https://open.spotify.com/track/39cFQHfY6tsdMRmSbFse3X
2823,Istanbul (Not Constantinople),67,['They Might Be Giants'],1990-01-02,https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539,https://open.spotify.com/track/63vL5oxWrlvaJ0ayNaQnbX
2823,Birdhouse in Your Soul,60,['They Might Be Giants'],1990-01-02,https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539,https://open.spotify.com/track/6pmuu4qSz2WrtGkBjUfyuz
2823,Particle Man,48,['They Might Be Giants'],1990-01-02,https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539,https://open.spotify.com/track/1WFCIkoc4PaN7L7SmiI85i
2823,The River of Dreams,63,['Billy Joel'],1993-08-10,https://i.scdn.co/image/ab67616d0000b273d81c87cd4fa07351a5d14a71,https://open.spotify.com/track/30qVCFYKBtAENjTIBA8FPZ
2823,All About Soul,47,['Billy Joel'],1993-08-10,https://i.scdn.co/image/ab67616d0000b273d81c87cd4fa07351a5d14a71,https://open.spotify.com/track/00p615Q4EFYMIAr055wqRu
2823,Close to the Borderline,35,['Billy Joel'],1980-03-12,https://i.scdn.co/image/ab67616d0000b27322d5199692d318c28d6c7d9b,https://open.spotify.com/track/3aC44lW7PyOlDdWhLVYEWG
2823,"Prelude / Angry Young Man - Live at Carnegie Hall, New York, NY - June 1977",35,['Billy Joel'],1977,https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5,https://open.spotify.com/track/7kYQF3TJwQG9xJhSZJIj6v
2823,"Scenes from an Italian Restaurant - Live at Carnegie Hall, New York, NY - June 1977",34,['Billy Joel'],1977,https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5,https://open.spotify.com/track/6eM1ju6kLvgzdnT5mJgSJb
2823,"The Entertainer - Live at Carnegie Hall, New York, NY - June 1977",33,['Billy Joel'],1977,https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5,https://open.spotify.com/track/2qnNUfbNRInP0CqsXYMYfF
2823,Storm Front,34,['Billy Joel'],1989-10-17,https://i.scdn.co/image/ab67616d0000b2731946747b8692919f98918ec4,https://open.spotify.com/track/2A1KO4Ws3chY35sUFJGSlD
2823,Your Racist Friend,40,['They Might Be Giants'],1990-01-02,https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539,https://open.spotify.com/track/6hNrg9cIjyWuklYGWIduy5
2823,Scenes from an Italian Restaurant,32,['Billy Joel'],1985-06-29,https://i.scdn.co/image/ab67616d0000b273f752db93b6b969e81f0ae734,https://open.spotify.com/track/7m8KSVZCbvSdDREtoBuUN1
2823,Lucky Ball and Chain,37,['They Might Be Giants'],1990-01-02,https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539,https://open.spotify.com/track/2kVSOg4uN0TNQ18L0NxUJ1
2823,Get It Right the First Time,39,['Billy Joel'],1977-09-29,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,They'll Need a Crane,33,['They Might Be Giants'],1988,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,Everybody Has a Dream,37,['Billy Joel'],1977-09-29,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,Dadamnphreaknoizphunk? - Dubdope,32,['Hardfloor'],1996-08-19,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,Scenes from an Italian Restaurant,45,['Billy Joel'],1977-09-29,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,Sweet Surrender,41,['Tim Buckley'],1972,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,The Stranger,49,['Billy Joel'],1977,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,You're My Home,47,['Billy Joel'],1973-11-09,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,The Stranger,52,['Billy Joel'],1977-09-29,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,The Stranger,31,['Billy Joel'],1985-06-29,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,Don't Ask Me Why,54,['Billy Joel'],1980-03-12,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2823,You're My Home,39,['Billy Joel'],1973-11-07,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2824,The Edge of Heaven,56,['Wham!'],1986-07-01,https://i.scdn.co/image/ab67616d0000b27347a1c7bc033eaab417db698b,https://open.spotify.com/track/5AhRNIjYPBleR1lfHphcrE
2824,No Hay Tregua,54,['Barricada'],1990-01-01,https://i.scdn.co/image/ab67616d0000b273f3dba292bf8bb98b2564d964,https://open.spotify.com/track/5fuiYDXvDMVqsa3o8B8KLR
2824,Running on Empty,63,['Jackson Browne'],1997-01-01,https://i.scdn.co/image/ab67616d0000b273bc95f2457b1590de40b39a94,https://open.spotify.com/track/3UrDYCWfY6fTsiA63NNL27
2824,Come Let Go,56,['Xavier Rudd'],2007-01-01,https://i.scdn.co/image/ab67616d0000b273e0b6e20c4d70ebb46a3eb0cc,https://open.spotify.com/track/7KcFdVj3fzEcFyNXso4yQv
2824,Terima Kasih,42,['Jamrud'],1999-01-01,https://i.scdn.co/image/ab67616d0000b273b61e594c6d697d3ade19fd61,https://open.spotify.com/track/4q9Qk34AdgntdCYpLEpmPu
2824,Keep On Rotting in the Free World,39,['Carcass'],1996,https://i.scdn.co/image/ab67616d0000b273b45da87a79b455b1600dc77e,https://open.spotify.com/track/57Gu14wW9hFBUmJ0LpmzmA
2824,Politician,49,['Kora'],2004-10-18,https://i.scdn.co/image/ab67616d0000b273852270ed0dacb430b2c4c212,https://open.spotify.com/track/5zH4PondzCJgg92imBs36D
2824,Falling from Grace,35,['The Gentle Waves'],2000-11-06,https://i.scdn.co/image/ab67616d0000b2734263c55e866b1fa53dce766f,https://open.spotify.com/track/1tgbxNQlN0ELxU55jDFzFp
2824,"Blanco y negro - Rosendo, Barricada y Aurora Beltrán directo 2008",40,"['Barricada', 'Rosendo']",2008-11-25,https://i.scdn.co/image/ab67616d0000b2737dc2501b27a8ba9bcdf7c857,https://open.spotify.com/track/7IjUge7VMjnd1e85mW1Nb8
2824,Petalos,36,['Barricada'],2009-10-30,https://i.scdn.co/image/ab67616d0000b2738efe7f5463fe2b682922a514,https://open.spotify.com/track/2UrCrfggvoRLDWNWV32WYq
2824,Nekad,33,['Jamrud'],1996-01-01,https://i.scdn.co/image/ab67616d0000b27378a00f5a8faf02a0790cef2d,https://open.spotify.com/track/1V67StNjTk0pX1DA0zZT2D
2824,Dokter Suster,36,['Jamrud'],1999-01-01,https://i.scdn.co/image/ab67616d0000b273b61e594c6d697d3ade19fd61,https://open.spotify.com/track/7zXbRt9gkL7MXmpctf5K5T
2824,Jauh (Andaikan...),37,['Jamrud'],2000-01-01,https://i.scdn.co/image/ab67616d0000b273b80c41f31c47567120b99717,https://open.spotify.com/track/43uJ3tkLbaInKXEC5d4a9k
2824,Happy End,37,['Para Normal`nykh'],2007,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2824,Gypsy Love,34,['David Koller'],2015-03-21,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2824,Esta Es Una Noche De Rock & Roll,35,['Barricada'],1995,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2824,Oveja Negra,44,['Barricada'],1992-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2824,Maaf,35,['Jamrud'],1997-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
2825,Because You're Frightened - Remastered 2007,40,['Magazine'],1980,https://i.scdn.co/image/ab67616d0000b273109251980ccf549539fe5663,https://open.spotify.com/track/7I2F04fUq0DAetR5BMcQYc
2825,Living in a Box,52,['Living In A Box'],1987-05-09,https://i.scdn.co/image/ab67616d0000b2735b29f8d50930f8ce66050784,https://open.spotify.com/track/2y5DTMrFIcZySlsIOL6N4N
2825,ENDLESS RAIN,45,['X JAPAN'],1989,https://i.scdn.co/image/ab67616d0000b273e274011e8349cfe0d66eb635,https://open.spotify.com/track/2i4DNxEjTT5gjk7wgfSpFq
2825,Mecbursun,60,['Sertab Erener'],1994-10-14,https://i.scdn.co/image/ab67616d0000b2734a813eccafa91999a7cf0548,https://open.spotify.com/track/30P0bhT0Ebfl9Bxua0mzYr
2825,Gel Barışalım Artık,47,['Sertab Erener'],1994-10-14,https://i.scdn.co/image/ab67616d0000b2734a813eccafa91999a7cf0548,https://open.spotify.com/track/3wEi0U7XgQoY3mEDKMeCGg
2825,Zor Kadın,58,['Sertab Erener'],1999-03-24,https://i.scdn.co/image/ab67616d0000b27301f84cc51afc1d600ed2fb82,https://open.spotify.com/track/792QVjxxjKC1rgEwHI2G2d
