,name,popularity,artists,release_date,images,urls
2371,Black Velvet Band,52,['The Dubliners'],1988,https://i.scdn.co/image/ab67616d0000b2732f9716f3be6de24d153c4031,https://open.spotify.com/track/3eLJLZn6bkE6il9x5pS07g
2371,Heart Of Stone,48,['Cher'],1989-01-01,https://i.scdn.co/image/ab67616d0000b2737a1e0215c41f0ce411623301,https://open.spotify.com/track/2j8ThleRVt1A8zKIs2B4D1
2371,Necesito Respirar,54,['Medina Azahara'],1992-01-01,https://i.scdn.co/image/ab67616d0000b2733d0a00232a4edf1f5099a790,https://open.spotify.com/track/6uK6H8xkSQRA4Y2TfczXs0
2371,Machine Gun,47,['Slowdive'],1993,https://i.scdn.co/image/ab67616d0000b273f6e31941d10e4819d290af41,https://open.spotify.com/track/1wXJjKJy5Pt38Bu3tUzTUL
2371,40 Days,45,['Slowdive'],1993,https://i.scdn.co/image/ab67616d0000b273f6e31941d10e4819d290af41,https://open.spotify.com/track/4qyJE4D584f7qJCRSy7HOE
2371,40 Days,47,['Slowdive'],1994-11-05,https://i.scdn.co/image/ab67616d0000b27353da07db25e2543cce38abfe,https://open.spotify.com/track/3jQBAyQVJSl9fc6l4tsWWP
2371,Original - Remastered,48,['Leftfield'],1995,https://i.scdn.co/image/ab67616d0000b2736d4c4cfab05505d301f7f276,https://open.spotify.com/track/6zK6tHtbYjmc8zesa7e8br
2371,The Rising of the Moon,39,['The Dubliners'],1988,https://i.scdn.co/image/ab67616d0000b2732f9716f3be6de24d153c4031,https://open.spotify.com/track/5doK6tRlge91T5xLoeHT9l
2371,A Pub with No Beer,35,['The Dubliners'],1988,https://i.scdn.co/image/ab67616d0000b2732f9716f3be6de24d153c4031,https://open.spotify.com/track/5ktnj5T2zsX7DUiGBJyC6c
2371,Outside World - Remastered Version,33,['Midnight Oil'],1982-11-22,https://i.scdn.co/image/ab67616d0000b273c2291f09e7181e3ec0910977,https://open.spotify.com/track/7A3u7LPO7zPWAgxeROmmKR
2371,Melt - Remastered,41,['Leftfield'],1995,https://i.scdn.co/image/ab67616d0000b2736d4c4cfab05505d301f7f276,https://open.spotify.com/track/5XoUmYzWa8YTaxxV9DWEU3
2371,Mickey,44,['B*Witched'],1998-03-25,https://i.scdn.co/image/ab67616d0000b273d304bce5fa67ae430a9ac558,https://open.spotify.com/track/7rdSb2dF6WvIt08ayNnzyj
2371,Ik Tel Tot 3,43,"['Guus Meeuwis', 'Vagant']",1997,https://i.scdn.co/image/ab67616d0000b27352076b7ab169033de0157751,https://open.spotify.com/track/3gLOrQUruKlimzvnfZIddy
2371,Spanish Air,39,['Slowdive'],1991,https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4,https://open.spotify.com/track/3hHR2o77hKJpTSbz4pHISc
2371,Blue Skied An' Clear,39,['Slowdive'],1995,https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c,https://open.spotify.com/track/38ZKbVHXf2HcJ0KyIc92FW
2371,Amor de Colegio,46,['Roman El Original'],2005-01-01,https://i.scdn.co/image/ab67616d0000b27328e24c2e3f3ff3ee697debe6,https://open.spotify.com/track/2hyWA4GXdZwQqnRF2ZTgyJ
2371,El Amor Se Fue,54,"['Roman El Original', 'Kekelandia']",2009-01-01,https://i.scdn.co/image/ab67616d0000b27312d2cd8ce7b993713f9f0efb,https://open.spotify.com/track/4gL6hu70wpAspYTkhcPs0B
2371,Por Isso Corro Demais,37,['Adriana Calcanhotto'],1998-06-15,https://i.scdn.co/image/ab67616d0000b273f0ed346cea85d8b3d196c357,https://open.spotify.com/track/5due0uMkxNVzQPx1eOxdmh
2371,All Because Of You,31,['Cher'],1989-01-01,https://i.scdn.co/image/ab67616d0000b2737a1e0215c41f0ce411623301,https://open.spotify.com/track/3Bq0Rj8EG2KDnEEJYzC0U7
2371,Necesito Respirar,37,['Medina Azahara'],2006-01-23,https://i.scdn.co/image/ab67616d0000b273da7372033b8a51441444a0b0,https://open.spotify.com/track/3YrjczERR4zYTJZYgc8VPE
2371,Cantada (Depois de Ter Você),35,['Adriana Calcanhotto'],2002,https://i.scdn.co/image/ab67616d0000b273ccb3adaf95db1945393839b3,https://open.spotify.com/track/0JJNqQP2pHabzVT43W7SO5
2371,The Wild Rover (Live),42,['The Dubliners'],2002,https://i.scdn.co/image/ab67616d0000b2734e6289a3f795ea10ab585738,https://open.spotify.com/track/5eCuReHDkL7n9AOkm3jlox
2371,Spancil Hill,43,['The Dubliners'],2007-06-01,https://i.scdn.co/image/ab67616d0000b27338b5bc1c257c04657e0ec960,https://open.spotify.com/track/23gju7aYMKGkVu5SNWExPs
2371,Weile Waila,42,"['The Dubliners', 'Ronnie Drew']",2013-03-15,https://i.scdn.co/image/ab67616d0000b273bf0380fdf64ae46fd7b2e629,https://open.spotify.com/track/5ECXINnJLnuZPBR87EULUh
2371,Surat Al Fatihah,42,"['Sheikh Maher Al Muaiqly', 'Maher Al Mueaqly']",2011-09-08,https://i.scdn.co/image/ab67616d0000b273771a353d21655f3d9429b46e,https://open.spotify.com/track/1nEOo9QMauF8isXAmKG4ie
2371,In The End I Started,32,['Brinck'],2009-01-29,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
