,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
3551,Freezing Moon,54,383053,0,['Mayhem'],1994,0.168,0.974,4,-9.116,1,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,4,https://i.scdn.co/image/ab67616d0000b2732b58dcaa52f824711a95ab1b,https://open.spotify.com/track/4AP3a7eEOlz5sTJiWnv2C6
3551,Pinch Me,64,285160,0,['Barenaked Ladies'],2000-09-01,0.68,0.857,7,-4.132,1,0.0373,0.0151,2.88e-05,0.056,0.794,95.349,4,https://i.scdn.co/image/ab67616d0000b273c2306359e023afa8b2030708,https://open.spotify.com/track/2RQ3fWFZJJe4G5KkHEACww
3551,Dlala Mapantsula,33,332720,0,['TKZEE'],2005-07-24,0.771,0.721,10,-10.168,0,0.0387,0.0174,2.08e-06,0.0749,0.766,104.973,4,https://i.scdn.co/image/ab67616d0000b27328850d0a77070962c984a8a4,https://open.spotify.com/track/0DaGK6Zlg0lr2QknjZAgh4
3551,Shibobo / The Final Countdown,32,351747,0,['TKZEE'],2005-07-24,0.755,0.728,6,-9.947,0,0.0317,0.00112,0.0016,0.115,0.93,106.981,4,https://i.scdn.co/image/ab67616d0000b27328850d0a77070962c984a8a4,https://open.spotify.com/track/0lOovqOHYJdnfsjEDmvz4h
3551,Fuera Luces,36,216044,0,"['Mista Bombo', 'Yemil']",2019-10-04,0.757,0.705,1,-7.035,1,0.153,0.0211,2.57e-05,0.0393,0.421,99.996,4,https://i.scdn.co/image/ab67616d0000b273296074857af5e039f3e7c074,https://open.spotify.com/track/2bgitpHkolFX2N4NXcfqWT
3551,Constantemente Mía,49,243840,0,['Il Volo'],2013-01-01,0.416,0.393,9,-7.734,1,0.0263,0.9,3.4e-05,0.0886,0.188,85.083,4,https://i.scdn.co/image/ab67616d0000b273961b7402d88ca09b130a783b,https://open.spotify.com/track/24fTpKCVry3bLF00HrxckI
3551,Tave čia randu,35,211107,0,['Gabrielius Vagelis'],2019-10-31,0.385,0.435,10,-8.676,1,0.0323,0.0344,5.34e-06,0.142,0.19,83.233,4,https://i.scdn.co/image/ab67616d0000b273807410f80a8440883420d666,https://open.spotify.com/track/6DQgOEBheTBVuQhkC2VqXq
3551,Parte de Mi (feat. Lit Killah),57,194092,0,"['FMK', 'Lit Killah']",2019-02-07,0.615,0.471,8,-7.345,0,0.175,0.0874,0.0,0.101,0.354,79.983,4,https://i.scdn.co/image/ab67616d0000b2737a08f7c5beaf65381eae1532,https://open.spotify.com/track/4OocfNloIRk77ncIKBdYwb
3551,Once Again,59,235727,0,"['Mad Clown', 'Kim Na Young']",2016-03-17,0.52,0.812,5,-4.426,1,0.198,0.521,0.0,0.277,0.348,72.743,4,https://i.scdn.co/image/ab67616d0000b273d50984630b09bb3825d834e3,https://open.spotify.com/track/1qsjEmjRzXVsmC0oLitHzN
3551,"Cigarette (Feat. Tablo, MISO)",61,241765,0,"['offonoff', 'Tablo', 'Miso']",2017-07-24,0.776,0.392,5,-10.493,0,0.207,0.271,2.21e-06,0.14,0.438,87.98,4,https://i.scdn.co/image/ab67616d0000b273d8ab8d3ddd6b3f1dff0ffb88,https://open.spotify.com/track/14p5EKgbPx4U3P1j5JNHeh
