,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
3051,Loco,67,235907,0,['Pesado'],2001-02-13,0.771,0.71,7,-7.036,1,0.0303,0.112,0.0,0.0721,0.962,136.119,4,https://i.scdn.co/image/ab67616d0000b2732328405802621955a7799666,https://open.spotify.com/track/0uCuoqJ3uvSTU8I3Vtvnfu
3051,"Te quiero, te amo",59,216893,0,['Pesado'],2005-09-20,0.79,0.534,8,-7.556,1,0.0491,0.392,0.0,0.133,0.944,134.112,4,https://i.scdn.co/image/ab67616d0000b273f740c1695722e22dd4d34067,https://open.spotify.com/track/2z2HMfMK1vR4BZLL6JIWgV
3051,Love Like This - Acoustic,63,241640,0,['Kodaline'],2013-06-17,0.398,0.151,4,-14.402,1,0.0342,0.961,0.0443,0.0923,0.0749,107.068,4,https://i.scdn.co/image/ab67616d0000b27364eb43b64ff6991d51ba50b4,https://open.spotify.com/track/5Wjf9NsW6QCmBiDIdVvMbP
3051,Brother,72,203187,0,['Kodaline'],2018-09-28,0.519,0.625,10,-5.909,1,0.0482,0.349,0.0,0.121,0.21,120.103,4,https://i.scdn.co/image/ab67616d0000b2732112db8aa9dabc6cdd9e14d0,https://open.spotify.com/track/65gLJGey4u4KFFqoC5fzFJ
3051,Lawns,41,424600,0,['Carla Bley'],1987-03-01,0.56,0.044,7,-24.351,1,0.0384,0.82,0.863,0.1,0.0394,119.674,4,https://i.scdn.co/image/ab67616d0000b273e92920b2ce7f47ad3373a736,https://open.spotify.com/track/77sxm10gG7rgD2w0ylgBGv
3051,Blame It On Waylon,58,212648,0,['Josh Thompson'],2010-02-22,0.653,0.826,2,-5.352,1,0.0315,0.0353,0.0,0.193,0.669,122.055,4,https://i.scdn.co/image/ab67616d0000b2735353598e5a2c96e6045c1e78,https://open.spotify.com/track/7M68YTelBnT9P1eO1idOOs
3051,Mitad y mitad,52,196453,0,['Pesado'],2002-02-07,0.814,0.708,0,-7.807,1,0.0396,0.232,0.0,0.125,0.951,142.039,4,https://i.scdn.co/image/ab67616d0000b27392550998f0c37b16626c57b0,https://open.spotify.com/track/0zQQZYD7Nb80dyIYebSqNN
3051,Lo Mal Que Estoy (y Lo Poco Que Me Quejo),53,125560,0,['El Kanka'],2013-04-22,0.896,0.792,4,-4.075,0,0.0547,0.382,0.0,0.0986,0.979,127.917,4,https://i.scdn.co/image/ab67616d0000b273d3da07c89bba0aac65a32ada,https://open.spotify.com/track/58Xj6SXYpbZIC1j3znh3fE
3051,Vengas Cuando Vengas,50,277560,0,"['El Kanka', 'Carmen Boza']",2015-07-07,0.62,0.355,2,-9.831,1,0.0329,0.771,3.59e-06,0.14,0.492,121.41,3,https://i.scdn.co/image/ab67616d0000b273816d4cdb70772e0d00a35cc2,https://open.spotify.com/track/30j96TqAHd2xtZV0FbfYK9
3051,Para Quedarte,49,276960,0,['El Kanka'],2015-11-13,0.82,0.339,0,-10.739,1,0.0544,0.848,0.0,0.349,0.744,124.42,4,https://i.scdn.co/image/ab67616d0000b2739c3918baf765a97898d8469d,https://open.spotify.com/track/4a4ixrdj73Zpan02jBrmn3
