,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
3811,Saoco,58,184907,0,"['Wisin', 'Daddy Yankee']",2004,0.844,0.862,4,-5.043,1,0.114,0.132,1.92e-05,0.066,0.816,95.999,4,https://i.scdn.co/image/ab67616d0000b273c043a7b9fa8a4443611e91c1,https://open.spotify.com/track/5c9CsmVAhOQ5jQKwmNd5fk
3811,Escápate Conmigo (feat. Ozuna),74,232787,0,"['Wisin', 'Ozuna']",2017-12-01,0.744,0.859,11,-3.166,1,0.0795,0.0256,6.27e-05,0.0881,0.787,91.977,4,https://i.scdn.co/image/ab67616d0000b273c7524a697e709517b50681b2,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
3811,Mi Niña,87,213314,0,"['Wisin', 'Myke Towers', 'Los Legendarios']",2020-09-23,0.823,0.821,8,-3.402,0,0.166,0.31,4.28e-06,0.143,0.791,99.999,4,https://i.scdn.co/image/ab67616d0000b27300690a8308104ec86eee3dbb,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
3811,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",83,366613,0,"['Wisin', 'Yandel', 'Farruko', 'Jon Z', 'Don Chezina', 'Chencho Corleone', 'Myke Towers']",2020-01-24,0.833,0.858,9,-3.283,1,0.0794,0.0696,0.0,0.239,0.675,91.967,4,https://i.scdn.co/image/ab67616d0000b273aa6adc42d4d56e799120ca7a,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
3811,Mi Niña - Remix,76,255800,0,"['Wisin', 'Myke Towers', 'Maluma', 'Anitta', 'Los Legendarios']",2021-03-02,0.797,0.868,11,-2.974,1,0.0558,0.192,3.82e-06,0.384,0.832,99.995,4,https://i.scdn.co/image/ab67616d0000b27387fb9c0157f0831d85d09f24,https://open.spotify.com/track/43PXER25C9JkExLBd5dObG
3811,Blijven Slapen,76,170992,0,"['Snelle', 'Maan']",2021-02-26,0.751,0.549,5,-7.798,0,0.106,0.221,0.0,0.112,0.735,106.01,4,https://i.scdn.co/image/ab67616d0000b273ebcba41aabc05353979b485a,https://open.spotify.com/track/1Fc6lVQFPOcEVz3QWEzXWL
3811,時間旅行,31,268400,0,['Seiko Matsuda'],1980,0.533,0.252,10,-14.336,1,0.026,0.687,2.96e-05,0.121,0.27,83.979,4,https://i.scdn.co/image/ab67616d0000b2734981804faca30098aeb3f670,https://open.spotify.com/track/2KJdYUkbPWf7N1GAAEZQOs
3811,Nota de Amor (feat. Daddy Yankee),64,232373,0,"['Wisin', 'Carlos Vives', 'Daddy Yankee']",2015-09-04,0.806,0.929,10,-3.017,1,0.121,0.263,0.0,0.0622,0.602,97.99,4,https://i.scdn.co/image/ab67616d0000b273bc73772c70ee3b4d9fae1ac1,https://open.spotify.com/track/4YW2Fr25fHwUt6qgvM1iE1
3811,"Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel & Almighty) - Remix",68,386333,0,"['Wisin', 'Ozuna', 'Bad Bunny', 'De La Ghetto', 'Arcangel', 'Noriel', 'Almighty']",2017-12-01,0.797,0.804,1,-4.817,1,0.0711,0.0464,1.54e-05,0.317,0.451,91.973,4,https://i.scdn.co/image/ab67616d0000b273c7524a697e709517b50681b2,https://open.spotify.com/track/5YY7ht3PCArlLjLbcTiAvh
3811,Vacaciones,67,238813,0,['Wisin'],2017-12-01,0.777,0.911,6,-3.223,0,0.173,0.246,0.0,0.257,0.704,96.017,4,https://i.scdn.co/image/ab67616d0000b273c7524a697e709517b50681b2,https://open.spotify.com/track/1rXojdsUqqxGj2WCmJGWHP
3811,La Gitana,45,174747,0,['Wisin'],2004,0.799,0.829,6,-4.579,0,0.12,0.0647,1.19e-06,0.345,0.737,94.011,4,https://i.scdn.co/image/ab67616d0000b273c043a7b9fa8a4443611e91c1,https://open.spotify.com/track/5BuL7nwOd0mH3nIVyDB727
3811,La Camella,38,192613,0,['Wisin'],2004,0.822,0.896,0,-5.229,1,0.0579,0.0404,0.0,0.177,0.795,96.056,4,https://i.scdn.co/image/ab67616d0000b273c043a7b9fa8a4443611e91c1,https://open.spotify.com/track/2sybmYIj8E6oUog5qWYg9q
3811,Júrame,43,201706,0,"['Andrea Bocelli', 'Mario Reyes']",2006-01-01,0.528,0.835,10,-7.457,1,0.174,0.693,0.00166,0.194,0.766,99.917,4,https://i.scdn.co/image/ab67616d0000b2737068ffbb5ab14ce041413edd,https://open.spotify.com/track/6zsXtFeKolHxnffRuDaYIF
3811,Todo Comienza en la Disco,61,268107,0,"['Wisin', 'Daddy Yankee', 'Yandel']",2017-12-01,0.826,0.836,3,-4.238,0,0.0654,0.0961,4.81e-06,0.282,0.887,91.992,4,https://i.scdn.co/image/ab67616d0000b273c7524a697e709517b50681b2,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh
3811,En Busca de un Caldo,36,224813,0,['Wisin'],2004,0.751,0.751,5,-5.495,1,0.0532,0.0364,4.98e-05,0.264,0.966,94.991,4,https://i.scdn.co/image/ab67616d0000b273c043a7b9fa8a4443611e91c1,https://open.spotify.com/track/1bAzBCHYT3DJmc9CQyHFgb
3811,Too Fucked Up to Love you,46,165880,1,['dePresno'],2019-10-03,0.588,0.486,4,-5.658,0,0.0449,0.508,0.0,0.128,0.158,83.725,4,https://i.scdn.co/image/ab67616d0000b273c53b27e1a1c1ed6bff4d3675,https://open.spotify.com/track/5pvqXgUhiQsNZ9whFVjtaa
3811,En Su Nota,62,167733,0,['Omar Courtz'],2020-05-22,0.821,0.578,4,-7.102,0,0.0745,0.377,0.0,0.145,0.961,82.997,4,https://i.scdn.co/image/ab67616d0000b2730430a91d4d303a84cb148be1,https://open.spotify.com/track/14JTYSChGSj1ULTnpTC70Z
3811,Üzüntüyü Bırak Yaşamaya Bak,41,202947,0,['Gönül Turgut'],2008-01-25,0.251,0.539,5,-6.669,0,0.0313,0.902,0.000117,0.583,0.507,98.262,4,https://i.scdn.co/image/ab67616d0000b2735c6b22fb359a2148b831de77,https://open.spotify.com/track/3GVLUpqENyG1pEMYSkt9Uq
3811,Rosalyn,38,207733,0,['Vitesse'],1992,0.491,0.512,5,-13.044,1,0.0622,0.0125,0.131,0.0674,0.665,101.999,4,https://i.scdn.co/image/ab67616d0000b273d80d640f93bc6fbd8b51530c,https://open.spotify.com/track/6uhlalfG4T4MBSoiOdq2eh
3811,Reünie,60,172063,0,['Snelle'],2019-07-19,0.508,0.35,9,-9.205,1,0.152,0.674,0.0,0.587,0.509,96.478,4,https://i.scdn.co/image/ab67616d0000b2739d2d92ab08b6c735e695953b,https://open.spotify.com/track/0C9JPibPAdaBvt60rbwEsJ
3811,Smoorverliefd,61,177501,0,['Snelle'],2020-01-10,0.534,0.314,11,-8.717,1,0.0381,0.598,0.0,0.103,0.442,91.12,4,https://i.scdn.co/image/ab67616d0000b273399c121be0410581406a98c0,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
3811,Ze Kent Mij,57,190656,0,"['Snelle', 'Yade Lauren']",2019-10-24,0.547,0.464,2,-8.518,1,0.0735,0.492,3.66e-05,0.0898,0.356,103.094,4,https://i.scdn.co/image/ab67616d0000b273177f7ca6603d508627179204,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
3811,Voor Je Deur,53,183544,0,['Snelle'],2019-10-24,0.469,0.552,4,-9.044,1,0.469,0.0403,0.0,0.0732,0.186,75.611,1,https://i.scdn.co/image/ab67616d0000b273177f7ca6603d508627179204,https://open.spotify.com/track/3sjn3DcHbwMnHfheOH73Ym
3811,Reünie - Outsiders Remix,53,215667,0,"['Snelle', 'Outsiders']",2019-10-16,0.616,0.928,6,-3.106,0,0.119,0.493,0.0,0.306,0.268,90.0,4,https://i.scdn.co/image/ab67616d0000b27359a94fac881dab84d1651d9e,https://open.spotify.com/track/5eacLGlDeiJHgDpoeWazVC
3811,Kibbelingkraam,48,156649,0,['Snelle'],2019-03-01,0.72,0.459,2,-8.81,1,0.376,0.148,0.0,0.214,0.583,92.384,4,https://i.scdn.co/image/ab67616d0000b2734d8a160d1ddedb12e499a56c,https://open.spotify.com/track/2V5kHFPcruQFGNa0ONSj4R
3811,Zonder Jas Naar Buiten,61,181200,0,['Snelle'],2021-03-12,0.784,0.605,6,-6.96,0,0.0476,0.0554,1.95e-05,0.0774,0.62,103.005,4,https://i.scdn.co/image/ab67616d0000b273810eed85df30d7ecb712a4ad,https://open.spotify.com/track/3b89YdzIEHQRvIHlULfXXE
3811,Goed Opgedroogd,58,175547,0,['Snelle'],2021-03-12,0.657,0.6,8,-7.873,1,0.0403,0.24,1.07e-06,0.381,0.565,95.027,4,https://i.scdn.co/image/ab67616d0000b273810eed85df30d7ecb712a4ad,https://open.spotify.com/track/1Sp93t2RdGTpAQMoKDfzno
3811,Door De Drank,57,191828,0,['Snelle'],2021-03-12,0.636,0.485,8,-8.266,1,0.0424,0.192,8.32e-05,0.176,0.435,78.032,4,https://i.scdn.co/image/ab67616d0000b273810eed85df30d7ecb712a4ad,https://open.spotify.com/track/4y222M9NcwcK8RxQzDYsEW
3811,Kan jag få ett vittne?,38,247747,0,['Oskar Linnros'],2013-01-01,0.354,0.845,6,-5.249,0,0.277,0.444,1.5e-05,0.854,0.363,86.466,4,https://i.scdn.co/image/ab67616d0000b273d03363d4cb070f431428da9a,https://open.spotify.com/track/2fxAzLU0N8W0HF0IdFGufE
3811,Väntar på en Ängel,43,269840,0,['Oskar Linnros'],2017-11-10,0.531,0.569,8,-8.194,1,0.0365,0.0919,0.0194,0.294,0.41,89.919,4,https://i.scdn.co/image/ab67616d0000b2736762e94524d8c58017888ae4,https://open.spotify.com/track/7Am8I3Yk0ElEG7Z0mNWxkk
3811,Limonade,59,167269,0,['Snelle'],2021-03-12,0.729,0.402,6,-9.039,1,0.0603,0.348,0.0,0.0615,0.514,100.05,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Never Alone Always Alone,44,245333,0,['Takida'],2009-01-01,0.476,0.594,5,-5.23,1,0.0257,0.0337,1.87e-06,0.0814,0.173,83.697,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,The Things We Owe,40,223920,0,['Takida'],2009-01-01,0.216,0.589,7,-5.627,0,0.0303,0.00489,0.0,0.136,0.0861,66.509,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Better,35,203619,0,['Eden Alene'],2018-12-10,0.536,0.579,6,-4.096,0,0.0645,0.536,0.0,0.0632,0.313,77.473,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Was It I?,39,230600,0,['Takida'],2011-01-01,0.546,0.793,2,-4.562,1,0.0264,0.00975,0.0,0.156,0.317,99.988,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,The Best Of Me,60,258267,0,['The Starting Line'],2002-07-16,0.533,0.802,4,-4.212,1,0.0384,0.001,0.0,0.314,0.293,106.969,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Can't Tell Me Nuttin',45,288081,1,"['FIIXD', '1MILL', 'Diamond', '19HUNNID', '1-Flow']",2019-10-25,0.884,0.559,11,-8.875,0,0.261,0.0269,0.0,0.0996,0.455,100.042,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Nota de Amor (feat. Daddy Yankee),56,232267,0,"['Wisin', 'Carlos Vives', 'Daddy Yankee']",2015-02-03,0.797,0.933,10,-3.058,1,0.128,0.233,0.0,0.062,0.615,98.017,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,ガラスの林檎(SEIKO STORY〜80's HITS COLLECTION〜),31,238893,0,['Seiko Matsuda'],1980,0.629,0.527,5,-6.863,1,0.0244,0.63,0.0,0.0644,0.238,93.362,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,赤いスイートピー,32,220800,0,['Seiko Matsuda'],2005-08-26,0.594,0.401,7,-8.511,1,0.0235,0.732,0.0,0.12,0.44,83.598,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Scars,56,196303,0,['Snelle'],2019-03-01,0.646,0.479,11,-11.324,1,0.286,0.426,0.0,0.244,0.217,94.843,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Willow And Dead,36,290427,0,['Takida'],2011-01-01,0.578,0.845,0,-5.177,0,0.044,0.11,0.000434,0.126,0.372,83.98,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Good Lookin,33,208333,0,['Vitesse'],2005-01-01,0.366,0.779,1,-8.378,1,0.0569,0.0214,0.00219,0.0455,0.532,108.369,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,As You Die,36,211400,0,['Takida'],2009-01-01,0.436,0.881,11,-4.498,0,0.039,0.000204,0.0,0.126,0.265,106.117,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,瑠璃色の地球,31,265413,0,['Seiko Matsuda'],2005-08-26,0.544,0.269,1,-11.129,1,0.0299,0.781,1.83e-05,0.0839,0.189,87.812,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Reünie,53,172063,0,['Snelle'],2019-10-24,0.508,0.35,9,-9.205,1,0.152,0.674,0.0,0.587,0.509,96.478,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,The Dread,34,185307,0,['Takida'],2007,0.497,0.921,9,-3.308,0,0.0795,0.000967,0.0,0.339,0.565,84.995,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,蒼いフォトグラフ,35,236320,0,['Seiko Matsuda'],1980,0.717,0.435,5,-8.083,1,0.0341,0.684,0.0,0.271,0.616,78.902,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,小麦色のマーメイド,34,216907,0,['Seiko Matsuda'],1980,0.714,0.478,3,-9.504,1,0.0299,0.291,1.04e-05,0.0923,0.664,77.294,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Plankgas,51,171653,0,"['Snelle', 'Frenna']",2019-05-10,0.54,0.604,1,-8.835,1,0.37,0.244,0.0,0.107,0.554,93.748,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Vilja Bli,34,182133,0,['Oskar Linnros'],2011-01-01,0.525,0.383,8,-7.788,0,0.0277,0.495,1.49e-05,0.0702,0.376,85.025,3,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Reason To Cry,38,232853,0,['Takida'],2006-01-01,0.629,0.589,7,-7.519,1,0.0253,0.00237,4.75e-06,0.0903,0.327,95.978,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Set Me Free,56,179439,0,['Eden Alene'],2021-03-27,0.752,0.664,1,-7.392,0,0.0775,0.28,0.0,0.102,0.468,107.02,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Blijven Slapen,67,170992,0,"['Snelle', 'Maan']",2021-03-12,0.751,0.549,5,-7.798,0,0.106,0.221,0.0,0.112,0.735,106.01,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,Llamé Pa' Verte,49,195680,0,"['Wisin', 'Yandel']",2006-11-21,0.841,0.808,10,-5.55,1,0.0749,0.0711,3.36e-06,0.0816,0.66,95.0,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3811,私だけの天使~Angel~,31,346427,0,['Seiko Matsuda'],1997,0.51,0.643,3,-4.789,1,0.0294,0.394,0.0,0.0865,0.163,70.349,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3812,Fishin' in the Dark,70,202787,0,['Nitty Gritty Dirt Band'],1987-04-01,0.771,0.283,2,-16.326,1,0.0444,0.198,0.0,0.0888,0.906,77.756,4,https://i.scdn.co/image/ab67616d0000b273a547ecc64c2943fc70abb745,https://open.spotify.com/track/7lJbTVbDEMa3w7NFamrwdq
3812,Mazurka No.36 In A Minor Op.59 No.1,46,268907,0,"['Frédéric Chopin', 'Vladimir Ashkenazy']",1987-05-27,0.304,0.0355,9,-27.201,1,0.0471,0.994,0.908,0.145,0.0485,63.268,3,https://i.scdn.co/image/ab67616d0000b2731eaf3f90e6fcf2bbc3bb5bbd,https://open.spotify.com/track/50NKS5zdW19a73ckDz29eu
3812,Fishin' in the Dark,46,202787,0,['Nitty Gritty Dirt Band'],1989-01-06,0.771,0.283,2,-16.326,1,0.0444,0.198,0.0,0.0888,0.906,77.756,4,https://i.scdn.co/image/ab67616d0000b273a1b330ff81a5bbe2aa35d30a,https://open.spotify.com/track/1cV2ZlkzRvW3cXkW4mTduE
3812,"Prélude in E minor, Op. 28, No. 4",57,146760,0,"['Frédéric Chopin', 'Janusz Olejniczak']",1995,0.388,0.00269,4,-32.97,0,0.0516,0.995,0.869,0.063,0.0397,63.386,4,https://i.scdn.co/image/ab67616d0000b27334ff9e62ad26a736cab0bf09,https://open.spotify.com/track/1Xf4sNtMKc1xiUhuIPAUg2
3812,"Nocturne No.1 In B Flat Minor, Op.9 No.1",60,286987,0,"['Frédéric Chopin', 'Maurizio Pollini']",2005-01-01,0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,4,https://i.scdn.co/image/ab67616d0000b2731ac7945379c88fb7f5844b59,https://open.spotify.com/track/2d6ml9Qkx8r4EjuUyrdpRV
3812,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,66,268427,0,"['Frédéric Chopin', 'Luis Fernando Pérez']",2010-05-18,0.387,0.0451,3,-24.698,1,0.0364,0.99,0.913,0.112,0.071,61.494,4,https://i.scdn.co/image/ab67616d0000b273b039a6480a7925a084535828,https://open.spotify.com/track/7n92QzQomRCLlciO14X0kd
3812,"Nocturne, Op. posth. in C-Sharp Minor: Lento",63,239973,0,"['Frédéric Chopin', 'Brigitte Engerer']",2010-06-22,0.272,0.00397,1,-31.601,0,0.0475,0.992,0.9,0.0763,0.19,72.059,4,https://i.scdn.co/image/ab67616d0000b2731f07e718417b2e516d4b57bf,https://open.spotify.com/track/0bcGY7mfG10QfeaDbz97hC
3812,"Nocturne No. 19 in E Minor, Op. 72, No. 1",61,241987,0,"['Frédéric Chopin', 'Benjamin Grosvenor']",2011-01-01,0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,4,https://i.scdn.co/image/ab67616d0000b27365e7e8e0fa2278bda76698a6,https://open.spotify.com/track/64LTn5fTsPR0QLy7bVYl9w
3812,"Waltz No.19 in A minor, Op.posth.",58,132667,0,"['Frédéric Chopin', 'Peter Jablonski']",1995-01-01,0.308,0.0261,9,-37.242,0,0.042,0.984,0.928,0.0749,0.148,69.156,4,https://i.scdn.co/image/ab67616d0000b27352d50db1e508cb51041504ea,https://open.spotify.com/track/71MpmxCJ1TW05c7Fvv1SfI
3812,"Waltz in C-sharp minor, Op. 64 No. 2",61,199773,0,"['Frédéric Chopin', 'Khatia Buniatishvili']",2012-09-14,0.191,0.0157,1,-36.252,0,0.0411,0.991,0.916,0.134,0.0869,72.701,4,https://i.scdn.co/image/ab67616d0000b273aee049dfce2f674e4013e232,https://open.spotify.com/track/1lOVilzLQuYY2fnFrQ76DK
3812,"Nocturne No. 9 in B Major, Op. 32 No. 1",38,311400,0,"['Frédéric Chopin', 'Vladimir Ashkenazy']",1990-01-01,0.314,0.0231,11,-28.419,1,0.0461,0.992,0.881,0.134,0.0677,88.478,4,https://i.scdn.co/image/ab67616d0000b2735edb2180142d41746d1e47a1,https://open.spotify.com/track/5UpQqGyhYg70rRXgPuy28o
3812,"Mazurka in G Minor, Op.67, No.2",33,115053,0,"['Frédéric Chopin', 'Vladimir Ashkenazy']",1987-05-27,0.388,0.0106,10,-30.162,1,0.0439,0.995,0.879,0.0883,0.213,66.171,4,https://i.scdn.co/image/ab67616d0000b2731eaf3f90e6fcf2bbc3bb5bbd,https://open.spotify.com/track/0hb6So4X6HjDuG8rCAtVCe
3812,"Ballade No.4 In F Minor, Op.52",34,719160,0,"['Frédéric Chopin', 'Krystian Zimerman']",1988-01-01,0.295,0.0524,10,-23.906,0,0.0435,0.992,0.895,0.0756,0.037,66.177,4,https://i.scdn.co/image/ab67616d0000b2734a7a2e0cab8f2db75a1c3f55,https://open.spotify.com/track/1kVoL8Qst9UP3X902NWMo7
