,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
26625,3GYDqqCfOhrB1XicSIh6AY,Me Nació Del Alma,49,156387,0,['Conjunto Primavera'],1996-01-01,0.784,0.889,10,-6.899,1,0.0695,0.557,1.49e-06,0.0614,0.961,123.191,4,https://i.scdn.co/image/ab67616d0000b2736da597cfeb167da547ef9fee,https://open.spotify.com/track/3GYDqqCfOhrB1XicSIh6AY,3781
32707,3pd1YpH2Zx9iRCaOSxKdVT,Una Vez Más,66,159373,0,['Conjunto Primavera'],2009-03-17,0.663,0.858,5,-2.821,1,0.0463,0.289,0.0,0.374,0.805,116.269,4,https://i.scdn.co/image/ab67616d0000b2730aa85c7ecf755eebc00516ef,https://open.spotify.com/track/3pd1YpH2Zx9iRCaOSxKdVT,3781
32917,4ljDnzzqwnRIynr1g55um4,On To The Next One,59,256133,1,"['JAY-Z', 'Swizz Beatz']",2009-09-08,0.546,0.908,10,-1.655,0,0.417,0.215,9.47e-06,0.107,0.59,116.885,5,https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10,https://open.spotify.com/track/4ljDnzzqwnRIynr1g55um4,3781
60730,6KfMaLSdCCHy8DwjlMjxqu,Adiós Amor,52,197733,0,['Conjunto Primavera'],2003-01-01,0.637,0.794,2,-1.683,0,0.0269,0.129,0.0,0.0697,0.495,116.117,4,https://i.scdn.co/image/ab67616d0000b2735e0c6aa81ed357416c0de7bd,https://open.spotify.com/track/6KfMaLSdCCHy8DwjlMjxqu,3781
75014,0yDMY8AMkE2RDCkzaIhgDz,Древнерусская тоска,31,246933,0,['Aquarium'],1996,0.62,0.634,7,-9.478,1,0.0378,0.321,0.0,0.108,0.83,125.687,4,https://i.scdn.co/image/ab67616d0000b273c51694389533d2fb87e570e4,https://open.spotify.com/track/0yDMY8AMkE2RDCkzaIhgDz,3781
77552,3opWtXcWfM3YFzrm0ffSII,Morir De Amor,50,182280,0,['Conjunto Primavera'],2000-01-01,0.757,0.584,2,-8.646,1,0.0272,0.0497,0.000498,0.132,0.639,122.051,4,https://i.scdn.co/image/ab67616d0000b273b6603ba85bfe89fd3dcacfad,https://open.spotify.com/track/3opWtXcWfM3YFzrm0ffSII,3781
77560,0i71l4OotnYQ9W6npKwndS,Enamorado De Ti,50,197907,0,['Conjunto Primavera'],2000-01-01,0.645,0.499,5,-9.941,1,0.0293,0.0362,0.725,0.0923,0.89,125.959,4,https://i.scdn.co/image/ab67616d0000b273b6603ba85bfe89fd3dcacfad,https://open.spotify.com/track/0i71l4OotnYQ9W6npKwndS,3781
77997,6uXR7oitl7kvlavDicsK46,Basta Ya,56,204360,0,['Conjunto Primavera'],2006-01-01,0.722,0.757,0,-4.487,1,0.0738,0.447,1.79e-05,0.129,0.84,110.029,4,https://i.scdn.co/image/ab67616d0000b2731f4007ccf5308099ea4d981b,https://open.spotify.com/track/6uXR7oitl7kvlavDicsK46,3781
78071,6cJzRkCxgWikIKAsJCkoQL,Actos De Un Tonto,49,227227,0,['Conjunto Primavera'],2007-07-03,0.691,0.771,7,-4.076,1,0.0262,0.0545,0.0,0.0946,0.652,119.949,4,https://i.scdn.co/image/ab67616d0000b27312e407ceb7a46511ccefce59,https://open.spotify.com/track/6cJzRkCxgWikIKAsJCkoQL,3781
78413,1X0SntFiNVcIaaXxG7cJmc,Actos De Un Tonto,59,227920,0,['Conjunto Primavera'],2012-01-01,0.698,0.75,7,-4.371,1,0.026,0.0566,0.0,0.0841,0.653,119.961,4,https://i.scdn.co/image/ab67616d0000b27351cbc92228f4eed7d6f1e38b,https://open.spotify.com/track/1X0SntFiNVcIaaXxG7cJmc,3781
97341,3PBC860LAeS4utDAqlqIe2,F*ckwithmeyouknowigotit,58,243413,1,"['JAY-Z', 'Rick Ross']",2013-07-04,0.611,0.464,10,-8.068,0,0.294,0.0171,0.214,0.0794,0.274,127.766,4,https://i.scdn.co/image/ab67616d0000b27316667761b90f600c1d7b08e6,https://open.spotify.com/track/3PBC860LAeS4utDAqlqIe2,3781
101313,6XtlxAbFn4x2Nln8HzIwsr,Mi Destino Fue Quererte,37,207360,0,['Conjunto Primavera'],1996-01-01,0.728,0.828,10,-7.212,1,0.0396,0.368,6.39e-06,0.147,0.895,121.361,4,https://i.scdn.co/image/ab67616d0000b2736da597cfeb167da547ef9fee,https://open.spotify.com/track/6XtlxAbFn4x2Nln8HzIwsr,3781
102373,5Bk7DoLq3tpWALVSLe8Uqj,Aún Sigues Siendo Mía,47,198680,0,['Conjunto Primavera'],2005,0.677,0.812,2,-3.098,1,0.0411,0.242,6.35e-06,0.308,0.721,109.462,4,https://i.scdn.co/image/ab67616d0000b273734ca14d03c9b7dd17deec3d,https://open.spotify.com/track/5Bk7DoLq3tpWALVSLe8Uqj,3781
102724,4AUlcguqkW7AQFZxHkIvkH,Anónimo - En Vivo,47,196520,0,['Conjunto Primavera'],2008-01-24,0.67,0.672,10,-10.799,0,0.0732,0.018,1.62e-05,0.255,0.656,118.486,4,https://i.scdn.co/image/ab67616d0000b273b487571bcd53c5c95fd75452,https://open.spotify.com/track/4AUlcguqkW7AQFZxHkIvkH,3781
116313,1F02sjkWXmRsvrZHOXibX5,Si Te Vuelvo A Ver,49,200773,0,['Conjunto Primavera'],2009-03-17,0.712,0.66,7,-7.943,0,0.0316,0.0389,0.0,0.0682,0.667,123.922,4,https://i.scdn.co/image/ab67616d0000b273dd269f64aeb41fe2c29a5e68,https://open.spotify.com/track/1F02sjkWXmRsvrZHOXibX5,3781
129900,5iCcDXbsM7Sj0kP7h9g60b,Una Vez Más,54,159373,0,['Conjunto Primavera'],2002-01-01,0.663,0.858,5,-2.821,1,0.0463,0.289,0.0,0.374,0.805,116.269,4,https://i.scdn.co/image/ab67616d0000b2738e69d9c3c60a4643e63efeb1,https://open.spotify.com/track/5iCcDXbsM7Sj0kP7h9g60b,3781
137106,1PPtUUgDpkk36XYbrJyYgF,Bengalische Tiger,50,210480,0,['Marteria'],2014-01-31,0.762,0.854,11,-5.531,1,0.0738,0.00422,0.000114,0.217,0.0902,117.012,4,https://i.scdn.co/image/ab67616d0000b273cd920ed90a9f89c9ba2e86c3,https://open.spotify.com/track/1PPtUUgDpkk36XYbrJyYgF,3781
159060,0V81MsnUkDuSvRcZF5Vyq5,Pa' Que Son Pasiones,33,208827,0,['Conjunto Primavera'],1994-07-27,0.567,0.703,7,-6.472,1,0.0405,0.514,1.14e-05,0.0666,0.92,122.105,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,3781
160573,0c4nqUM14y5wfHFlObq6gx,Muero,45,225507,0,['Conjunto Primavera'],2005,0.582,0.588,3,-4.963,1,0.0272,0.486,0.0,0.157,0.392,126.237,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,3781
204458,3tcL9cz67ITXQEFDnPTrY4,Garezi Var,60,257000,0,['Kahraman Deniz'],2016-10-14,0.655,0.455,10,-9.681,0,0.0343,0.811,8.5e-05,0.0754,0.237,119.971,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,3781
225472,5SfzMo9H3fkIFatwZveTK1,Tu Juego Y Mi Amor,34,123080,0,['Conjunto Primavera'],1996-01-01,0.732,0.804,2,-7.097,1,0.0396,0.543,4.41e-05,0.207,0.955,121.82,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,3781
229942,5n86k4ft5H7OK4qdSUfYoz,F*ckwithmeyouknowigotit,55,243413,1,"['JAY-Z', 'Rick Ross']",2013-07-04,0.611,0.464,10,-8.068,0,0.294,0.0171,0.214,0.0794,0.274,127.766,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,3781
233177,626PlV22AI5wy01vG0JjZO,Una Vez Más,53,159773,0,['Conjunto Primavera'],2013-01-01,0.669,0.824,5,-3.988,1,0.0446,0.283,0.0,0.332,0.823,116.234,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,3781
