,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
3241,Hokus Pokus,62,261173,1,['Insane Clown Posse'],1997-01-01,0.87,0.841,11,-5.084,0,0.0948,0.0193,7.71e-05,0.333,0.857,92.176,4,https://i.scdn.co/image/ab67616d0000b27373515f3eb78e7555f15e5102,https://open.spotify.com/track/3ij7wTT8OOy8MhkT6AS5aS
3241,Boogie Woogie Wu,56,264333,1,['Insane Clown Posse'],1997-01-01,0.729,0.703,7,-6.671,1,0.226,0.00356,2.06e-06,0.38,0.357,88.038,4,https://i.scdn.co/image/ab67616d0000b27373515f3eb78e7555f15e5102,https://open.spotify.com/track/2nKZMOEvOyTViP09HxBfXx
3241,El Sonidito,58,199893,0,['Hechizeros Band'],2008-01-01,0.81,0.96,5,-4.971,1,0.0586,0.069,0.24,0.0729,0.893,77.006,4,https://i.scdn.co/image/ab67616d0000b2734752b62864d2c8f5ff4959f7,https://open.spotify.com/track/3kCeW0fmkrLBWCpEGazRMR
3241,Dancing With Your Ghost,81,197732,0,['Sasha Sloan'],2019-06-28,0.629,0.327,11,-8.285,1,0.029,0.761,2.96e-05,0.103,0.381,74.953,4,https://i.scdn.co/image/ab67616d0000b273141cf717cd3993690358a60c,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ
3241,Magasman,32,347960,0,"['Trompies', 'Lebo Mathosa']",2015-06-26,0.716,0.709,1,-7.108,1,0.105,0.0273,0.0185,0.19,0.627,99.993,4,https://i.scdn.co/image/ab67616d0000b273101d5357bf7fff2c29c3f934,https://open.spotify.com/track/4HxFndd2LoR2MBtYABjBlv
3241,Toy Box,42,324333,0,['Insane Clown Posse'],1995-01-25,0.924,0.794,1,-6.215,1,0.324,0.0569,8.14e-06,0.226,0.452,96.659,4,https://i.scdn.co/image/ab67616d0000b2733c8449d26f21077181fe633d,https://open.spotify.com/track/3DtFSsoib0CkjCT7um79MU
3241,Hay Una Unción Aquí,40,301256,0,['Iglesia Rey De Reyes & Claudio Freidzon'],1997-08-12,0.319,0.463,4,-12.752,1,0.0308,0.12,0.0,0.889,0.202,103.988,4,https://i.scdn.co/image/ab67616d0000b273a2ef08249cbddc90ec78cdb5,https://open.spotify.com/track/2g4o3YETY4314q5LNUi6cU
3241,My Axe,58,233773,1,['Insane Clown Posse'],2007-01-01,0.847,0.801,6,-4.382,1,0.0866,0.00349,0.0,0.331,0.744,109.053,4,https://i.scdn.co/image/ab67616d0000b273b11270b7212912185c171598,https://open.spotify.com/track/21DhGvrfC9W2FBjW5EJmWE
3241,Cozy Rain,67,158655,0,['Sample Rain Library'],2017-04-12,0.196,0.501,10,-22.68,1,0.0956,0.135,0.995,0.727,0.0169,83.557,4,https://i.scdn.co/image/ab67616d0000b273a226d89fdebe9c00db5b13e7,https://open.spotify.com/track/3lQu0W0vYlspohW9LNliYC
3241,我把我的青春給你,50,243000,0,['Good Band'],2016-08-03,0.556,0.354,9,-7.977,1,0.0357,0.815,3.89e-06,0.108,0.29,120.25,4,https://i.scdn.co/image/ab67616d0000b2738f1aebd2f7452372dc68748d,https://open.spotify.com/track/6fbTQfucfhZQ4UHhNd27Bm
