,name,popularity,artists,release_date,images,urls
3421,Sirena,63,['Sin Bandera'],2003-11-21,https://i.scdn.co/image/ab67616d0000b2738318ddaac22cbcf67416c2f7,https://open.spotify.com/track/1fjB9hdAjlHSS9oH5z63qt
3421,Sirena,59,['Sin Bandera'],2007-11-13,https://i.scdn.co/image/ab67616d0000b2738c6ff5cbed17363658f46732,https://open.spotify.com/track/6FgQ1jmP02HyO3mM3nk8W1
3421,In Too Deep,40,['Belinda Carlisle'],1996-11-11,https://i.scdn.co/image/ab67616d0000b273ef96275a8d11f1c9f0d7048d,https://open.spotify.com/track/1LJRiDlfPJrX1U6TnkSgeM
3421,TV-GLOTZER (WHITE PUNKS ON DOPE),37,['Nina Hagen'],1982,https://i.scdn.co/image/ab67616d0000b273ac3406bc03f31b5de360e535,https://open.spotify.com/track/2gLyZC7Pqo739qy5TrEjCJ
3421,Amor Real,46,['Sin Bandera'],2003-10-01,https://i.scdn.co/image/ab67616d0000b27365ad331cf7c3f45284ca8a39,https://open.spotify.com/track/61rsH7JH62uJcOiPRAOvKY
3421,Si Me Besas,46,['Sin Bandera'],2003-11-21,https://i.scdn.co/image/ab67616d0000b2738318ddaac22cbcf67416c2f7,https://open.spotify.com/track/3CtWF4YeOTbnG1DX7vjUaf
3421,Junto a Ti (feat. Vico C) - GMT Version,49,"['Sin Bandera', 'Vico C']",2005-11-18,https://i.scdn.co/image/ab67616d0000b273ca6b2c2ff5f4026021d741fe,https://open.spotify.com/track/7GWKBK4MmJPaCKSNJykCxZ
3421,Amor Real,50,['Sin Bandera'],2007-11-13,https://i.scdn.co/image/ab67616d0000b2738c6ff5cbed17363658f46732,https://open.spotify.com/track/3TTGJWEf6djut1oziq9h02
3421,Magia,43,['Sin Bandera'],2003-10-01,https://i.scdn.co/image/ab67616d0000b27365ad331cf7c3f45284ca8a39,https://open.spotify.com/track/27404muSmjvtkMJjwdguWE
3421,No Neguemos el Amor,41,['Sin Bandera'],2003-11-21,https://i.scdn.co/image/ab67616d0000b2738318ddaac22cbcf67416c2f7,https://open.spotify.com/track/0HC9qNNL9KH7RqY21158Gs
3421,Pagan Dream Machine - Vibrasphere Remix,41,['Entheogenic'],2005,https://i.scdn.co/image/ab67616d0000b27327a8c41e1f5697affac491e5,https://open.spotify.com/track/5BRXWwO8o77U6717HnpbCL
3421,Smack Jack,31,['Nina Hagen'],1982,https://i.scdn.co/image/ab67616d0000b273ac3406bc03f31b5de360e535,https://open.spotify.com/track/0UwEY2HX06Cw6SkjMwOGZC
3421,Fotky Z Novin,33,['Supercrooo'],2004,https://i.scdn.co/image/ab67616d0000b273641e5c3cde1c218a6e68b47a,https://open.spotify.com/track/7klr5JnmTWDpmRjbFttz9k
3421,"Can You See - (劇集 ""律政強人"" 插曲)",37,['Kayee Tam'],2016-09-19,https://i.scdn.co/image/ab67616d0000b273836d102a2cc7f84e1791fc94,https://open.spotify.com/track/6lA82P3l0mrCUtz6QglFPV
3421,"陪著你走 - 劇集 ""不懂撒嬌的女人"" 插曲",41,['Kayee Tam'],2018-11-19,https://i.scdn.co/image/ab67616d0000b2732d133beae0e8df82c80b395f,https://open.spotify.com/track/6ZowYBoRWQaS7bPmmDuWpS
3421,專一的fuckboy,36,['Takeem'],2019-10-24,https://i.scdn.co/image/ab67616d0000b273b4ff086457ebf8ae202d79ba,https://open.spotify.com/track/1xKBAFrj7sacRrzA7saCnZ
3421,"今宵多珍重 - 劇集 ""金宵大廈"" 主題曲",41,['Kayee Tam'],2019-12-19,https://i.scdn.co/image/ab67616d0000b273cec95ecc36b59b77ca9d1558,https://open.spotify.com/track/0Z4SI1Xme7PbapB9jv0FC7
3421,Heaven Is A Place On Earth,66,['Belinda Carlisle'],1987-10-05,https://i.scdn.co/image/ab67616d0000b273a50fa51325803da5ddb48659,https://open.spotify.com/track/58mFu3oIpBa0HLNeJIxsw3
3421,I Get Weak,45,['Belinda Carlisle'],1987-10-05,https://i.scdn.co/image/ab67616d0000b273a50fa51325803da5ddb48659,https://open.spotify.com/track/2B1ylFlO2nBGJdPNb9vMnn
3421,Heaven Is A Place On Earth,38,['Belinda Carlisle'],1992-01-01,https://i.scdn.co/image/ab67616d0000b273e7674095b4e6ac0ac4ea257e,https://open.spotify.com/track/15vASgdsk0J4BrkZhVTxFG
3421,"Mala, Malita, Mala",47,['La Húngara'],2006-05-05,https://i.scdn.co/image/ab67616d0000b273014f30f23af261d62a0c1f2b,https://open.spotify.com/track/6IaphxP0AAhm9IaoiuXhDU
3421,Fiesta Con ¡La Húngara!,39,['La Húngara'],2006-05-05,https://i.scdn.co/image/ab67616d0000b273014f30f23af261d62a0c1f2b,https://open.spotify.com/track/6YN1x1hVN52cZRbemHNdVI
3421,Tengo Que Impedir Esa Boda,39,['La Húngara'],2009-03-24,https://i.scdn.co/image/ab67616d0000b27397921bd3dbf92f4930402deb,https://open.spotify.com/track/2WdNC6VcV3u3djMKSHGviq
3421,Tout le bonheur du monde,55,['Sinsémilia'],2004-10-03,https://i.scdn.co/image/ab67616d0000b2739fee7bf84eb6b34f5fcc14ea,https://open.spotify.com/track/2jY4XzyntBSe2ns2EwA2pL
3421,Ready Or Not - Radio Edit,35,['The Course'],1996-08-30,https://i.scdn.co/image/ab67616d0000b2730da77145da42f2a503460fd4,https://open.spotify.com/track/042lLPZzP8WN4lts07QOPV
3421,Need In Me,45,['Flashmob'],2012-05-14,https://i.scdn.co/image/ab67616d0000b27314bc2ee0325bb055e9cc3e5e,https://open.spotify.com/track/380GtExPmcOhbCgyDOYRjx
3421,Aunque yo tenga gata,49,"['Lele El Arma Secreta', 'Endo']",2019-05-06,https://i.scdn.co/image/ab67616d0000b273af8e9e11d4879a5cd7625b58,https://open.spotify.com/track/58m1yJitiFp4DFmKPnyNbc
3421,Choosa Choosa,47,"['Padmalatha', 'Sniggy']",2016-11-09,https://i.scdn.co/image/ab67616d0000b2735e7c72cef4b30f105591c650,https://open.spotify.com/track/0iIvZ25h16B9DhjptYp8hK
3421,"Heaven Is a Place on Earth (Promo 7"" Edit)",33,['Belinda Carlisle'],1987,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Vibrations,59,['Mae Ji-Yoon'],2017-09-10,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,La Luna,47,['Belinda Carlisle'],1989-10-17,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Du hast den Farbfilm vergessen,46,['Nina Hagen'],1996-01-06,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Tócame,40,['Sin Bandera'],2007-11-13,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Heaven is a Place on Earth,53,['Belinda Carlisle'],1987-10-05,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Contigo,45,['Sin Bandera'],2003-10-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Heaven Is a Place on Earth (Heavenly Version),32,['Belinda Carlisle'],1987-10-05,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Då går jag ner i min källare,44,['Pierre Isacsson'],1991-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Heaven Is a Place on Earth,62,['Belinda Carlisle'],1987-10-05,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,I Get Weak,43,['Belinda Carlisle'],1987-10-05,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Waves Of Luv (Soulstatic Radio Re-Edit),34,['2 Black'],2004,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,"今宵多珍重 - 劇集 ""金宵大廈"" 主題曲",39,['Kayee Tam'],2019-09-16,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Live Your Life Be Free (Single Edit),34,['Belinda Carlisle'],1991-10-14,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,A Million On My Soul (Remix),63,"['Moses', 'EMR3YGUL', 'Alexiane']",2020-07-28,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Photomaton,44,"['Jabberwocky', 'Elodie Wildstars']",2015-10-02,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Photomaton,55,"['Jabberwocky', 'Elodie Wildstars']",2014-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Vision of You,32,['Belinda Carlisle'],1989-10-17,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3421,Todo Paso,46,['Dj LaH221'],2021-02-25,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Do You Feel What I'm Feeling?,41,['Warren Hill'],1994-10-10,https://i.scdn.co/image/ab67616d0000b273514165da38279cecf7444c03,https://open.spotify.com/track/4xb8Y0Zxg1nc2bo4Can9yv
3422,If I Was Your Man,54,['Joe'],2007-04-24,https://i.scdn.co/image/ab67616d0000b2730839d0d50fb8937ba4772ce1,https://open.spotify.com/track/5PH2eU6P5LdnwDezBu8334
3422,Pämppää,46,"['Teflon Brothers', 'Sahamies']",2017-05-12,https://i.scdn.co/image/ab67616d0000b2732a14e512d8942b8bc4c3f46c,https://open.spotify.com/track/5t7rDlqL7Ji3BrpOJFKBCr
3422,Kuka Antais Pukille?,37,"['Teflon Brothers', 'Spekti', 'Petri Nygård']",2018-11-21,https://i.scdn.co/image/ab67616d0000b273ec8111f92fe65d6bf04a1b0b,https://open.spotify.com/track/7zyofXGhXgaqT8fhvLufdf
3422,Juhannussimaa,40,"['Teflon Brothers', 'Kalevauva.fi']",2019-06-07,https://i.scdn.co/image/ab67616d0000b2733cf480c60a11498304da04d3,https://open.spotify.com/track/3hHW02dwouJ6TN61MgSz3B
3422,La Dolce Vita,53,['Warren Hill'],2008-06-24,https://i.scdn.co/image/ab67616d0000b273b7c2ca12c503b01049fee955,https://open.spotify.com/track/1l9IRtd8omIqlGxYYzmyLv
3422,Dona de mim,68,['IZA'],2018-04-27,https://i.scdn.co/image/ab67616d0000b27336bcf89d1fa0c989c4384b62,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN
3422,Meu talismã,70,['IZA'],2019-08-23,https://i.scdn.co/image/ab67616d0000b273ea29a69ebdeb0fb326af3196,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX
3422,Lefki Kataigida,39,"['Pavlos Pavlidis', 'B-movies']",2010-05-03,https://i.scdn.co/image/ab67616d0000b2730c51684d3a54aa08d30026b7,https://open.spotify.com/track/6uMAIViVke4SNDpy32LRxl
3422,หนี,44,['SCRUBB'],2010-09-07,https://i.scdn.co/image/ab67616d0000b27389420d65bb5f629ee36741d4,https://open.spotify.com/track/588SH9wDp7GnN8hIfB2ufw
3422,รอยยิ้ม,56,['SCRUBB'],2013-12-18,https://i.scdn.co/image/ab67616d0000b273271b9b8a6563a6679c9dbe35,https://open.spotify.com/track/6ezEwX2eZRZlioqYaUPOKX
3422,เพลงนั้นยังอยู่,35,['SCRUBB'],2013-12-18,https://i.scdn.co/image/ab67616d0000b273271b9b8a6563a6679c9dbe35,https://open.spotify.com/track/5Wr5BGFq1BBMQKvvHRTN8J
3422,กลัว (18th edited),47,['SCRUBB'],2018-10-18,https://i.scdn.co/image/ab67616d0000b273ff7163fb71074f3ac1937f27,https://open.spotify.com/track/6T3awZdmxxF3j5ozSi8vqy
3422,หยุดอยู่ตรงนั้น,49,['SCRUBB'],2020-11-10,https://i.scdn.co/image/ab67616d0000b2736488230f31fb714ac76cdf04,https://open.spotify.com/track/6v8ZTgbPV6KQKHOxQlJUtO
3422,อยากบอกให้รู้,46,['SCRUBB'],2020-09-24,https://i.scdn.co/image/ab67616d0000b273a7f5454c0b67ead38522fe25,https://open.spotify.com/track/1CkDsZM7FAbYXRwNlcFDed
3422,Mi Madrugá,44,['Tres Caidas de Triana'],2013-12-07,https://i.scdn.co/image/ab67616d0000b27350fd038b5978b93dd06416d7,https://open.spotify.com/track/0Ywt6OMDOg41b2WYW96nCp
3422,Abrazado a Triana,40,['Tres Caidas de Triana'],2013-12-07,https://i.scdn.co/image/ab67616d0000b27350fd038b5978b93dd06416d7,https://open.spotify.com/track/3yPQdcwOEzyL1bB01cxlrY
3422,Vergonha pra Midia,69,"['Salvador Da Rima', 'NOG', 'Mc Kevin', 'MC Ryan SP', 'Mc Lele JP']",2020-04-01,https://i.scdn.co/image/ab67616d0000b273d495d61d97f34149c7d8ddf8,https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J
3422,Estilo Coyote,62,['Salvador Da Rima'],2020-10-02,https://i.scdn.co/image/ab67616d0000b273d5d4f7bfc77cb326b7474afa,https://open.spotify.com/track/0S8wE0j00zo0giZ2PkWmUD
3422,Conto as Horas,62,"['Salvador Da Rima', 'MC Ryan SP']",2020-10-23,https://i.scdn.co/image/ab67616d0000b273e8a436651b55e295547dc929,https://open.spotify.com/track/1jjmqxL4LmMpjEqOQCAZfT
3422,Vacuum White Noise Hallway,43,['White Noise Vacuum'],2018-11-01,https://i.scdn.co/image/ab67616d0000b273434392c828d779e88fab7982,https://open.spotify.com/track/1esMR9cPowIa5pahsIHRZR
3422,Odaát,37,['AK26'],2020-11-01,https://i.scdn.co/image/ab67616d0000b2735dd6f397d677368a41c1184e,https://open.spotify.com/track/49n1lQV4PicCplbk6GMy7m
3422,Bonnie & Clyde,42,['AK26'],2020-03-08,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Pesadão (Participação especial Marcelo Falcão),56,"['IZA', 'Marcelo Falcão']",2017-10-05,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Evapora,60,"['IZA', 'Ciara', 'Major Lazer']",2019-11-08,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Ay Ay Ay,45,"['Teflon Brothers', 'Tango-Teemu']",2017-05-12,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Se Que Me Engañaste,39,['Iván Cruz'],2017-12-05,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Pesadão (Participação especial Marcelo Falcão),62,"['IZA', 'Marcelo Falcão']",2018-04-27,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Let Go,71,"['Ark Patrol', 'Veronika Redd']",2016-04-14,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,帰ってこいよ,35,['松村和子'],2008-10-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Don't Wanna Be a Player,39,['Joe'],2008-10-14,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,ลม,41,['SCRUBB'],2013-12-18,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Dime la Verdad,38,['Iván Cruz'],2017-12-05,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Не верю,40,['Elysium'],2017-10-20,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Insomnia,47,['sadimsad'],2018-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,L'estaca,40,['Lluis Llach'],2007-01-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Pacino,36,['AK26'],2019-02-19,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Pämppää,41,"['Teflon Brothers', 'Sahamies']",2015-04-27,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Dona de mim,55,['IZA'],2018-09-28,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Manteli,39,"['Teflon Brothers', 'Spekti', 'Petri Nygård']",2017-11-17,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3422,Когда мы были младше,34,['Elysium'],2014-09-18,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
3423,It's Possible,40,"['Piero Piccioni', 'Catherine Howe']",1974-12-02,https://i.scdn.co/image/ab67616d0000b2730d71a931d23a425a4e511090,https://open.spotify.com/track/7HWfJgLLbH5NjcghGM74tM
3423,Pienso en Tí,43,['Grupo Ladron'],1980,https://i.scdn.co/image/ab67616d0000b273db87589d5ac7db5b7a83631f,https://open.spotify.com/track/0dHVZ4PpbOF14KnzMFZoF0
3423,Ready or Not,73,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",1996-02-13,https://i.scdn.co/image/ab67616d0000b2735b7865be7f7fcc05faec6137,https://open.spotify.com/track/3vZO25GdYuqFrR1kzZADnp
3423,Not About Angels,75,['Birdy'],2014-04-13,https://i.scdn.co/image/ab67616d0000b273a7a7f6236a9219ffc8e9054c,https://open.spotify.com/track/5sF7hdYvhrcgNq8NZjfK8L
3423,Come To Life (Mixed),35,"['Scorz', 'Diana Leah']",2020-12-11,https://i.scdn.co/image/ab67616d0000b27399c3bcd25b50ff3a1155e069,https://open.spotify.com/track/4xZLHEwMJHI7EmTUaIfFYI
3423,Red Intro,43,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",1996-02-13,https://i.scdn.co/image/ab67616d0000b2735b7865be7f7fcc05faec6137,https://open.spotify.com/track/5Amv02LQjNrMSoOT2L2WmQ
3423,Armor,60,['Landon Austin'],2014-04-15,https://i.scdn.co/image/ab67616d0000b2736809607e7671af7303cd45e9,https://open.spotify.com/track/0o9MIPIGM8svRpfdQGTvUX
3423,My Perfect Cousin,31,['The Undertones'],1980-04-21,https://i.scdn.co/image/ab67616d0000b273cba1d2a09cb59731f71a856c,https://open.spotify.com/track/5VaqQRje0gW0NJz44flozi
3423,When Saturday Comes - Eden Studio Sessions 16/11/1980,35,['The Undertones'],1980-04-21,https://i.scdn.co/image/ab67616d0000b273cba1d2a09cb59731f71a856c,https://open.spotify.com/track/1wMfneuH1yVwFxZR9wqWcl
3423,Ritmo De La Noche - Radio Version,39,['Lorca'],1990-05-04,https://i.scdn.co/image/ab67616d0000b273ddf1df1d960ec350fe4eb3ea,https://open.spotify.com/track/3iJtnOzdEmkVLgaPUPT4b8
3423,Dark Beat - Original Murk Mix Radio Edit,37,"['Oscar G & Ralph Falcon', 'Oba Frank Lords']",2002,https://i.scdn.co/image/ab67616d0000b2734b019061fe7c0332ef6794f1,https://open.spotify.com/track/7uQWtaM6QwPLVTnw2xEXhw
3423,A Mi Ciudad,42,['Santiago del Nuevo Extremo'],1992-10-07,https://i.scdn.co/image/ab67616d0000b273bb94990ea3e685c88398b776,https://open.spotify.com/track/0C4FrKAngFs8kb5jApJVdd
3423,Simplemente,36,['Santiago del Nuevo Extremo'],1992-10-07,https://i.scdn.co/image/ab67616d0000b273bb94990ea3e685c88398b776,https://open.spotify.com/track/6OynYl9864vo3JTvDOl2tx
3423,POCSOLYÁBA LÉPTEM,36,['Takats Tamas Dirty Blues Band'],2007-01-01,https://i.scdn.co/image/ab67616d0000b2733b3245afd3100b467ac50214,https://open.spotify.com/track/3KrcL8fYnb6bFQoEPzv81V
3423,吻和淚,36,['周子寒'],1993-01-10,https://i.scdn.co/image/ab67616d0000b2735039d3faf96f75beaaae7846,https://open.spotify.com/track/2FNOdCQmp64S66T97kWTdQ
3423,Teenage Kicks,48,['The Undertones'],1979-05-13,https://i.scdn.co/image/ab67616d0000b2733b55c757449574c107e08cea,https://open.spotify.com/track/7ATyLePQnHxFk5kzxWCcsh
3423,Merenda Kasih,37,['Kahitna'],1995-01-01,https://i.scdn.co/image/ab67616d0000b273b09e43acba71b02dea059ad8,https://open.spotify.com/track/1JDrOaok6v2WvFW4fM9smv
