,name,popularity,artists,release_date,images,urls
3231,Pienso en Aquella Tarde,57,['Pereza'],2003-07-11,https://i.scdn.co/image/ab67616d0000b273c2abd7b79f2d711d03473554,https://open.spotify.com/track/5dncXckT4fSDlyEL9QgzuY
3231,Clairvoyant,61,['The Story So Far'],2013-06-18,https://i.scdn.co/image/ab67616d0000b273897fd0d916c6fdaa02ef0464,https://open.spotify.com/track/0nMOZnZA4GnipZXswSmCS6
3231,Hasta el Final de la Vida,31,"['Diomedes Diaz A Duo Silvestre Dangond', 'Juan Humberto Rois']",2010-07-26,https://i.scdn.co/image/ab67616d0000b273f36fb0760d33d213c75ae1a8,https://open.spotify.com/track/2Cn0I2RnBESeaD2j6JKrUO
3231,Un Día de Estos,47,['Marwán'],2014-05-07,https://i.scdn.co/image/ab67616d0000b273b77681778ee249a53aece29d,https://open.spotify.com/track/0eRrshPPfWfo1sbzdsGQLq
3231,Antwerps Testament,34,['Tourist LeMC'],2013-01-01,https://i.scdn.co/image/ab67616d0000b273d6b2d191c11b00924ca491c0,https://open.spotify.com/track/5s6dJxZJ5FwYXBzjmSn8t8
3231,Als Ge Wilt Vrijen,34,['Tourist LeMC'],2013-01-01,https://i.scdn.co/image/ab67616d0000b273d6b2d191c11b00924ca491c0,https://open.spotify.com/track/3P3WdMgwXWEK8APuGB7tWO
3231,Triestige Plant,34,"['Tourist LeMC', 'Katastroof', 'Yello', 'Seno']",2013-01-01,https://i.scdn.co/image/ab67616d0000b273d6b2d191c11b00924ca491c0,https://open.spotify.com/track/6sKUO6EC79bVHNZR0UasNW
3231,Wij Zijn Geen Ratten,32,['Tourist LeMC'],2013-01-01,https://i.scdn.co/image/ab67616d0000b273d6b2d191c11b00924ca491c0,https://open.spotify.com/track/1a3cHmwwaPXtDN7Zb1GRLZ
3231,Visa Paspor,32,"['Tourist LeMC', 'Typhoon']",2013-01-01,https://i.scdn.co/image/ab67616d0000b273d6b2d191c11b00924ca491c0,https://open.spotify.com/track/2VgZPijrm3zMcXewuw0WIe
3231,Dromen Van Beesten,32,"['Tourist LeMC', 'Yello']",2013-01-01,https://i.scdn.co/image/ab67616d0000b273d6b2d191c11b00924ca491c0,https://open.spotify.com/track/4um9HByW4mR37ADONWbfkQ
