,name,popularity,artists,release_date,images,urls
1801,I Want You Back,77,['The Jackson 5'],1969-12-18,https://i.scdn.co/image/ab67616d0000b27316aaf05fe82237576a7d0e38,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S
1801,Who's Lovin' You,62,['The Jackson 5'],1969-12-18,https://i.scdn.co/image/ab67616d0000b27316aaf05fe82237576a7d0e38,https://open.spotify.com/track/6cZrsaNb4Zo9E5KHk7gcz5
1801,Les Fleurs,62,['Minnie Riperton'],1970-11-01,https://i.scdn.co/image/ab67616d0000b273d85c957794c2a5b8b11de5f9,https://open.spotify.com/track/4XCGfHpGVq8xw800o5cwWs
1801,Santa Claus Is Coming To Town,54,['The Jackson 5'],1970-10-15,https://i.scdn.co/image/ab67616d0000b27308a0fe33e91b991d2c9c9cde,https://open.spotify.com/track/2QpN1ZVw8eJO5f7WcvUA1k
1801,Mannequin - 2006 Remastered Version,53,['Wire'],1977-11-01,https://i.scdn.co/image/ab67616d0000b2734c6c5ba83f726dbecf710361,https://open.spotify.com/track/5LEwYNnwG1RSVseSmMZQpo
1801,Ex Lion Tamer - 2006 Remastered Version,49,['Wire'],1977-11-01,https://i.scdn.co/image/ab67616d0000b2734c6c5ba83f726dbecf710361,https://open.spotify.com/track/5bb71zUIXMD6fsnHBLaoQ6
1801,Memory Lane,43,['Minnie Riperton'],1979-05-09,https://i.scdn.co/image/ab67616d0000b273d080fc1eebfa35691852053c,https://open.spotify.com/track/3Hl3TSGhhpSHfZcgi9CKpT
1801,Never Can Say Goodbye - Single Version,53,['The Jackson 5'],1986-11-14,https://i.scdn.co/image/ab67616d0000b273b6dc9ff7e2dc644cef0857e9,https://open.spotify.com/track/1W51a25vcNYcO3d4oM62L6
1801,Oh How Happy,31,['The Jackson 5'],1970-09-08,https://i.scdn.co/image/ab67616d0000b27320112a0321d2efc7384db456,https://open.spotify.com/track/1VIRe8eglPUT7aL5pKeoFI
1801,Pennywhistle,31,['Mango Groove'],1989-11-07,https://i.scdn.co/image/ab67616d0000b273aeee19f284ce0086333f91d6,https://open.spotify.com/track/31TjeXsbZmwBbJqhwn6YG7
1801,Games People Play,41,['The Georgia Satellites'],1989,https://i.scdn.co/image/ab67616d0000b273f751ceb955f28eb6c51115b5,https://open.spotify.com/track/4kUMfefHiemc0qPqCzbOa5
1801,Qué Será de Mí,42,['Joven Sensación'],1997-10-14,https://i.scdn.co/image/ab67616d0000b273419dd32cf8e59d46444509d6,https://open.spotify.com/track/7iW0cJKaduky6UHoIfEdRb
