,name,popularity,artists,release_date,images,urls
1541,Rip It Up,56,['Orange Juice'],1982-11-01,https://i.scdn.co/image/ab67616d0000b27355e7c78ec58c4670bc0180fb,https://open.spotify.com/track/1eamsmwcYYhJwTgMFdQ6YN
1541,I Can't Help Myself,48,['Orange Juice'],1982-11-01,https://i.scdn.co/image/ab67616d0000b27355e7c78ec58c4670bc0180fb,https://open.spotify.com/track/4y7YMKVaXwOB7F6tyVLrF9
1541,Another Love,61,['Tom Odell'],2012,https://i.scdn.co/image/ab67616d0000b2736aaeee3655379f5886bc32ef,https://open.spotify.com/track/5FKnuwsKf7YFpmhA5Wnl0q
1541,Sweet Little Mystery,60,['Wet Wet Wet'],1987-09-21,https://i.scdn.co/image/ab67616d0000b273d5c67051b4a659137ffe8520,https://open.spotify.com/track/58qBa4R0T7u0ZiuRvMJRUN
1541,Wishing I Was Lucky,45,['Wet Wet Wet'],1987-09-21,https://i.scdn.co/image/ab67616d0000b273d5c67051b4a659137ffe8520,https://open.spotify.com/track/4w55wTh9ZbVgD9YC5Z4pZZ
1541,Just Got Paid - Single Version,52,['Johnny Kemp'],1979,https://i.scdn.co/image/ab67616d0000b27305c9a6c692b5b9e64030b807,https://open.spotify.com/track/1OK4hVcucqYKMU9Ipb3dtx
1541,What Are Words,58,['Chris Medina'],2011-11-28,https://i.scdn.co/image/ab67616d0000b273c3676f59433092b4949a1e92,https://open.spotify.com/track/50A1WCxKycJUHRr4Rz6WrD
1541,Ingen annan rör mig som du,57,['Norlie & KKV'],2016-10-14,https://i.scdn.co/image/ab67616d0000b273a60a3493811930d6f492d326,https://open.spotify.com/track/25V8NDi9if73rYvHwDKKw5
1541,Never Gonna Die,31,['Choirboys'],1983-01-01,https://i.scdn.co/image/ab67616d0000b2739f50237ccd1a213bf108f4b9,https://open.spotify.com/track/4iFTpNEy6hP5nVXgoZo4IJ
1541,What Presence?!,38,['Orange Juice'],1984-11-01,https://i.scdn.co/image/ab67616d0000b2732ecdd22fcefedca77c2025cc,https://open.spotify.com/track/6X542A49pirp8Y511KDH6y
1541,I Guess I'm Just a Little Too Sensitive,38,['Orange Juice'],1984-11-01,https://i.scdn.co/image/ab67616d0000b2732ecdd22fcefedca77c2025cc,https://open.spotify.com/track/0uVGDPBHf8WvWhRsQdRYle
1541,Bachata Rosa,44,['Noel Schajris'],2011-05-31,https://i.scdn.co/image/ab67616d0000b273258e308748417b144ea1c70e,https://open.spotify.com/track/7KUyLb0zmWkjuuoJ1Vi7cB
1541,Prefixo de verão,38,['Banda Mel'],1990-01-01,https://i.scdn.co/image/ab67616d0000b273ad69e50655b14c5c48ac0894,https://open.spotify.com/track/5OpmkdcxfOUNLI6RNdS006
1541,Another Love - Live from Spotify (SXSW),53,['Tom Odell'],2013-05-20,https://i.scdn.co/image/ab67616d0000b2734bc732ca29b7a01108d34d2f,https://open.spotify.com/track/0rhJ30qQSus6Ckn3hKZ6Hr
1541,Baianidade nagô,41,['Banda Mel'],1994-01-01,https://i.scdn.co/image/ab67616d0000b2734d875b0a59a48f37721f308f,https://open.spotify.com/track/56AIhdkp9H4fnsPmflMuTl
1541,A Girl's Gotta Do (What A Girl's Gotta Do),42,['Mindy McCready'],1996-04-30,https://i.scdn.co/image/ab67616d0000b27355cfd0a24a891f8d62dc7d71,https://open.spotify.com/track/0i0katW8NnCcCSchmhQUzg
1541,Flesh of My Flesh,33,['Orange Juice'],1982-11-01,https://i.scdn.co/image/ab67616d0000b27355e7c78ec58c4670bc0180fb,https://open.spotify.com/track/1DWJmMRfAWYbqasrfW5wAd
1541,El Caminante,50,['La Dinastía de Tuzantla Michoacán'],2012-09-01,https://i.scdn.co/image/ab67616d0000b27313993bdc6aadecaee3393878,https://open.spotify.com/track/4Mfepu07REoaF3fxJBtpzi
1541,All The Things We Forgot - Acoustic,44,['Moyka'],2019-11-22,https://i.scdn.co/image/ab67616d0000b27359db6002267ccdec7c9e0e89,https://open.spotify.com/track/2vYqq3fe4MbBHtEW05E7gV
1541,İnan İsterdim,40,['Anıl Piyancı'],2013-05-10,https://i.scdn.co/image/ab67616d0000b27302967bfb7600421ded289f64,https://open.spotify.com/track/6OTZmey0AydX3Yb513CmW7
1541,Nefsine Güç Ver (feat. Fuat Ergin & Araf),36,"['Anıl Piyancı', 'Fuat Ergin', 'Araf']",2013-05-10,https://i.scdn.co/image/ab67616d0000b27302967bfb7600421ded289f64,https://open.spotify.com/track/2LhvkqVbAd5ldgLyhNT5PM
1541,Bugün Biraz İçtim (feat. Ezhel & Grogi),56,"['Anıl Piyancı', 'Artz', 'Ezhel', 'Grogi']",2016-01-15,https://i.scdn.co/image/ab67616d0000b273ddb8679fc8ceec6d1fc7fe8a,https://open.spotify.com/track/36ia26BNLOY4cb6eeViRuh
1541,"Adam Olmaz (feat. Eypio, Cash Flow & Şehinşah)",46,"['Anıl Piyancı', 'Artz', 'Eypio', 'Cash Flow', 'Şehinşah']",2016-01-15,https://i.scdn.co/image/ab67616d0000b273ddb8679fc8ceec6d1fc7fe8a,https://open.spotify.com/track/4JHlIAdS6OMoOhHsyf3HCj
1541,Keyif Pezevengi (feat. Ezhel),41,"['Anıl Piyancı', 'Artz', 'Ezhel']",2016-01-15,https://i.scdn.co/image/ab67616d0000b273ddb8679fc8ceec6d1fc7fe8a,https://open.spotify.com/track/3Nb8JQTxHJNIhavp9Fjh3i
1541,Bırakman Doğru Mu,63,"['Anıl Piyancı', 'Zeynep Bastık']",2019-06-21,https://i.scdn.co/image/ab67616d0000b27354a0ca8e9606dddf34b324bf,https://open.spotify.com/track/5pdsGdTeqH6MHqJeKkpwX3
1541,Yağmurlar,68,"['Anıl Piyancı', 'Perdenin Ardındakiler']",2020-04-10,https://i.scdn.co/image/ab67616d0000b2734181c87fe18624e74071a375,https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
1541,Franguinho na Panela,40,['Lourenco & Lourival'],2009,https://i.scdn.co/image/ab67616d0000b273ac8737cc3429167146337969,https://open.spotify.com/track/6m12YhlJMrNMkH4ggWzUia
1541,Menina da Aldeia,42,['Lourenco & Lourival'],2011,https://i.scdn.co/image/ab67616d0000b273743307439f289661608fef03,https://open.spotify.com/track/4j44lM82aQKpoox4u8Lp1k
1541,Answerphone (feat. Yxng Bane),60,"['Banx & Ranx', 'Ella Eyre', 'Yxng Bane']",2018-03-15,https://i.scdn.co/image/ab67616d0000b2731aead9238a3ec947f46b7176,https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3
1541,No Love Allowed,53,"['Taggy Matcher', 'LMK']",2014-11-28,https://i.scdn.co/image/ab67616d0000b273851a5df2e33052e938544863,https://open.spotify.com/track/0aJNqdKdmaRnegDDzOUelc
1541,A Million Pleading Faces,31,['Orange Juice'],1982-11-01,https://i.scdn.co/image/ab67616d0000b27355e7c78ec58c4670bc0180fb,https://open.spotify.com/track/66M9J2RW16TZOgmfPNvBkU
1541,Compárame,45,['Megapuesta'],2014-09-08,https://i.scdn.co/image/ab67616d0000b273f47b3e2f72974c7fe43794a9,https://open.spotify.com/track/1qkNQGXR88nNhKWKSKskdQ
1541,Din Idiot,51,['Norlie & KKV'],2016-10-14,https://i.scdn.co/image/ab67616d0000b273a60a3493811930d6f492d326,https://open.spotify.com/track/3bXntWHHOFwLdY3u0NnthP
1541,Du får göra vad du vill med mig,46,['Norlie & KKV'],2016-10-14,https://i.scdn.co/image/ab67616d0000b273a60a3493811930d6f492d326,https://open.spotify.com/track/0BridIUowOHui7LcBmKDio
1541,Mer för varandra,56,"['Norlie & KKV', 'estraden']",2018-05-18,https://i.scdn.co/image/ab67616d0000b2733efdb35d4f3d74e9a30ffff0,https://open.spotify.com/track/5GC6b6Ukc7PfwG8VfYO3ar
1541,Komma över dig - Spotify Studio It's Hits Recording,59,"['Norlie & KKV', 'Junie']",2020-06-26,https://i.scdn.co/image/ab67616d0000b273b3cc73b64ebeb001a152d346,https://open.spotify.com/track/0llOYwxUVtCD5lBJMrj7ox
1541,Glad för din skull,53,['Norlie & KKV'],2020-11-20,https://i.scdn.co/image/ab67616d0000b273884603f23a5424742cac45e8,https://open.spotify.com/track/7rbf2vSgdQlPmm6AqpYO40
1541,Franguinho na Panela,48,['Lourenco & Lourival'],2009-09-01,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/
