,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
1311,Bad Boys Are Here,44,231040,0,['Peer Günt'],1986,0.464,0.861,11,-3.462,0,0.034,0.000156,3.93e-05,0.178,0.471,122.602,4,https://i.scdn.co/image/ab67616d0000b273b0cd45e2bb4c8a4a35b06aaf,https://open.spotify.com/track/64rIfNO923Knzi4K7RzVrz
1311,"Mírala, Míralo - En Vivo",56,241200,0,['Alejandra Guzman'],1995-11-30,0.668,0.883,5,-5.492,1,0.032,0.00407,1.79e-05,0.0833,0.594,122.128,4,https://i.scdn.co/image/ab67616d0000b27360372d58c7469fddadc46ffd,https://open.spotify.com/track/3DYn0B1cvLccEKsBXDNjux
1311,Mala Hierba - En Vivo,47,196907,0,['Alejandra Guzman'],1995-11-30,0.673,0.911,7,-6.163,0,0.0424,0.0229,0.00019,0.149,0.498,111.265,4,https://i.scdn.co/image/ab67616d0000b27360372d58c7469fddadc46ffd,https://open.spotify.com/track/3n5nRfYKi0iqGQX7RGU9Yp
1311,Yo Te Esperaba - Primera Fila [En Vivo],62,224867,0,['Alejandra Guzman'],2013-11-26,0.453,0.482,2,-6.337,1,0.0484,0.72,0.0,0.734,0.37,140.324,4,https://i.scdn.co/image/ab67616d0000b27319225d9cebd0bde3795cce82,https://open.spotify.com/track/3YT6mjbJ2VL7wBI95LDzNR
1311,Photosynthesis,69,201733,1,"['Saba', 'Jean Deaux']",2016-10-27,0.777,0.662,7,-8.393,1,0.27,0.536,4.61e-06,0.593,0.634,111.13,4,https://i.scdn.co/image/ab67616d0000b273eec9bfc96c9e0495b35e2257,https://open.spotify.com/track/3DlgDXIYtnWtJKiB8bZQMv
1311,Create In Me A Clean Heart/I Surrender All,44,343377,0,['Maranatha! Vocal Band'],1993-01-01,0.235,0.2,7,-15.654,1,0.032,0.708,0.00232,0.257,0.0834,104.528,3,https://i.scdn.co/image/ab67616d0000b27304ad4ce1d0bcd3f96a60369a,https://open.spotify.com/track/19we8h3WOey67janOqMdtV
1311,Eternamente Bella,67,206440,0,['Alejandra Guzman'],1996-01-01,0.748,0.709,0,-12.298,1,0.0282,0.0782,0.00176,0.199,0.972,114.117,4,https://i.scdn.co/image/ab67616d0000b273c90318486285e58c442fd9a8,https://open.spotify.com/track/3pIgumKqXX7ge7lT9rCvNy
1311,Hacer El Amor Con Otro,60,278453,0,['Alejandra Guzman'],1996-01-01,0.46,0.381,11,-12.622,1,0.0296,0.146,0.0,0.0895,0.385,138.76,4,https://i.scdn.co/image/ab67616d0000b273c90318486285e58c442fd9a8,https://open.spotify.com/track/1MtVzUD3q6z3NmppCZcCDb
1311,Cuidado Con El Corazon,54,212440,0,['Alejandra Guzman'],1996-01-01,0.572,0.45,7,-12.393,1,0.0271,0.278,0.0,0.0787,0.582,141.231,4,https://i.scdn.co/image/ab67616d0000b273c90318486285e58c442fd9a8,https://open.spotify.com/track/5yGv804W8sbBldAwOhv51O
1311,Manguetown,47,194467,0,"['Chico Science', 'Nação Zumbi']",1996-05-15,0.747,0.869,11,-8.089,0,0.0394,0.0925,0.00124,0.0682,0.754,133.011,4,https://i.scdn.co/image/ab67616d0000b27314a6744b1b2f5d8974e15a12,https://open.spotify.com/track/1YrGWu68h115DkYinbJxRK
