,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
68514,2eZF8j29ZEdefaXZ6bVtWI,İkili Delilik,49,274160,0,['Sezen Aksu'],2005-02-10,0.709,0.656,2,-6.596,0,0.0398,0.406,2.11e-06,0.226,0.633,135.013,4,https://i.scdn.co/image/ab67616d0000b2738088410769434e7e0b64ac05,https://open.spotify.com/track/2eZF8j29ZEdefaXZ6bVtWI,1490
79516,4ydvnLC5X6YVibRcjp40j1,雨にキッスの花束を,40,278493,0,['Miki Imai'],1990-08-29,0.737,0.831,4,-6.186,1,0.0305,0.297,0.000176,0.0743,0.962,124.749,4,https://i.scdn.co/image/ab67616d0000b2735a2c714b2eb875ad7aca0c04,https://open.spotify.com/track/4ydvnLC5X6YVibRcjp40j1,1490
82552,7hCZWMzLiceU92gJ5Uj2t8,İstanbul İstanbul Olalı,52,358867,0,['Sezen Aksu'],2002-05-08,0.465,0.47,7,-12.9,0,0.0814,0.598,0.000345,0.0668,0.359,143.676,4,https://i.scdn.co/image/ab67616d0000b27391964434d94479d7d502370c,https://open.spotify.com/track/7hCZWMzLiceU92gJ5Uj2t8,1490
101283,1zFrNnsQVAu2tXI8K2bttV,Yarası Saklım,37,303987,0,['Sezen Aksu'],1996-07-14,0.338,0.295,10,-6.736,0,0.0314,0.91,5.64e-06,0.0971,0.116,136.24,4,https://i.scdn.co/image/ab67616d0000b273831914472b317640140ee1cf,https://open.spotify.com/track/1zFrNnsQVAu2tXI8K2bttV,1490
102375,7gVBniGxPuV93uoTEia28U,Gidemem,47,315200,0,['Sezen Aksu'],2005-09-10,0.476,0.667,11,-5.959,0,0.0909,0.286,1.71e-06,0.0981,0.389,143.934,4,https://i.scdn.co/image/ab67616d0000b273d3337141295560c806efa5b6,https://open.spotify.com/track/7gVBniGxPuV93uoTEia28U,1490
110285,7f00b4SeCBVTSkwoLPtS1T,Dert Faslı,31,192467,0,['Sezen Aksu'],1993-09-17,0.702,0.348,7,-17.678,1,0.0752,0.254,3.17e-05,0.0851,0.839,135.903,4,https://i.scdn.co/image/ab67616d0000b273282c077726c331a68759de07,https://open.spotify.com/track/7f00b4SeCBVTSkwoLPtS1T,1490
110666,5tdUn33I83Ffv7IuHJgpWi,Kahpe Kader,41,368533,0,['Sezen Aksu'],2000-06-02,0.591,0.695,4,-9.707,0,0.106,0.384,5.7e-05,0.0515,0.538,130.014,4,https://i.scdn.co/image/ab67616d0000b27346c025028f4e9177342aec02,https://open.spotify.com/track/5tdUn33I83Ffv7IuHJgpWi,1490
110895,3jZTq9IJuhKVbFR3GXtZ8e,Şarkı Söylemek Lazım,47,260427,0,['Sezen Aksu'],2002-05-08,0.794,0.593,1,-13.05,1,0.0926,0.00453,0.000401,0.0675,0.923,130.039,4,https://i.scdn.co/image/ab67616d0000b27391964434d94479d7d502370c,https://open.spotify.com/track/3jZTq9IJuhKVbFR3GXtZ8e,1490
110963,7FTRdiDdocMLVjJxuN8vui,Seni İstiyorum,34,307733,0,['Sezen Aksu'],2002-05-08,0.794,0.614,11,-13.148,0,0.069,0.0135,7.32e-05,0.146,0.23,120.008,4,https://i.scdn.co/image/ab67616d0000b27391964434d94479d7d502370c,https://open.spotify.com/track/7FTRdiDdocMLVjJxuN8vui,1490
111067,5Wz3PSROuWoXYzvIT0Tp6R,Tevhid,37,322440,0,['Sabahat Akkiraz'],2003-11-06,0.874,0.394,3,-10.402,1,0.0413,0.531,1.68e-06,0.108,0.626,136.014,4,https://i.scdn.co/image/ab67616d0000b2733a38795ab30136b8eaebc20b,https://open.spotify.com/track/5Wz3PSROuWoXYzvIT0Tp6R,1490
111128,5fE8H2yzKJBSN00iLt8GhR,Tutuklu,52,265187,0,['Sezen Aksu'],2004,0.753,0.561,5,-6.856,0,0.0641,0.31,1.71e-05,0.135,0.537,132.055,4,https://i.scdn.co/image/ab67616d0000b273f04db81e640a5eb9a0904040,https://open.spotify.com/track/5fE8H2yzKJBSN00iLt8GhR,1490
111846,1bu4BxGOZC2cPGXZkhWQC9,Hâlâ Haber Bekliyorum Senden,32,282400,0,['Sezen Aksu'],2008-06-18,0.314,0.517,3,-5.955,0,0.0348,0.601,0.0,0.0779,0.395,132.615,3,https://i.scdn.co/image/ab67616d0000b27376809077480093eb3a6d554a,https://open.spotify.com/track/1bu4BxGOZC2cPGXZkhWQC9,1490
112019,64nHI7xFESodi61V4e43cG,Gidemem,31,351493,0,['Sezen Aksu'],2009,0.571,0.564,11,-7.133,0,0.0502,0.0195,1.88e-05,0.155,0.312,143.865,4,https://i.scdn.co/image/ab67616d0000b273a615415ae1751e777b2fa5b2,https://open.spotify.com/track/64nHI7xFESodi61V4e43cG,1490
112180,4rl8jadxWs4sn1CLYWAwT0,Acıtmışım Canını Sevdikçe,46,333253,0,['Sezen Aksu'],2011-05-23,0.526,0.398,6,-10.375,0,0.0352,0.399,3.13e-05,0.247,0.537,140.04,4,https://i.scdn.co/image/ab67616d0000b273a31007dccbd5ad9fd9121f68,https://open.spotify.com/track/4rl8jadxWs4sn1CLYWAwT0,1490
112281,3RmQeN53LalLamEIDoeNdn,"""Arkadaş"" Şarkısını Duyunca",34,235265,0,['Sezen Aksu'],2011-05-23,0.664,0.777,6,-5.157,0,0.0405,0.349,0.000907,0.116,0.542,140.041,4,https://i.scdn.co/image/ab67616d0000b273a31007dccbd5ad9fd9121f68,https://open.spotify.com/track/3RmQeN53LalLamEIDoeNdn,1490
112747,1rktgi2hNfNisWZsgvxLsR,Yeni ve Yeni Kalanlar,38,227109,0,['Sezen Aksu'],2014-08-27,0.657,0.754,11,-3.968,0,0.0405,0.0577,0.0,0.13,0.718,136.949,4,https://i.scdn.co/image/ab67616d0000b273ad56281756a9424cec12a083,https://open.spotify.com/track/1rktgi2hNfNisWZsgvxLsR,1490
113121,1isXZIWmVh3jTOKLpTxr0v,Canımsın Sen,52,238775,0,['Sezen Aksu'],2017-01-23,0.621,0.878,1,-7.567,0,0.126,0.0967,4.19e-06,0.142,0.477,126.027,4,https://i.scdn.co/image/ab67616d0000b273e935e29e5fd45a84a91bc3e5,https://open.spotify.com/track/1isXZIWmVh3jTOKLpTxr0v,1490
113228,5iBEfBwm7py3aa4SUgfL0I,Hakkımda Konuşmuşsun,43,220889,0,['Sezen Aksu'],2017-01-23,0.51,0.128,8,-12.625,0,0.0446,0.967,6.39e-06,0.103,0.352,135.465,5,https://i.scdn.co/image/ab67616d0000b273e935e29e5fd45a84a91bc3e5,https://open.spotify.com/track/5iBEfBwm7py3aa4SUgfL0I,1490
113566,0YGzausz5cMhQDiJj1RQuv,Ben De Yoluma Giderim,66,200871,0,['Sezen Aksu'],2020-02-21,0.65,0.315,1,-8.954,0,0.0463,0.839,0.0,0.0919,0.278,137.932,4,https://i.scdn.co/image/ab67616d0000b2733c161b728d7ccb98490f2e0a,https://open.spotify.com/track/0YGzausz5cMhQDiJj1RQuv,1490
113593,3mRVgn5Q4AbECPzPRlCEk3,Yetinmeyi Bilir Misin?,61,160340,0,['Sezen Aksu'],2020-01-17,0.586,0.205,9,-8.507,0,0.0871,0.862,0.0,0.127,0.465,125.493,4,https://i.scdn.co/image/ab67616d0000b27310d6e1b4dd57cbdc9a60d2b4,https://open.spotify.com/track/3mRVgn5Q4AbECPzPRlCEk3,1490
113643,0z3qef6oVQt8SkuhEqdCTx,Sen Ciddisin,57,238766,0,['Sezen Aksu'],2020-11-20,0.343,0.62,2,-5.915,0,0.0539,0.637,0.0,0.339,0.385,144.417,4,https://i.scdn.co/image/ab67616d0000b27343831c8c702141d52b1cf840,https://open.spotify.com/track/0z3qef6oVQt8SkuhEqdCTx,1490
