,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
33389,4NTWZqvfQTlOMitlVn6tew,The Show Goes On,73,239613,1,['Lupe Fiasco'],2011-03-04,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,4,https://i.scdn.co/image/ab67616d0000b27320cac893b7a494f729128dac,https://open.spotify.com/track/4NTWZqvfQTlOMitlVn6tew,1551
72426,0OWcpVA83HI8Pb5DybDuoX,"Tumbando el Club (feat. C.R.O, Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",65,456940,1,"['Neo Pistea', 'C.R.O', 'Obie Wanshot', 'YSY A', 'Cazzu', 'KHEA', 'Lucho SSJ', 'Coqeéin Montana', 'Marcianos Crew', 'Duki']",2019-03-27,0.882,0.777,5,-4.445,1,0.0504,0.354,0.0,0.135,0.533,121.985,4,https://i.scdn.co/image/ab67616d0000b2734b3522c91113923576aacd06,https://open.spotify.com/track/0OWcpVA83HI8Pb5DybDuoX,1551
80840,6FlCPO7Z0QGgwtIL8ocZzY,Let It Burn,57,297827,0,['Red'],2011-02-01,0.42,0.899,11,-5.446,0,0.0745,0.000431,0.000245,0.23,0.193,132.016,4,https://i.scdn.co/image/ab67616d0000b27369369a37140c4061d4e7a2ab,https://open.spotify.com/track/6FlCPO7Z0QGgwtIL8ocZzY,1551
91679,37tlhZnzXdF5en96O1j93w,Cafeína,48,187742,0,"['Dj Dadda', 'Plutónio']",2018-07-24,0.798,0.787,1,-5.931,0,0.106,0.41,0.0,0.0931,0.39,123.952,4,https://i.scdn.co/image/ab67616d0000b273c6761b1f2bfce12e46904fc6,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w,1551
92780,7euCNBqzFIEBWW3goLPcDe,Salomi,39,243173,0,['Lizeta Kalimeri'],2008-09-26,0.452,0.271,7,-8.886,1,0.0315,0.662,6.55e-06,0.128,0.34,116.397,4,https://i.scdn.co/image/ab67616d0000b273b366996973acba449784df89,https://open.spotify.com/track/7euCNBqzFIEBWW3goLPcDe,1551
95007,4WYFQLVqla6tpYtKsSqcgu,Draggin' the Line,52,164867,0,['Tommy James & The Shondells'],1989,0.669,0.583,1,-9.165,0,0.0689,0.0521,1.52e-05,0.177,0.647,114.548,4,https://i.scdn.co/image/ab67616d0000b273d5813bb286cda88335ad5d1e,https://open.spotify.com/track/4WYFQLVqla6tpYtKsSqcgu,1551
102265,35Y18Dv2pAiJ7v0Zou9gxI,F.U.R.B. (F U Right Back),52,201867,1,['Frankee'],2004-10-24,0.788,0.635,8,-2.922,1,0.135,0.0993,9.9e-06,0.292,0.601,141.019,4,https://i.scdn.co/image/ab67616d0000b273ded89b776b677bc7de782aa3,https://open.spotify.com/track/35Y18Dv2pAiJ7v0Zou9gxI,1551
111175,4kKpvyn35sa32CFdOBH26S,Heves Mi Sandın,40,347133,0,['Etkin'],2004-12-01,0.541,0.726,3,-6.304,0,0.0742,0.399,0.0,0.108,0.568,113.277,5,https://i.scdn.co/image/ab67616d0000b273cc5d38d2ca0bf8ae2cbd811a,https://open.spotify.com/track/4kKpvyn35sa32CFdOBH26S,1551
115859,04QKeqtQ1KCDHTXK6mNwqX,Not Alone,54,248173,0,['Red'],2011-02-01,0.353,0.762,3,-5.422,1,0.0386,0.00245,6.4e-06,0.0907,0.169,148.008,4,https://i.scdn.co/image/ab67616d0000b27369369a37140c4061d4e7a2ab,https://open.spotify.com/track/04QKeqtQ1KCDHTXK6mNwqX,1551
116143,0jfOA16bjZxrkIzibPcl6U,I Think We're Alone Now - Single Version,33,132800,0,['Tommy James & The Shondells'],1989,0.786,0.442,9,-10.083,1,0.0528,0.177,0.000146,0.0625,0.849,131.156,4,https://i.scdn.co/image/ab67616d0000b273d5813bb286cda88335ad5d1e,https://open.spotify.com/track/0jfOA16bjZxrkIzibPcl6U,1551
123105,55kXXCCGYokhnIB1hm5qYB,Rocket Ship Goes By,40,248187,0,['Goodnight Electric'],2005-01-01,0.602,0.711,0,-7.086,1,0.032,0.179,0.0883,0.0879,0.586,132.997,4,https://i.scdn.co/image/ab67616d0000b27340e236a211345f836d11bcf6,https://open.spotify.com/track/55kXXCCGYokhnIB1hm5qYB,1551
123180,3vKDuAMsNA44KU3ZkBImnr,Bedroom Avenue,31,183427,0,['Goodnight Electric'],2005-01-01,0.69,0.889,0,-7.413,1,0.0409,0.00889,0.762,0.117,0.948,129.999,4,https://i.scdn.co/image/ab67616d0000b27340e236a211345f836d11bcf6,https://open.spotify.com/track/3vKDuAMsNA44KU3ZkBImnr,1551
127823,0abYOJD7wNa8cf6jTQRzrt,La nuit,50,292800,0,['Sopico'],2017-11-24,0.392,0.198,9,-18.172,0,0.069,0.804,0.038,0.115,0.508,148.215,3,https://i.scdn.co/image/ab67616d0000b27317456ce420b89283e93203e3,https://open.spotify.com/track/0abYOJD7wNa8cf6jTQRzrt,1551
134216,4txoYsjsBhES9FKOMqrJeE,Vogulisi - Party-Rock-Mix,39,198000,0,['Matty Valentino'],2009-09-19,0.506,0.95,0,-2.107,1,0.0425,0.292,0.0,0.0361,0.776,154.052,4,https://i.scdn.co/image/ab67616d0000b273cb1cb3f854cafacda6b12c4e,https://open.spotify.com/track/4txoYsjsBhES9FKOMqrJeE,1551
134527,7gJc9SPshSHnLSqz2d0ETV,Hurra die Gams,58,204444,0,['Matty Valentino'],2017-12-11,0.754,0.835,9,-3.116,0,0.187,0.0338,0.0,0.307,0.68,131.922,4,https://i.scdn.co/image/ab67616d0000b273d4d9d4cf0c67d7dd619950f8,https://open.spotify.com/track/7gJc9SPshSHnLSqz2d0ETV,1551
143366,4k4O5kaTCQg7inpQsCLIN1,Monster Meeting,42,261718,0,"['Traktor', 'Dymytry']",2020-07-03,0.548,0.981,10,-2.427,1,0.0943,0.000306,6e-06,0.325,0.37,132.067,4,https://i.scdn.co/image/ab67616d0000b273787ccfa59f20a67f04014d6c,https://open.spotify.com/track/4k4O5kaTCQg7inpQsCLIN1,1551
143881,5yeCt0MReP9i652S9l1fOa,It's Sad to Belong - Single Version,48,173547,0,['England Dan & John Ford Coley'],2005-09-20,0.517,0.309,3,-16.463,1,0.0356,0.374,2.36e-06,0.102,0.539,136.209,4,https://i.scdn.co/image/ab67616d0000b273692cc6b7710598b9e088cb77,https://open.spotify.com/track/5yeCt0MReP9i652S9l1fOa,1551
152225,4KOfCjk1xnMphqkmbn7yYN,Pop Princess,43,258293,0,['The Click Five'],2005-08-08,0.493,0.935,2,-2.251,0,0.0591,9.06e-05,1.05e-05,0.314,0.869,149.006,4,https://i.scdn.co/image/ab67616d0000b2732a6a46f1e8a127da4dd8af27,https://open.spotify.com/track/4KOfCjk1xnMphqkmbn7yYN,1551
155989,0H6kUFx7ijoxncPTHJA0Qy,Bludičky,32,280853,0,['Traktor'],2011,0.558,0.81,10,-6.624,1,0.0385,0.0921,1.33e-06,0.145,0.367,132.117,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
158544,0SmGNsRrydgF19xlWl1UpB,My head is a Jungle - MK Remix [Radio Edit],35,207253,0,"['Wankelmut', 'Emma Louise']",2014-08-18,0.683,0.789,7,-6.672,0,0.0355,0.0864,0.00419,0.253,0.456,124.023,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
165561,0ywn1mAGr0E8N5p32JwuHB,I'd Really Love to See You Tonight - 2012 Remaster,50,158147,0,['England Dan & John Ford Coley'],2012-11-16,0.578,0.767,5,-4.654,1,0.0314,0.195,0.0,0.168,0.666,118.938,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
170750,1MSAQKzTAJamjVjZDzlwRi,Catch Your Wave,41,172707,0,['The Click Five'],2005-08-08,0.559,0.945,2,-1.26,1,0.0488,0.000182,0.00161,0.327,0.789,134.016,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
173544,1ZBpVmbX8gTXLdHe4nz63f,Con Ella,34,244104,0,['Kevin Florez'],2013-05-17,0.739,0.895,9,-3.86,1,0.0571,0.00684,0.0,0.333,0.44,112.0,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
178310,1vPK3zWVuobcW6rCRUC3Kz,Defenestrace,39,294562,0,['Traktor'],2013,0.562,0.938,10,-2.641,1,0.0431,0.0041,0.0,0.0518,0.449,128.008,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
178906,1yAAmuuGbPc6U6nsZHWliT,My Head Is A Jungle - MK Remix - Radio Edit,47,205360,0,"['Wankelmut', 'Emma Louise', 'MK']",2013-01-01,0.674,0.778,7,-6.684,0,0.0383,0.0744,0.00456,0.266,0.406,123.996,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
180357,24oTgyPewWFMYR43wHQ0Ef,En Silencio,62,190259,0,['La Zenda Norteña'],2016-08-17,0.768,0.708,7,-5.101,1,0.0351,0.257,0.0,0.167,0.728,116.952,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
186493,2XWAPRiW50qgKBU1T7MfN7,We'll Live and Die in These Towns,50,235040,0,['The Enemy'],2007-07-09,0.469,0.678,4,-6.197,1,0.0358,0.234,0.0,0.343,0.287,150.169,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
187114,2aeKjOnoJXavtpj2Hd2P4g,My Head Is A Jungle - MK Remix - Radio Edit,49,205360,0,"['Wankelmut', 'Emma Louise', 'MK']",2013-01-01,0.674,0.778,7,-6.684,0,0.0383,0.0744,0.00456,0.266,0.406,123.993,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
191306,2tzsJ73mPoyQXYhBxQFV5e,Láskožrouti,37,262840,0,['Traktor'],2011,0.589,0.783,7,-6.698,0,0.0336,0.0272,1.34e-06,0.17,0.454,131.993,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1551
