,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
3421,62ECcEUTVSnDvavP0al1ja,Eve Of Destruction (Stereo),37,162200,0,['The Turtles'],1965,0.514,0.315,2,-13.969,1,0.0506,0.459,0.0,0.0776,0.523,120.976,4,https://i.scdn.co/image/ab67616d0000b2735839c883ff01c19948c90b1f,https://open.spotify.com/track/62ECcEUTVSnDvavP0al1ja,871
3450,3UEDSuOorTwYlFYW8aJ551,It Ain't Me Babe (Stereo),36,132800,0,['The Turtles'],1965,0.425,0.329,7,-13.399,1,0.0365,0.0748,0.0,0.068,0.398,122.418,4,https://i.scdn.co/image/ab67616d0000b2735839c883ff01c19948c90b1f,https://open.spotify.com/track/3UEDSuOorTwYlFYW8aJ551,871
4029,1JO1xLtVc8mWhIoE3YaCL0,Happy Together,75,176293,0,['The Turtles'],1967,0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,4,https://i.scdn.co/image/ab67616d0000b27372649ad8e79d1e8bdd54c929,https://open.spotify.com/track/1JO1xLtVc8mWhIoE3YaCL0,871
4377,7bi70bgcz4D0PaQOJjX7zR,Yellow River,41,165733,0,['The Tremeloes'],1967-01-01,0.511,0.872,4,-4.638,1,0.0291,0.37,2.08e-06,0.0874,0.933,130.44,4,https://i.scdn.co/image/ab67616d0000b273c5e8e9a949c528060cad9ed4,https://open.spotify.com/track/7bi70bgcz4D0PaQOJjX7zR,871
4575,3pcPIODR7n3EWz4nhWg7Ky,Even the Bad Times Are Good,36,156267,0,['The Tremeloes'],1967-01-01,0.391,0.796,7,-4.706,1,0.0338,0.00489,0.0,0.346,0.781,140.708,4,https://i.scdn.co/image/ab67616d0000b273c5e8e9a949c528060cad9ed4,https://open.spotify.com/track/3pcPIODR7n3EWz4nhWg7Ky,871
4691,44VtvmaLIBH2atC4XIKxto,She's My Girl,32,157333,0,['The Turtles'],1967,0.332,0.51,0,-10.254,1,0.0466,0.718,0.00443,0.171,0.342,121.851,4,https://i.scdn.co/image/ab67616d0000b27372649ad8e79d1e8bdd54c929,https://open.spotify.com/track/44VtvmaLIBH2atC4XIKxto,871
4705,3vWuaWqY6vzsyWF61AE3WG,Suddenly You Love Me,32,165027,0,['The Tremeloes'],1967-01-01,0.56,0.918,2,-3.789,1,0.0606,0.0609,0.0,0.16,0.74,105.591,4,https://i.scdn.co/image/ab67616d0000b273c5e8e9a949c528060cad9ed4,https://open.spotify.com/track/3vWuaWqY6vzsyWF61AE3WG,871
4856,4DWFSrNnZXow1aB96gByho,Elenore,59,151307,0,['The Turtles'],1968,0.63,0.625,4,-8.407,1,0.0375,0.6,1.52e-05,0.24,0.887,122.504,4,https://i.scdn.co/image/ab67616d0000b273f3126c1147d95ab91a85bbc3,https://open.spotify.com/track/4DWFSrNnZXow1aB96gByho,871
4998,5sRPMmQV21r5FhNZSxzZ0O,Elenore - Remastered,47,149280,0,['The Turtles'],1968-08-19,0.634,0.586,4,-9.597,1,0.04,0.616,0.000159,0.522,0.864,123.288,4,https://i.scdn.co/image/ab67616d0000b2737347e4c0e5c5bb448ff2db83,https://open.spotify.com/track/5sRPMmQV21r5FhNZSxzZ0O,871
7676,7fwa5I8SycGBpw2jOZ0L7m,Put Your Hand in the Hand,37,176707,0,['Ocean'],1971,0.833,0.475,9,-14.951,1,0.0403,0.0489,0.000104,0.0759,0.978,136.384,4,https://i.scdn.co/image/ab67616d0000b273a78fdebedcb8a5f60e5ce163,https://open.spotify.com/track/7fwa5I8SycGBpw2jOZ0L7m,871
8837,5VBcEJ4mtXTmVEJtc7hx2g,Midnight at the Oasis,49,229507,0,['Maria Muldaur'],1973,0.705,0.499,1,-7.969,1,0.0265,0.409,6.59e-05,0.103,0.391,98.686,4,https://i.scdn.co/image/ab67616d0000b273cafa40bd320598b29ff4f87c,https://open.spotify.com/track/5VBcEJ4mtXTmVEJtc7hx2g,871
16620,5wfSJoeeGeyovIOYHyqi2O,Liebeskummer Lohnt Sich Nicht,42,148329,0,['Siw Malmkvist'],1983,0.548,0.7,1,-7.044,1,0.0495,0.681,0.0,0.501,0.952,99.788,4,https://i.scdn.co/image/ab67616d0000b27383c00a16c9a8c8eeea9d6593,https://open.spotify.com/track/5wfSJoeeGeyovIOYHyqi2O,871
18136,0RjITt1ROaVZvjJlfp9mTD,Behind The Waterfall,42,211667,0,"['Paul Speer', 'David Lanz']",1985-01-01,0.6,0.102,8,-18.369,1,0.0395,0.876,0.899,0.11,0.202,142.838,4,https://i.scdn.co/image/ab67616d0000b273c84deb230a864ea730e35700,https://open.spotify.com/track/0RjITt1ROaVZvjJlfp9mTD,871
25214,0zpP9vOzgux0tXtF3Q9Fl2,Get Your Gunn,46,198600,1,['Marilyn Manson'],1994-01-01,0.418,0.753,8,-6.749,0,0.0352,0.000167,0.0525,0.595,0.621,137.134,3,https://i.scdn.co/image/ab67616d0000b2736f83d341ac84cf0b995b554e,https://open.spotify.com/track/0zpP9vOzgux0tXtF3Q9Fl2,871
25978,3F3J5UND5sXaHZX7Efolcc,"Ma mère l'oye, M. 60: 5. Le jardin féerique. Lent et grave",47,180600,0,"['Valeria Szervánszky', 'Ronald Cavaye']",1995-01-07,0.487,0.00721,0,-24.141,1,0.0795,0.983,0.0125,0.0632,0.0746,115.904,4,https://i.scdn.co/image/ab67616d0000b273361728024eb93b9a9181865c,https://open.spotify.com/track/3F3J5UND5sXaHZX7Efolcc,871
26454,0FQjfJB4cdkVfxZHz8RV4M,Angel With The Scabbed Wings,51,231920,0,['Marilyn Manson'],1996,0.627,0.757,8,-9.564,1,0.0509,0.000431,0.0139,0.349,0.523,108.025,4,https://i.scdn.co/image/ab67616d0000b273c61d3a663bd18fe8cd97c947,https://open.spotify.com/track/0FQjfJB4cdkVfxZHz8RV4M,871
27139,0tY6WuVkmCth6YHl8xKrew,Silence Is Golden,54,190933,0,['The Tremeloes'],1997-05-20,0.436,0.565,4,-7.268,1,0.0294,0.0557,0.0,0.244,0.582,112.169,4,https://i.scdn.co/image/ab67616d0000b27343bd3fbd0468ed1356ca3188,https://open.spotify.com/track/0tY6WuVkmCth6YHl8xKrew,871
27704,1KQxH1Z1BiSo3MMukVpRfl,The Dope Show,61,226733,1,['Marilyn Manson'],1998-09-14,0.562,0.671,4,-7.801,0,0.0379,8.73e-06,0.000491,0.792,0.376,134.962,4,https://i.scdn.co/image/ab67616d0000b27348f31f0d658ebfb9a049769e,https://open.spotify.com/track/1KQxH1Z1BiSo3MMukVpRfl,871
28259,3wzEC6Wi5xujlVNYwxzVAI,Mechanical Animals,50,273373,1,['Marilyn Manson'],1998-09-14,0.435,0.913,4,-6.3,0,0.0577,4.61e-05,0.000215,0.157,0.219,134.881,4,https://i.scdn.co/image/ab67616d0000b27348f31f0d658ebfb9a049769e,https://open.spotify.com/track/3wzEC6Wi5xujlVNYwxzVAI,871
29246,6pfdW2NouUI3ZnugM7r0G0,The Fight Song,64,175760,1,['Marilyn Manson'],2000-11-11,0.47,0.984,1,-3.783,0,0.0939,0.000133,0.000224,0.212,0.0368,130.055,4,https://i.scdn.co/image/ab67616d0000b273489ccb220bdb619c61acdfcd,https://open.spotify.com/track/6pfdW2NouUI3ZnugM7r0G0,871
29470,07YoPdPfhQ62iNztZvOlDY,Disposable Teens,56,181507,1,['Marilyn Manson'],2000-11-11,0.3,0.956,10,-5.016,1,0.185,5.32e-05,0.0161,0.532,0.271,134.083,4,https://i.scdn.co/image/ab67616d0000b273489ccb220bdb619c61acdfcd,https://open.spotify.com/track/07YoPdPfhQ62iNztZvOlDY,871
41857,4fOybAEWTmc3lK02WI39jW,My Little Lady,42,165907,0,['The Tremeloes'],1997-05-20,0.494,0.814,2,-4.623,1,0.0318,0.307,0.0,0.132,0.975,125.36,4,https://i.scdn.co/image/ab67616d0000b27343bd3fbd0468ed1356ca3188,https://open.spotify.com/track/4fOybAEWTmc3lK02WI39jW,871
45500,3KG9I4JXpDwNQOsotE3uLh,The Departure,63,75849,0,['Max Richter'],2014-12-02,0.384,0.00341,0,-39.053,0,0.0447,0.996,0.943,0.0964,0.117,116.941,4,https://i.scdn.co/image/ab67616d0000b27349f6cc2b9a5828ae0210fd46,https://open.spotify.com/track/3KG9I4JXpDwNQOsotE3uLh,871
49969,0Xfv1QCPBEPdmSbxsuaX6a,No puedo vivir sin ti (feat. Anni B Sweet),60,215970,0,"['Coque Malla', 'Anni B Sweet']",2013-04-23,0.549,0.257,3,-14.91,1,0.0768,0.742,1.71e-06,0.0944,0.197,120.7,4,https://i.scdn.co/image/ab67616d0000b273d69cf05f88f77c29bf4edf82,https://open.spotify.com/track/0Xfv1QCPBEPdmSbxsuaX6a,871
