,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
721,Stamping Ground - Instrumental,36,136560,0,"['Louis Hardin', 'Moondog']",1969-01-01,0.437,0.499,2,-13.2,1,0.0335,0.765,0.848,0.13,0.643,94.084,4,https://i.scdn.co/image/ab67616d0000b273ad13ab512fc1561c8aecb155,https://open.spotify.com/track/3rG2OYVaUNbWMKmONwXf4H
721,Прогулки по воде,49,224853,0,['Nautilus Pompilius'],1991-01-01,0.347,0.514,4,-8.611,0,0.0496,0.412,2.42e-05,0.28,0.391,85.401,4,https://i.scdn.co/image/ab67616d0000b27346549f9592ec8b703d3db213,https://open.spotify.com/track/5hdVyCrMX2LvqsQSbEaYDi
721,Skovannye odnoy tsep'ju,50,256033,0,['Nautilus Pompilius'],1996-06-01,0.671,0.7,10,-10.773,0,0.189,0.601,0.0,0.589,0.306,118.681,4,https://i.scdn.co/image/ab67616d0000b273eb57eec7137c050efd0e3c43,https://open.spotify.com/track/1LMpt3eI40KOudJ4WwldLD
721,Крылья,52,225973,0,['Nautilus Pompilius'],1997-01-01,0.349,0.161,4,-15.637,1,0.0354,0.743,0.00217,0.109,0.31,94.88,1,https://i.scdn.co/image/ab67616d0000b273211cd1a79835dd5634f0c2eb,https://open.spotify.com/track/6dbSNKrEyT6rYMGiDdIOBa
721,Morning,72,206080,0,['Marc E. Bassy'],2016-08-05,0.462,0.438,10,-8.227,1,0.0953,0.563,0.0,0.181,0.342,107.364,3,https://i.scdn.co/image/ab67616d0000b2738d72b4e6b3972cd88545d9d1,https://open.spotify.com/track/54Yappwod1fELR5zb2gDBn
721,Alane - Radio Mix,43,220107,0,['Wes'],1997-05-13,0.839,0.76,3,-7.27,1,0.0507,0.0588,0.135,0.107,0.95,121.957,4,https://i.scdn.co/image/ab67616d0000b2734d03caa85de75a82e204d640,https://open.spotify.com/track/39efJ7FpyszrwpuqrlgX0K
721,Ojuelegba,58,216243,0,['WizKid'],2014-09-17,0.644,0.748,9,-5.862,0,0.0349,0.146,0.000346,0.203,0.901,100.037,4,https://i.scdn.co/image/ab67616d0000b2736ab931c7f2d0be44324e7b75,https://open.spotify.com/track/6cTLhp8a39TClL2iqGpPVc
721,Come Closer (feat. Drake),62,211293,1,"['WizKid', 'Drake']",2017-07-14,0.825,0.453,4,-7.429,0,0.227,0.127,3.82e-06,0.0838,0.496,99.974,4,https://i.scdn.co/image/ab67616d0000b27313c40d09756d267c10dab09c,https://open.spotify.com/track/2zYs4BonN2ydkbrRk333SN
721,Essence (feat. Tems),68,248040,0,"['WizKid', 'Tems']",2020-10-29,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,4,https://i.scdn.co/image/ab67616d0000b27390e89e3afc4441bf36720a73,https://open.spotify.com/track/5FG7Tl93LdH117jEKYl3Cm
721,Ginger (feat. Burna Boy),70,196147,0,"['WizKid', 'Burna Boy']",2020-10-29,0.545,0.749,4,-6.621,0,0.153,0.103,0.0,0.232,0.681,100.503,4,https://i.scdn.co/image/ab67616d0000b27390e89e3afc4441bf36720a73,https://open.spotify.com/track/51mLQ3w7yR7vjdSTFLWaY5
721,Blessed (feat. Damian Marley),63,262973,0,"['WizKid', 'Damian Marley']",2020-10-29,0.612,0.651,1,-6.974,0,0.281,0.0864,0.0,0.368,0.902,90.272,4,https://i.scdn.co/image/ab67616d0000b27390e89e3afc4441bf36720a73,https://open.spotify.com/track/3QO1m6i0nsrp8aOnapvbkx
721,Progulki po vode,45,224207,0,['Nautilus Pompilius'],1996-06-01,0.362,0.412,4,-12.115,0,0.0516,0.536,0.0,0.219,0.365,84.932,4,https://i.scdn.co/image/ab67616d0000b273eb57eec7137c050efd0e3c43,https://open.spotify.com/track/3NFRpCSBDwlScOgT2BYy1k
721,Mariposita,58,104001,0,['Gallina Pintadita'],2015-09-04,0.88,0.454,2,-7.635,1,0.0483,0.505,0.0,0.335,0.96,121.152,4,https://i.scdn.co/image/ab67616d0000b273ec64f6b4c60dd17c5ff5a066,https://open.spotify.com/track/089Ck3bvQWvl15HUFvklv5
721,You & Me,67,218493,1,"['Marc E. Bassy', 'G-Eazy']",2017-10-13,0.449,0.635,1,-8.301,1,0.275,0.0413,0.0,0.188,0.608,84.414,4,https://i.scdn.co/image/ab67616d0000b27314bdd6eb2d059232add0a0a8,https://open.spotify.com/track/7yCqehT9dKACTFy7YugP0J
721,"Ran Bim Bam (with Rochy RD, Yomel El Meloso, Bryant Grety, Tief El Bellaco) - Remix",52,272000,0,"['Quimico Ultra Mega', 'Rochy RD', 'Yomel El Meloso', 'Bryant Grety', 'Tief El Bellaco']",2020-08-05,0.876,0.781,8,-2.256,0,0.177,0.00902,0.0,0.354,0.705,119.987,4,https://i.scdn.co/image/ab67616d0000b2730a9de85ccc8a755322ad3edd,https://open.spotify.com/track/2HlLAQJS5Myqi79v0503Yp
721,Dame Luz,64,231429,0,"['Quimico Ultra Mega', 'Martha Heredia']",2020-02-14,0.773,0.53,2,-5.447,0,0.353,0.593,8.11e-06,0.0833,0.695,83.932,4,https://i.scdn.co/image/ab67616d0000b2732be293ebb214a40b9b5a1975,https://open.spotify.com/track/2Lswe1AlTuCJYEGOEgBo1h
721,На берегу безымянной реки,42,254467,0,['Nautilus Pompilius'],1991-01-01,0.591,0.832,0,-7.571,1,0.0306,0.537,0.0249,0.175,0.767,111.799,4,https://i.scdn.co/image/ab67616d0000b27346549f9592ec8b703d3db213,https://open.spotify.com/track/58DIRbFF6vkcwc9c2bnr5W
721,Зверь,43,385293,0,['Nautilus Pompilius'],1994-01-01,0.549,0.556,11,-12.81,0,0.0334,0.0814,0.0514,0.167,0.506,120.047,4,https://i.scdn.co/image/ab67616d0000b27398c567dff575e99f12886770,https://open.spotify.com/track/3jMMAhskaGatu3l1Ee8acm
721,Утро Полины,39,303267,0,['Nautilus Pompilius'],1994-01-01,0.695,0.568,4,-14.451,0,0.029,0.372,0.391,0.199,0.375,119.96,4,https://i.scdn.co/image/ab67616d0000b27398c567dff575e99f12886770,https://open.spotify.com/track/4oYmpeq6TL80Ps5kakomSg
721,Тутанхамон,33,291347,0,['Nautilus Pompilius'],1994-01-01,0.674,0.735,2,-11.195,1,0.0274,0.0181,0.198,0.167,0.9,114.981,4,https://i.scdn.co/image/ab67616d0000b27398c567dff575e99f12886770,https://open.spotify.com/track/096ed4fk8ZWCw4YcTwZ5Ee
721,Dykhanie,44,219603,0,['Nautilus Pompilius'],1996-06-01,0.716,0.501,11,-13.287,0,0.0263,0.362,0.0,0.0987,0.894,107.905,4,https://i.scdn.co/image/ab67616d0000b273eb57eec7137c050efd0e3c43,https://open.spotify.com/track/388IqA7mAim95Oxk33AQYZ
721,Одинокая птица,43,288640,0,['Nautilus Pompilius'],1997-01-01,0.71,0.371,0,-16.14,1,0.03,0.712,2.28e-06,0.0842,0.316,111.905,4,https://i.scdn.co/image/ab67616d0000b273211cd1a79835dd5634f0c2eb,https://open.spotify.com/track/59mH3w0q3WfeQqO4vgmAZN
721,Дыхание,38,219240,0,['Nautilus Pompilius'],1997-01-01,0.722,0.453,11,-14.439,0,0.0265,0.305,0.0,0.1,0.877,107.913,4,https://i.scdn.co/image/ab67616d0000b273211cd1a79835dd5634f0c2eb,https://open.spotify.com/track/7emNVfG9YB2CMUuXFeK9qP
721,Я хочу быть с тобой,41,260547,0,['Nautilus Pompilius'],1997-01-01,0.382,0.559,0,-9.782,1,0.0344,0.77,0.0,0.451,0.414,86.319,3,https://i.scdn.co/image/ab67616d0000b273cb894733d1d7dd5678249728,https://open.spotify.com/track/1oWbH9Opqup135f8S8VOh7
721,Матерь богов,46,267613,0,['Nautilus Pompilius'],2002-01-01,0.524,0.887,2,-13.716,1,0.044,0.000508,0.605,0.116,0.669,103.021,4,https://i.scdn.co/image/ab67616d0000b2734c2a7d727dd35df799e84d06,https://open.spotify.com/track/2TMzld5gGeCqTSfl3Hbd6r
721,Влюблённый самолёт,35,253040,0,['Лариса Черникова'],1997,0.747,0.984,1,-6.828,0,0.0304,0.0305,0.643,0.038,0.989,135.975,4,https://i.scdn.co/image/ab67616d0000b2738c4fe9cb7e889c704290a0e1,https://open.spotify.com/track/0wKeqZMEZv71san5KQWoA4
721,Pale Skin,51,230992,0,['Christian Löffler'],2012-06-15,0.54,0.354,1,-14.947,1,0.0347,0.103,0.956,0.407,0.221,104.934,4,https://i.scdn.co/image/ab67616d0000b273cd2826df1e00ba838c27bc27,https://open.spotify.com/track/5nqvTmSm0tQmRndmB4Dn1t
721,你的眼睛,40,288400,0,"['熊天平', 'Valen Hsu']",1997-01-01,0.495,0.261,10,-11.582,1,0.0262,0.551,0.0,0.114,0.171,84.546,4,https://i.scdn.co/image/ab67616d0000b2739a0304b9db53e1a63e36174e,https://open.spotify.com/track/4nBgOcmZgUuIIVd5jUXRa4
721,愛情多惱河,36,253320,0,['熊天平'],1997-01-01,0.365,0.243,4,-11.707,1,0.0313,0.305,5.19e-06,0.124,0.115,77.393,4,https://i.scdn.co/image/ab67616d0000b2739a0304b9db53e1a63e36174e,https://open.spotify.com/track/68THRFQ2grvSyO7UvhsJiO
721,火柴天堂(DEMO),37,295173,0,['熊天平'],1999-01-01,0.493,0.256,2,-6.915,0,0.0409,0.828,0.0,0.0748,0.434,93.511,4,https://i.scdn.co/image/ab67616d0000b273854f31050d20e86951885ab2,https://open.spotify.com/track/1QXRe9lm5LGOzuQz4Ipofq
721,Tu E Eu,38,215373,0,['Diogo Piçarra'],2015-03-16,0.518,0.358,7,-9.725,1,0.0302,0.329,9.66e-06,0.121,0.0762,66.976,4,https://i.scdn.co/image/ab67616d0000b2734938bd57a93f8be844b27df2,https://open.spotify.com/track/1MQDfjtSuSjz5cOUeqhJRR
721,Só Existo Contigo,39,190733,0,['Diogo Piçarra'],2017-03-31,0.341,0.442,2,-10.306,1,0.0411,0.492,0.00237,0.0643,0.582,104.109,4,https://i.scdn.co/image/ab67616d0000b273c76bf76b735c44c15df0fe15,https://open.spotify.com/track/7fMCw1q9tuljy4AV4vGtTw
721,Dialeto,39,207588,0,['Diogo Piçarra'],2017-03-31,0.739,0.764,4,-7.233,0,0.0596,0.229,0.00364,0.173,0.421,99.935,4,https://i.scdn.co/image/ab67616d0000b273c76bf76b735c44c15df0fe15,https://open.spotify.com/track/7MWkiMxhOIAqajKsQwDdWi
721,Anjos,49,189492,0,"['Diogo Piçarra', 'Carolina Deslandes']",2019-11-29,0.582,0.422,9,-7.516,1,0.0869,0.718,1.59e-05,0.109,0.386,89.856,4,https://i.scdn.co/image/ab67616d0000b2735fd4b0969951ae9d603b4e2e,https://open.spotify.com/track/2OTDVVqU45HG4odJVSrlPY
