,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
12325,5rMw53xSX8BvYiZPRVQ8he,What's a Telephone Bill?,39,359093,0,['Bootsy Collins'],1977-01-15,0.604,0.716,6,-6.772,0,0.131,0.331,0.000169,0.295,0.655,134.169,4,https://i.scdn.co/image/ab67616d0000b2737eb310880bbdde90c0411632,https://open.spotify.com/track/5rMw53xSX8BvYiZPRVQ8he,181
12452,6gOY69g42Ex8Kad665i53a,Munchies for Your Love,37,577933,0,['Bootsy Collins'],1977-01-15,0.597,0.556,4,-10.627,0,0.102,0.197,0.000478,0.0371,0.551,129.808,4,https://i.scdn.co/image/ab67616d0000b2737eb310880bbdde90c0411632,https://open.spotify.com/track/6gOY69g42Ex8Kad665i53a,181
19060,0ZPqGkXGlVz5HOXqDkRgc2,The Untouchable One,39,271840,0,"['Tom Cochrane', 'Red Rider']",1986-01-01,0.546,0.851,10,-11.406,1,0.0417,0.0664,0.00852,0.26,0.679,125.848,4,https://i.scdn.co/image/ab67616d0000b27347cca641b9271c0b335cb023,https://open.spotify.com/track/0ZPqGkXGlVz5HOXqDkRgc2,181
20655,000u1dTg7y1XCDXi80hbBX,I Don't Want A Lover,58,300600,0,['Texas'],1989-01-01,0.756,0.47,7,-12.615,1,0.0394,0.196,0.000487,0.126,0.43,120.484,4,https://i.scdn.co/image/ab67616d0000b273cfa43ab70df6091a23410fbe,https://open.spotify.com/track/000u1dTg7y1XCDXi80hbBX,181
26734,0K25zmumCzn2kFmh9zcLWy,CANDY,47,217227,0,['H.O.T.'],1996-09-07,0.741,0.977,10,-2.318,1,0.044,0.134,0.0,0.145,0.951,119.988,4,https://i.scdn.co/image/ab67616d0000b273d37f7121912ce768f789c7c3,https://open.spotify.com/track/0K25zmumCzn2kFmh9zcLWy,181
27251,6fT9Oe3oy5gWvs8L6EXMrc,Black Eyed Boy,52,190067,0,['Texas'],1997-02-03,0.574,0.808,8,-5.112,0,0.0389,0.0777,4.34e-05,0.742,0.686,119.659,4,https://i.scdn.co/image/ab67616d0000b2733cb5dc762c64c829f2c15b10,https://open.spotify.com/track/6fT9Oe3oy5gWvs8L6EXMrc,181
33776,4qikXelSRKvoCqFcHLB2H2,Mercy,73,329320,1,"['Kanye West', 'Big Sean', 'Pusha T', '2 Chainz']",2012-01-01,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993,4,https://i.scdn.co/image/ab67616d0000b2732127d038204bc32c416d55e2,https://open.spotify.com/track/4qikXelSRKvoCqFcHLB2H2,181
34274,2vaa0nnDnNTlxCh7fCmjsr,Leave Her Johnny,66,132293,0,"['Sean Dagher', 'Nils Brown', 'Michiel Schrey']",2013-10-29,0.712,0.27,7,-4.382,0,0.0541,0.935,0.0,0.0582,0.728,120.416,4,https://i.scdn.co/image/ab67616d0000b2735100817ae1b109956bb04d82,https://open.spotify.com/track/2vaa0nnDnNTlxCh7fCmjsr,181
35507,2nBI3iWLhupR7LyAJ5GGkE,Champions,69,334253,1,"['Kanye West', 'Gucci Mane', 'Big Sean', '2 Chainz', 'Travis Scott', 'Yo Gotti', 'Quavo', 'Desiigner']",2016-06-10,0.692,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952,4,https://i.scdn.co/image/ab67616d0000b273bddf05707f93b37fdbfeaab5,https://open.spotify.com/track/2nBI3iWLhupR7LyAJ5GGkE,181
40474,4Ek2c1YKtgGAjzTnnMZHYd,Everyday Now,38,275067,0,['Texas'],1989-01-01,0.711,0.523,7,-12.184,1,0.0286,0.0615,0.0125,0.0828,0.645,126.049,3,https://i.scdn.co/image/ab67616d0000b273cfa43ab70df6091a23410fbe,https://open.spotify.com/track/4Ek2c1YKtgGAjzTnnMZHYd,181
