,name,popularity,artists,release_date,images,urls
401,Life Is A Rollercoaster,63,['Ronan Keating'],2000-01-01,https://i.scdn.co/image/ab67616d0000b2734acaf50f8a03a6972b555d7e,https://open.spotify.com/track/1vlTMKVV0FxG6CxGTmSY3t
401,Las Avispas,58,['Juan Luis Guerra 4.40'],2004-01-01,https://i.scdn.co/image/ab67616d0000b273674f4e6a042369cbbacb3a9e,https://open.spotify.com/track/0K1XXuhaJBPWMcgjj3ug3u
401,Mi Bendición,66,['Juan Luis Guerra 4.40'],2010-01-01,https://i.scdn.co/image/ab67616d0000b273552ae7f465c58a22f295fe5b,https://open.spotify.com/track/5fF0fb0VFihGDHFshDLi2Z
401,Bachata En Fukuoka,65,['Juan Luis Guerra 4.40'],2010-01-01,https://i.scdn.co/image/ab67616d0000b273552ae7f465c58a22f295fe5b,https://open.spotify.com/track/6IfMD01z39P15HKezjdaMP
401,Las Avispas,61,['Juan Luis Guerra 4.40'],2012-02-24,https://i.scdn.co/image/ab67616d0000b273d83eb5595a958fe30a4fb018,https://open.spotify.com/track/1oInQX1RuH1TcHuDv8Gvw3
401,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,66,['Juan Luis Guerra 4.40'],2013-01-01,https://i.scdn.co/image/ab67616d0000b273699313e8f5fe73b7474b6c9b,https://open.spotify.com/track/1GT0Q2ZTeKtIBueYKr4vhr
401,La Travesia,46,['Juan Luis Guerra 4.40'],2007-01-01,https://i.scdn.co/image/ab67616d0000b2737a715a340442993f60e0fc5e,https://open.spotify.com/track/7BL1WTerk9Upwd5Xj4LGLi
401,Apaga Y Vamonos,49,['Juan Luis Guerra 4.40'],2010-01-01,https://i.scdn.co/image/ab67616d0000b273552ae7f465c58a22f295fe5b,https://open.spotify.com/track/7pVpSTARoYSkI1UFkn2fRN
401,No Aparecen,40,['Juan Luis Guerra 4.40'],2010-01-01,https://i.scdn.co/image/ab67616d0000b273552ae7f465c58a22f295fe5b,https://open.spotify.com/track/0B9u8CF36CKCa4CrRbK6PD
401,En El Cielo No Hay Hospital,51,['Juan Luis Guerra 4.40'],2012-02-24,https://i.scdn.co/image/ab67616d0000b273d83eb5595a958fe30a4fb018,https://open.spotify.com/track/0nbfMNZ35IFiSjXfVgZdmu
401,"Frío, Frío - En Vivo Estadio Olímpico De República Dominicana/2012",59,"['Juan Luis Guerra 4.40', 'Romeo Santos']",2013-01-01,https://i.scdn.co/image/ab67616d0000b273cada8cf1ee85abb807bd4bb6,https://open.spotify.com/track/2j5dy9SzXdQ71Y2jgtiFAJ
401,El Niágra En Bicicleta - En Vivo Estadio Olímpico De República Dominicana/2012,57,['Juan Luis Guerra 4.40'],2013-01-01,https://i.scdn.co/image/ab67616d0000b273699313e8f5fe73b7474b6c9b,https://open.spotify.com/track/210f6k9YxkeQt3ZThb2wxV
