,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
27726,4w9o81y0dXFKgraEwfEgTz,Vida Loca,60,194480,0,['Francisco Céspedes'],1998-02-18,0.429,0.328,1,-10.84,0,0.0603,0.866,5e-05,0.0983,0.262,68.609,4,https://i.scdn.co/image/ab67616d0000b27354fd1c1427e84468c90b9646,https://open.spotify.com/track/4w9o81y0dXFKgraEwfEgTz,961
27773,0ACbLwjYUehkGVVFYKPYNQ,Remolino,59,250147,0,['Francisco Céspedes'],1998-02-18,0.644,0.453,0,-10.769,1,0.0322,0.722,1.56e-05,0.0796,0.472,90.842,4,https://i.scdn.co/image/ab67616d0000b27354fd1c1427e84468c90b9646,https://open.spotify.com/track/0ACbLwjYUehkGVVFYKPYNQ,961
28209,3sKfWfo0VSspTmBmK3jKzr,Señora,50,204533,0,['Francisco Céspedes'],1998-02-18,0.42,0.458,10,-9.974,1,0.033,0.288,0.0,0.316,0.315,111.494,4,https://i.scdn.co/image/ab67616d0000b27354fd1c1427e84468c90b9646,https://open.spotify.com/track/3sKfWfo0VSspTmBmK3jKzr,961
43421,4TFUAomrnQaSBKHz4TRUpa,Kopskudkinders,31,261893,1,['Die Tuindwergies'],2010-08-01,0.599,0.438,8,-8.574,1,0.0271,0.828,0.0,0.12,0.413,82.96,4,https://i.scdn.co/image/ab67616d0000b273a6a7eb2a0113ac3ed70df55b,https://open.spotify.com/track/4TFUAomrnQaSBKHz4TRUpa,961
49010,6VKaLD9xSHpmOT1tlbPmZq,Pensar en ti,47,250240,0,['Francisco Céspedes'],1998-02-18,0.352,0.258,9,-12.554,1,0.0433,0.64,0.000219,0.119,0.156,75.008,4,https://i.scdn.co/image/ab67616d0000b27354fd1c1427e84468c90b9646,https://open.spotify.com/track/6VKaLD9xSHpmOT1tlbPmZq,961
49542,0Sc9UwBpChiRKRF8DKvWKZ,Walk Away (Remember Me) (feat. The DEY),57,238160,0,"['Paula DeAnda', 'The DEY']",2006-06-01,0.672,0.585,0,-5.797,1,0.0582,0.192,0.0,0.156,0.834,77.998,4,https://i.scdn.co/image/ab67616d0000b273fb1c672205e3d046583c7573,https://open.spotify.com/track/0Sc9UwBpChiRKRF8DKvWKZ,961
65056,2LXxNf4jqezBycNpxMiMAg,Roll The Credits,41,256693,0,['Paula DeAnda'],2009-03-19,0.631,0.636,0,-4.384,1,0.0262,0.0893,0.0,0.064,0.315,93.964,4,https://i.scdn.co/image/ab67616d0000b2732481b8d4804405134f026105,https://open.spotify.com/track/2LXxNf4jqezBycNpxMiMAg,961
67672,4Vm9Gs3E5AprMJMR5j6sK2,Perdón (with Los Panchos),39,177707,0,"['Pedro Flores', 'José Luis Rodríguez', 'Los Panchos']",1997-11-25,0.696,0.499,4,-6.157,0,0.0274,0.674,0.0,0.151,0.539,100.069,4,https://i.scdn.co/image/ab67616d0000b273256c95b4950732006a21ea55,https://open.spotify.com/track/4Vm9Gs3E5AprMJMR5j6sK2,961
67745,73mDYRCie78KsMcZHdHIfJ,Todo Es Un Misterio,43,223573,0,['Francisco Céspedes'],1998-02-18,0.709,0.396,9,-11.034,1,0.035,0.561,0.00061,0.0722,0.642,76.509,4,https://i.scdn.co/image/ab67616d0000b27354fd1c1427e84468c90b9646,https://open.spotify.com/track/73mDYRCie78KsMcZHdHIfJ,961
76388,2P1i6sJuceleJKiisQyJWu,מכל האהבות הזמניות,44,230422,0,"['Eyal Golan', 'Nasrin Kadri']",2020-04-12,0.613,0.414,6,-7.575,0,0.0276,0.627,0.0,0.118,0.297,91.033,3,https://i.scdn.co/image/ab67616d0000b2731e5831f94e6614e1197e95d2,https://open.spotify.com/track/2P1i6sJuceleJKiisQyJWu,961
76409,78WK5RxO1JB4xYwg2TddxX,טעיתי,42,220543,0,['Eyal Golan'],2020-08-18,0.54,0.425,5,-9.577,0,0.0518,0.428,0.0,0.218,0.239,88.047,4,https://i.scdn.co/image/ab67616d0000b273599ce60aeb738f8ec071d136,https://open.spotify.com/track/78WK5RxO1JB4xYwg2TddxX,961
76450,4b1SBLUAW99ceiy9Quyqly,עושה עם העיניים,39,177033,0,['Eyal Golan'],2020-04-12,0.648,0.444,5,-8.598,1,0.0373,0.738,0.0,0.132,0.288,90.958,4,https://i.scdn.co/image/ab67616d0000b2731e5831f94e6614e1197e95d2,https://open.spotify.com/track/4b1SBLUAW99ceiy9Quyqly,961
76461,1AuQZEbWfJqzIn4cOCJxib,נראתה לאחרונה,38,236312,0,['Eyal Golan'],2020-06-18,0.711,0.731,2,-6.016,0,0.0346,0.213,3.38e-06,0.133,0.66,104.999,4,https://i.scdn.co/image/ab67616d0000b2736f73624ba66d8c13f4a164db,https://open.spotify.com/track/1AuQZEbWfJqzIn4cOCJxib,961
76505,6HzejdySlVWXO8V67qPPRP,ימים טובים,48,161633,0,['Eyal Golan'],2021-03-21,0.797,0.509,10,-9.193,0,0.0418,0.653,0.000382,0.114,0.612,97.997,4,https://i.scdn.co/image/ab67616d0000b2736241a9e4e9ed2b7ac985f50b,https://open.spotify.com/track/6HzejdySlVWXO8V67qPPRP,961
89139,548FKDwnyPFkfWmtoK6ETA,Like a Cat,53,219533,0,['AOA'],2014-11-11,0.701,0.968,1,-0.913,1,0.078,0.103,0.0,0.832,0.913,100.009,4,https://i.scdn.co/image/ab67616d0000b273f95a5985be3ec564ae6aaa05,https://open.spotify.com/track/548FKDwnyPFkfWmtoK6ETA,961
103391,05G51ez5Z73NRE0l2QtZfH,Short Hair,46,214589,0,['AOA'],2014-06-19,0.743,0.883,11,-2.016,1,0.0374,0.307,0.0,0.304,0.881,109.979,4,https://i.scdn.co/image/ab67616d0000b2739d79d5174f6f26bed81859b3,https://open.spotify.com/track/05G51ez5Z73NRE0l2QtZfH,961
124370,5zSwPg3ywghywIqyujVXVH,Sampaikan Sayangku Untuk Dia,50,248487,0,"['Iqbaal Dhiafakhri', 'Caitlin Halderman']",2016-10-10,0.621,0.186,6,-11.408,0,0.0266,0.79,0.0,0.0997,0.387,104.596,4,https://i.scdn.co/image/ab67616d0000b273efe02f9b7aaa805ad4c1b5e6,https://open.spotify.com/track/5zSwPg3ywghywIqyujVXVH,961
